Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW],Occupant Count [people],Temperature Set Point [C],Cooling Device Load Schedule [On/Off],Heating Device Load Schedule [On/Off]
6,1,1,1,24.9699100724587,0,43.7764805104256,1.77158941559471,0.0,0.0,0,0.0,0.0,30,1,0
6,2,1,1,24.7039544367133,0,43.6902505803896,1.77158941559471,0.0,0.0,0,0.0,0.0,30,1,0
6,3,1,1,24.4627176478405,0,43.5202381401768,1.77158941559471,0.350738348968432,0.0,0,0.0,0.0,30,1,0
6,4,1,1,24.2535406445012,0,43.384676457181,1.77158941559471,0.0,0.0,0,0.0,0.0,30,1,0
6,5,1,1,24.0632322643981,0,43.3513850531541,1.77158941559471,0.35071404012477,0.0,0,0.0,0.0,30,1,0
6,6,1,1,23.9572686966873,0,43.2764013469217,1.77158941559471,0.0,0.0,0,12074.5,0.0,30,1,0
6,7,1,1,24.0481475397755,0,42.8460806795415,1.77158941559471,0.0,0.0,0,95127.2,0.0,28,1,0
6,8,1,1,24.3167488860722,0,49.8014324433237,1.77158941559471,0.350713157566602,11.3711797748109,0,253607.0,0.0,26,1,0
6,9,1,1,24.7850098045855,0,49.7421482340944,3.5802958628003,0.364505347471383,2.44175449495256,0,419096.0,37.0417067657032,26,1,0
6,10,1,1,25.5378747902891,0,49.5550647034401,7.16059172560061,1.14167551830684,4.79802595113586,0,562741.0,74.0834135314063,26,1,0
6,11,1,1,25.9862028131271,0,49.9412393191683,7.16059172560061,1.14823673429782,12.9308081555207,0,642262.0,74.0834135314063,26,1,0
6,12,1,1,25.9999999999696,0,49.9996228740584,9.54745563413415,1.16566588144057,29.8303170004818,0,676939.0,148.166827062812,26,1,0
6,13,1,1,26.0,0,49.9993761801127,9.54745563413415,1.55401378753588,34.489693769402,0,670825.0,148.166827062812,26,1,0
6,14,1,1,25.9999999999999,0,49.9999909501348,9.54745563413415,1.15856457791819,37.2767662276917,0,621525.0,148.166827062812,26,1,0
6,15,1,1,26.0,0,49.9992931677041,9.54745563413415,1.16220282745966,38.1531768054873,0,530373.0,148.166827062812,26,1,0
6,16,1,1,26.0,0,49.9992879336612,9.54745563413415,1.16888345166986,37.9088569673,0,400258.0,148.166827062812,26,1,0
