Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW],Occupant Count [people],Temperature Set Point [C],HVAC Mode [Off/Cooling/Heating]
6,1,1,1,24.8811349201403,0,48.2465681076641,2.62751415513652,0.0,0.0,0,0.0,0.0,30,0
6,2,1,1,24.998186793217,0,48.6258423394229,3.42752123270479,0.0,0.0,0,0.0,0.0,30,0
6,3,1,1,24.769238250437,0,49.7865235108716,2.62751415513652,0.0,0.0,0,0.0,0.0,30,0
6,4,1,1,24.8563824822546,0,51.1634536004537,5.02753538784131,0.0,0.0,0,0.0,0.0,30,0
6,5,1,1,23.5041390323718,0,50.1419454045944,10.6275849308192,0.0,18.855100052628,0,0.0,0.0,26,1
6,6,1,1,23.2794617621696,0,50.1665291750265,11.4751328667013,2.26,15.3177589398186,0,12.0745,14.3834813409947,26,1
6,7,1,1,22.2998760064602,0,50.0276499057119,13.0824610000399,1.95,34.3118608381803,0,95.1272,143.834813409947,26,1
6,8,1,1,22.9409726253106,0,49.9637014932513,15.4934532000479,4.35,30.789918112361,0,253.607,143.834813409947,26,1
6,9,1,1,24.526598983043,0,49.9427112913247,17.9044454000559,1.74,22.0625434804995,0,419.096,57.5339253639789,26,1
6,10,1,1,25.6082396659144,0,49.9625068677896,21.9227657334026,1.44,26.3115302731654,0,562.741,57.5339253639789,26,1
6,11,1,1,25.9895827450146,0,49.9857283618,24.3337579334106,10.7,31.9820659978103,0,642.262,86.3008880459683,26,1
6,12,1,1,25.9999999966386,0,49.9990247428055,22.7264298000719,4.45,35.509823709522,0,676.939,143.834813409947,26,1
6,13,1,1,25.9999999999999,0,49.9960391772828,21.1191016667332,12.3,33.2671844060714,0,670.825,143.834813409947,26,1
6,14,1,1,25.9999999999999,0,49.9987874519825,19.5117735333946,13.23,27.070943176657,0,621.525,86.3008880459683,26,1
6,15,1,1,25.9999999999999,0,49.9973530314025,19.5117735333946,3.02,25.6269533267065,0,530.373,57.5339253639789,26,1
6,16,1,1,25.9999999999999,0,49.9985637160445,21.9227657334026,4.56,29.6042068986719,0,400.258,71.9174067049736,26,1
6,17,1,1,25.9999999999999,0,49.9999726442619,21.9227657334026,3.38,33.5702437673795,0,235.398,100.684369386963,26,1
6,18,1,1,26.0,0,49.9999999119787,20.3154376000639,2.5,39.843191059352,0,87.1374,158.218294750942,26,1
6,19,1,1,25.9999999999999,0,50.000000019476,18.7081094667252,1.43,40.949209770667,0,9.35545,186.985257432931,26,1
6,20,1,1,25.9999999999999,0,50.0007390882659,17.1007813333866,6.1,37.0809216187364,0,0.0,201.368738773926,26,1
6,21,1,1,25.9999999999999,0,50.0000617838276,15.4934532000479,6.03,24.6912493214404,0,0.0,100.684369386963,26,1
6,22,1,1,25.7771805813125,0,50.1194737183659,8.26047660002397,6.26,16.8972388951985,0,0.0,57.5339253639789,26,1
6,23,1,1,24.6528919580628,0,50.2460434367591,3.43849220000799,2.19,16.5191157404982,0,0.0,57.5339253639789,26,1
6,24,1,1,24.1193899921493,0,50.155544264374,3.42752123270479,0.0,10.6950947868952,0,0.0,14.3834813409947,26,1
6,1,2,1,24.9302802320233,0,48.144922484279,2.62751415513652,0.0,0.0,0,0.0,0.0,30,0
