Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,2.8191499999999996,0,0,0,0.0
8.0,1.0,1.0,0,,,,1.9281666666666666,0,0,0,0.0
8.0,2.0,1.0,0,,,,0.47581666666666655,0,0,0,0.0
8.0,3.0,1.0,0,,,,0.4582333333333334,0,0,0,0.0
8.0,4.0,1.0,0,,,,0.44601666666666673,0,0,0,0.0
8.0,5.0,1.0,0,,,,0.4658833333333335,0,0,0,0.0
8.0,6.0,1.0,0,,,,0.6710666666666666,0,0,0,6.7866666158040365
8.0,7.0,1.0,0,,,,0.8447166666666668,0,0,0,29.15333344141642
8.0,8.0,1.0,0,,,,2.5932666666666666,0,0,0,88.13999970753987
8.0,9.0,1.0,0,,,,2.7008833333333335,0,0,0,202.37333272298176
8.0,10.0,1.0,0,,,,2.0974,0,0,0,328.54666595458986
8.0,11.0,1.0,0,,,,2.502900000000001,0,0,0,440.23333435058595
8.0,12.0,1.0,0,,,,2.697933333333333,0,0,0,518.9499989827474
8.0,13.0,1.0,0,,,,2.1056833333333334,0,0,0,560.2399973551433
8.0,14.0,1.0,0,,,,0.1326333333333333,0,0,0,563.9533335367838
8.0,15.0,1.0,0,,,,0.6999999999999996,0,0,0,534.5700037638346
8.0,16.0,1.0,0,,,,0.2069,0,0,0,456.18333435058594
8.0,17.0,1.0,0,,,,1.6474000000000002,0,0,0,340.56666666666666
8.0,18.0,1.0,0,,,,1.086583333333334,0,0,0,185.23333282470702
8.0,19.0,1.0,0,,,,0.22160000666666654,0,0,0,14.336666520436605
8.0,20.0,1.0,0,,,,1.5579333583333332,0,0,0,0.0
8.0,21.0,1.0,0,,,,2.832316666666666,0,0,0,0.0
8.0,22.0,1.0,0,,,,0.6387666666666669,0,0,0,0.0
8.0,23.0,1.0,0,,,,0.7265166666666663,0,0,0,0.0
8.0,24.0,1.0,0,,,,2.649125,0,0,0,0.0
8.0,1.0,2.0,0,,,,0.4703166666666666,0,0,0,0.0
8.0,2.0,2.0,0,,,,0.4394500000000002,0,0,0,0.0
8.0,3.0,2.0,0,,,,0.45004999999999973,0,0,0,0.0
8.0,4.0,2.0,0,,,,0.8188833333333332,0,0,0,0.0
8.0,5.0,2.0,0,,,,1.1225,0,0,0,0.0
8.0,6.0,2.0,0,,,,1.3846166666666673,0,0,0,5.926666641235352
8.0,7.0,2.0,0,,,,0.4598999999999999,0,0,0,30.92333329518636
8.0,8.0,2.0,0,,,,0.9788666666666666,0,0,0,86.72333329518636
8.0,9.0,2.0,0,,,,1.524316666666666,0,0,0,198.86999994913737
8.0,10.0,2.0,0,,,,1.8559666666666665,0,0,0,320.8299997965495
8.0,11.0,2.0,0,,,,2.223333333333333,0,0,0,429.8233342488607
8.0,12.0,2.0,0,,,,2.661716666666666,0,0,0,509.59000091552736
8.0,13.0,2.0,0,,,,2.869883333333333,0,0,0,550.0033325195312
8.0,14.0,2.0,0,,,,2.17205,0,0,0,554.9366678873698
8.0,15.0,2.0,0,,,,1.3411000000000004,0,0,0,520.3833323160808
8.0,16.0,2.0,0,,,,1.7706000000000006,0,0,0,449.7733332316081
8.0,17.0,2.0,0,,,,1.7263833333333332,0,0,0,339.9933359781901
8.0,18.0,2.0,0,,,,0.9555666666666663,0,0,0,189.139999516805
8.0,19.0,2.0,0,,,,0.16821671322428322,0,0,0,14.813333400090535
8.0,20.0,2.0,0,,,,0.0630500749999981,0,0,0,0.0
8.0,21.0,2.0,0,,,,0.7734000249999992,0,0,0,0.0
8.0,22.0,2.0,0,,,,2.7929333333333335,0,0,0,0.0
8.0,23.0,2.0,0,,,,2.7878499999999993,0,0,0,0.0
8.0,24.0,2.0,0,,,,1.9898999999999998,0,0,0,0.0
8.0,1.0,3.0,0,,,,0.4201833333333332,0,0,0,0.0
8.0,2.0,3.0,0,,,,0.42724999999999996,0,0,0,0.0
8.0,3.0,3.0,0,,,,0.45856666666666673,0,0,0,0.0
8.0,4.0,3.0,0,,,,0.4246166666666664,0,0,0,0.0
8.0,5.0,3.0,0,,,,0.4333333333333335,0,0,0,0.0
8.0,6.0,3.0,0,,,,0.6636166666666666,0,0,0,6.863333336512247
