Month,Hour,Day Type,State,Destination Charger,Estimated Departure Time,Required Soc At Departure, Estimated Arrival Time, Estimated SOC at Arrival
7,0,6,1,charger_7_1,14,86,,
7,1,6,1,charger_7_1,13,86,,
7,2,6,1,charger_7_1,12,86,,
7,3,6,1,charger_7_1,11,86,,
7,4,6,1,charger_7_1,10,86,,
7,5,6,1,charger_7_1,9,86,,
7,6,6,1,charger_7_1,8,86,,
7,7,6,1,charger_7_1,7,86,,
7,8,6,1,charger_7_1,6,86,,
7,9,6,1,charger_7_1,5,86,,
7,10,6,1,charger_7_1,4,86,,
7,11,6,1,charger_7_1,3,86,,
7,12,6,1,charger_7_1,2,86,,
7,13,6,1,charger_7_1,1,86,,
7,14,6,1,charger_7_1,0,86,,
7,15,6,3,,,,,
7,16,6,3,,,,,
7,17,6,3,,,,,
7,18,6,2,charger_7_1,,,1,45
7,19,6,2,charger_7_1,,,0,45
7,20,6,1,charger_7_1,18,86,,
7,21,6,1,charger_7_1,17,86,,
7,22,6,1,charger_7_1,16,86,,
7,23,6,1,charger_7_1,15,86,,
7,0,7,1,charger_7_1,14,86,,
7,1,7,1,charger_7_1,13,86,,
7,2,7,1,charger_7_1,12,86,,
7,3,7,1,charger_7_1,11,86,,
7,4,7,1,charger_7_1,10,86,,
7,5,7,1,charger_7_1,9,86,,
7,6,7,1,charger_7_1,8,86,,
7,7,7,1,charger_7_1,7,86,,
7,8,7,1,charger_7_1,6,86,,
7,9,7,1,charger_7_1,5,86,,
7,10,7,1,charger_7_1,4,86,,
7,11,7,1,charger_7_1,3,86,,
7,12,7,1,charger_7_1,2,86,,
7,13,7,1,charger_7_1,1,86,,
7,14,7,1,charger_7_1,0,86,,
7,15,7,3,,,,,
7,16,7,3,,,,,
7,17,7,3,,,,,
7,18,7,2,charger_7_1,,,1,51
7,19,7,2,charger_7_1,,,0,51
7,20,7,1,charger_7_1,10,82,,
7,21,7,1,charger_7_1,9,82,,
7,22,7,1,charger_7_1,8,82,,
7,23,7,1,charger_7_1,7,82,,
7,0,1,1,charger_7_1,6,82,,
7,1,1,1,charger_7_1,5,82,,
7,2,1,1,charger_7_1,4,82,,
7,3,1,1,charger_7_1,3,82,,
7,4,1,1,charger_7_1,2,82,,
7,5,1,1,charger_7_1,1,82,,
7,6,1,1,charger_7_1,0,82,,
7,7,1,3,,,,,
7,8,1,3,,,,,
7,9,1,3,,,,,
7,10,1,3,,,,,
7,11,1,3,,,,,
7,12,1,3,,,,,
7,13,1,3,,,,,
7,14,1,3,,,,,
7,15,1,3,,,,,
7,16,1,3,,,,,
7,17,1,3,,,,,
7,18,1,3,,,,,
7,19,1,2,charger_7_1,,,1,43
7,20,1,2,charger_7_1,,,0,43
7,21,1,1,charger_7_1,8,86,,
7,22,1,1,charger_7_1,7,86,,
7,23,1,1,charger_7_1,6,86,,
7,0,2,1,charger_7_1,5,86,,
7,1,2,1,charger_7_1,4,86,,
7,2,2,1,charger_7_1,3,86,,
7,3,2,1,charger_7_1,2,86,,
7,4,2,1,charger_7_1,1,86,,
7,5,2,1,charger_7_1,0,86,,
7,6,2,3,,,,,
7,7,2,3,,,,,
7,8,2,3,,,,,
7,9,2,3,,,,,
7,10,2,3,,,,,
7,11,2,3,,,,,
7,12,2,3,,,,,
7,13,2,3,,,,,
7,14,2,3,,,,,
7,15,2,3,,,,,
7,16,2,3,,,,,
7,17,2,2,charger_7_1,,,1,41
7,18,2,2,charger_7_1,,,0,41
7,19,2,1,charger_7_1,13,86,,
7,20,2,1,charger_7_1,12,86,,
7,21,2,1,charger_7_1,11,86,,
7,22,2,1,charger_7_1,10,86,,
7,23,2,1,charger_7_1,9,86,,
7,0,3,1,charger_7_1,8,86,,
