Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1,1,8,0,23.16,0.0,45.64,7.5,1.56,9.68,0.0,0.0
1,2,8,0,22.87,0.0,48.05,7.4,0.36,8.27,0.0,0.0
1,3,8,0,22.79,0.0,49.18,7.5,0.36,7.77,0.0,0.0
1,4,8,0,22.71,0.0,50.5,6.2,0.0,6.45,0.0,0.0
1,5,8,0,22.68,0.0,51.57,7.1,2.88,6.53,0.0,0.0
1,6,8,0,22.67,0.0,52.02,8.3,1.08,6.8,0.0,0.0
1,7,8,0,22.66,0.0,52.25,7.8,5.16,6.18,0.0,0.0
1,8,8,0,22.68,0.0,52.21,9.8,14.16,7.79,0.0,19.8897
1,9,8,0,23.01,0.0,50.69,16.6,3.0,14.89,0.0,253.431
1,10,8,0,23.21,0.0,48.87,14.6,16.68,17.62,0.0,391.36
1,11,8,0,23.38,0.0,46.94,17.3,11.76,24.34,0.0,516.506
1,12,8,0,23.47,0.0,45.5,15.9,0.96,26.42,0.0,525.3290000000001
1,13,8,0,23.45,0.0,44.83,10.0,2.64,24.02,0.0,587.309
1,14,8,0,23.49,0.0,43.99,12.5,1.2,30.7,0.0,614.509
1,15,8,0,23.49,0.0,43.18,13.1,0.6,34.05,0.0,458.635
1,16,8,0,23.49,0.0,42.4,20.6,2.04,44.27,0.0,351.1
1,17,8,0,23.49,0.0,42.36,11.5,2.04,30.68,0.0,151.153
1,18,8,0,23.49,0.0,43.06,9.1,1.92,23.29,0.0,0.0
1,19,8,0,23.49,0.0,43.76,16.5,1.68,31.54,0.0,0.0
1,20,8,0,23.49,0.0,43.65,23.6,3.0,37.86,0.0,0.0
1,21,8,0,23.49,0.0,43.17,23.4,3.6,35.06,0.0,0.0
1,22,8,0,23.49,0.0,43.37,16.8,1.68,25.16,0.0,0.0
1,23,8,0,23.49,0.0,43.38,21.4,3.48,28.52,0.0,0.0
1,24,8,0,23.48,0.0,43.57,13.9,1.2,17.45,0.0,0.0
1,1,2,0,23.41,0.0,44.85,12.2,1.2,14.02,0.0,0.0
1,2,2,0,23.02,0.0,47.43,6.4,0.6,8.59,0.0,0.0
1,3,2,0,22.77,0.0,49.6,6.1,0.12,6.98,0.0,0.0
1,4,2,0,22.68,0.0,50.8,6.6,0.12,6.15,0.0,0.0
1,5,2,0,22.64,0.0,51.57,5.6,0.0,4.5,0.0,0.0
1,6,2,0,22.63,0.0,51.67,7.9,2.52,4.8,0.0,0.0
1,7,2,0,22.61,0.0,51.29,8.4,3.84,4.14,0.0,0.0
1,8,2,0,22.61,0.0,50.74,10.1,20.88,4.76,0.0,8.58858
1,9,2,0,22.7,0.0,49.25,17.8,5.16,9.28,0.0,137.251
1,10,2,0,22.66,0.0,48.05,13.0,3.0,6.52,0.0,153.369
1,11,2,0,22.65,0.0,47.72,11.2,10.56,6.12,0.0,183.96
1,12,2,0,22.68,0.0,47.44,9.7,2.28,6.69,0.0,397.082
1,13,2,0,22.7,0.0,46.82,10.4,5.52,7.05,0.0,248.472
1,14,2,0,23.05,0.0,44.55,21.0,5.76,13.54,0.0,233.457
1,15,2,0,22.84,0.0,43.67,11.0,3.72,8.1,0.0,233.211
1,16,2,0,22.8,0.0,42.22,9.5,4.08,7.72,0.0,203.956
1,17,2,0,22.82,0.0,40.87,10.0,8.52,8.0,0.0,167.73
1,18,2,0,22.84,0.0,39.96,17.1,9.24,9.69,0.0,0.0
1,19,2,0,22.76,0.0,39.73,12.7,3.48,6.94,0.0,0.0
1,20,2,0,22.83,0.0,39.17,19.8,3.72,10.0,0.0,0.0
1,21,2,0,22.75,0.0,39.1,16.8,3.96,7.39,0.0,0.0
1,22,2,0,22.69,0.0,39.27,16.3,1.32,6.47,0.0,0.0
1,23,2,0,22.66,0.0,39.09,15.6,1.44,5.35,0.0,0.0
1,24,2,0,22.63,0.0,38.79,14.6,1.32,4.09,0.0,0.0
1,1,3,0,22.56,0.0,38.53,11.0,0.72,2.3,0.0,0.0
1,2,3,0,22.43,0.0,38.76,7.7,0.24,1.27,0.0,0.0
1,3,3,0,22.35,0.0,39.23,7.3,0.12,1.04,0.0,0.0
1,4,3,0,22.26,0.0,39.64,6.3,1.68,0.79,0.0,0.0
1,5,3,0,22.27,0.0,39.66,8.1,0.12,0.94,0.0,0.0
1,6,3,0,22.37,0.0,39.28,12.0,1.92,1.57,0.0,0.0
1,7,3,0,22.37,0.0,39.01,11.2,3.24,1.35,0.0,0.0
1,8,3,0,22.49,0.0,38.12,17.5,12.96,3.48,0.0,19.5194
1,9,3,0,22.58,0.0,37.23,19.7,13.8,5.98,0.0,191.798
1,10,3,0,22.59,0.0,36.57,12.3,5.04,5.15,0.0,360.851
