Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
12.29,70.62,0.00,0.00,11.55,20.03,10.13,77.82,49.59,66.85,0.00,238.64,0.00,0.00,112.96,0.00
12.21,77.62,0.00,0.00,12.37,20.67,7.75,73.79,47.13,78.26,34.24,193.60,0.00,8.18,35.90,0.00
11.97,75.50,0.00,0.00,13.84,20.69,4.90,68.10,44.09,89.42,112.46,131.68,0.00,45.53,14.38,0.00
11.84,76.50,0.00,0.00,15.79,19.45,3.69,64.86,45.05,90.97,180.80,55.77,0.00,76.60,0.99,0.00
11.80,76.75,0.00,0.00,17.43,19.00,4.21,59.81,45.48,81.82,230.57,5.01,0.00,120.81,0.00,0.00
11.74,75.38,0.00,0.00,19.09,17.42,1.03,53.11,50.95,96.99,256.42,0.00,0.00,155.75,0.00,0.00
11.70,76.88,0.00,0.00,20.19,16.13,0.51,49.04,54.52,94.60,241.38,0.00,0.00,114.26,0.00,0.00
12.20,74.88,33.75,8.06,20.68,16.21,-0.39,47.06,51.94,95.93,193.86,0.00,25.16,35.95,0.00,81.89
13.75,68.62,111.62,45.19,20.53,14.43,3.51,44.61,56.76,72.25,130.22,0.00,67.67,14.22,0.00,530.33
15.69,65.38,179.38,76.00,19.51,14.39,5.19,44.83,55.63,67.98,56.04,0.00,74.40,1.00,0.00,716.86
17.52,59.38,232.25,121.69,18.70,13.85,7.66,46.49,56.48,53.31,4.91,0.00,89.10,0.00,0.00,798.04
19.14,52.88,257.56,156.44,17.43,11.83,8.67,50.91,62.65,45.97,0.00,0.00,95.00,0.00,0.00,774.78
20.32,48.50,244.12,115.56,16.38,10.47,10.42,53.57,65.30,39.65,0.00,0.00,108.85,0.00,0.00,775.49
20.70,47.00,194.12,36.00,15.99,8.14,10.80,52.78,76.19,39.60,0.00,0.00,93.13,0.00,0.00,762.63
20.39,45.12,128.75,14.06,14.70,5.52,8.52,55.69,85.77,46.19,0.00,0.00,66.12,0.00,0.00,579.88
19.57,44.62,56.31,1.00,14.23,4.05,9.46,56.25,88.74,43.26,0.00,0.00,44.93,0.00,0.00,461.09
18.45,47.50,4.81,0.00,13.52,3.63,5.59,57.87,85.53,58.90,0.00,0.00,5.11,0.00,0.00,29.50
17.44,50.88,0.00,0.00,12.14,1.52,4.67,61.32,93.81,65.68,0.00,0.00,0.00,0.00,0.00,0.00
16.60,52.62,0.00,0.00,10.64,0.78,3.91,64.53,92.80,67.70,0.00,0.00,0.00,0.00,0.00,0.00
15.80,53.62,0.00,0.00,8.33,0.30,3.87,75.16,91.59,66.16,0.00,26.55,0.00,0.00,86.42,0.00
14.94,54.62,0.00,0.00,5.83,3.04,2.38,83.95,74.88,73.65,0.00,65.53,0.00,0.00,513.51,0.00
14.10,56.88,0.00,0.00,4.23,5.06,1.19,87.62,68.62,79.18,0.00,73.73,0.00,0.00,710.43,0.00
13.24,59.25,0.00,0.00,3.34,7.27,-0.24,87.39,54.84,82.56,0.00,86.80,0.00,0.00,777.42,0.00
12.40,60.00,0.00,0.00,1.77,8.54,-0.33,92.21,46.42,78.72,0.00,94.10,0.00,0.00,767.39,0.00
10.79,63.75,0.00,0.00,0.92,9.86,-2.21,91.90,41.39,95.33,0.00,104.80,0.00,0.00,746.65,0.00
8.50,74.12,0.00,0.00,0.65,10.21,-0.13,89.42,41.42,84.53,27.25,89.51,0.00,88.68,732.94,0.00
6.10,82.12,0.00,0.00,2.80,8.97,-1.15,76.19,44.78,87.45,64.45,68.40,0.00,505.10,599.94,0.00
4.39,86.50,0.00,0.00,4.99,8.94,-1.44,68.93,45.01,88.19,73.39,43.37,0.00,707.22,445.07,0.00
3.09,89.25,0.00,0.00,7.08,6.22,-0.90,55.61,56.45,87.26,85.65,5.37,0.00,767.12,30.97,0.00
1.98,90.62,0.00,0.00,8.47,5.08,-1.78,46.65,63.84,94.14,93.64,0.00,0.00,763.70,0.00,0.00
1.04,91.00,0.00,0.00,9.58,4.20,-0.14,42.25,66.35,82.18,102.77,0.00,0.00,732.23,0.00,0.00
0.95,87.25,27.94,90.94,9.91,3.67,0.57,42.34,67.14,77.59,87.69,0.00,35.81,718.09,0.00,64.25
2.60,77.50,63.38,496.69,9.20,2.43,1.82,44.08,73.38,70.03,69.55,0.00,83.68,609.97,0.00,334.76
4.94,69.25,73.06,704.00,8.67,1.34,4.85,45.88,78.34,54.38,42.59,0.00,106.63,437.07,0.00,485.39
6.92,56.38,84.50,756.81,6.54,0.13,8.63,55.22,80.47,42.29,5.49,0.00,162.22,31.70,0.00,457.45
8.41,46.88,93.19,760.00,5.29,-0.44,11.96,62.92,79.30,34.12,0.00,0.00,166.92,0.00,0.00,587.15
9.34,43.12,100.75,717.81,4.35,-1.56,12.18,65.68,91.29,32.96,0.00,0.00,119.09,0.00,0.00,613.78
9.66,43.25,85.88,703.25,3.57,-0.58,14.05,67.63,87.46,28.33,0.00,0.00,121.57,0.00,0.00,634.37
9.39,43.38,70.69,620.00,2.46,-1.10,13.14,73.25,87.16,30.69,0.00,0.00,86.53,0.00,0.00,595.64
8.45,46.75,41.81,429.06,1.42,-1.23,12.77,77.92,86.90,32.48,0.00,0.00,60.02,0.00,0.00,327.76
6.81,54.00,5.62,32.44,0.32,-0.95,10.72,79.43,87.57,37.07,0.00,0.00,7.28,0.00,0.00,23.47
5.47,62.00,0.00,0.00,-0.49,-1.38,10.29,79.59,91.57,39.45,0.00,0.00,0.00,0.00,0.00,0.00
4.47,65.00,0.00,0.00,-1.24,-0.59,8.22,89.27,84.96,47.39,0.00,0.00,0.00,0.00,0.00,0.00
3.48,68.12,0.00,0.00,-0.81,0.15,7.72,88.92,80.10,48.44,0.00,34.78,0.00,0.00,62.40,0.00
2.48,73.12,0.00,0.00,-1.08,2.09,8.45,87.02,68.77,46.75,0.00,85.31,0.00,0.00,341.29,0.00
1.48,77.50,0.00,0.00,-1.13,5.37,7.25,86.26,52.50,51.51,0.00,110.91,0.00,0.00,504.89,0.00
0.48,78.38,0.00,0.00,-0.98,8.70,7.37,87.72,42.08,51.68,0.00,163.01,0.00,0.00,459.69,0.00
-0.53,79.88,0.00,0.00,-1.17,11.44,5.15,90.28,35.50,61.70,0.00,161.11,0.00,0.00,566.73,0.00
-0.96,87.25,0.00,0.00,-0.81,12.42,4.59,86.36,32.42,62.60,0.00,121.17,0.00,0.00,624.52,0.00
-1.00,90.38,0.00,0.00,-0.07,13.80,2.52,81.36,28.86,70.07,34.26,119.48,0.00,61.48,623.43,0.00
-1.06,86.88,0.00,0.00,2.22,13.55,1.67,68.13,29.84,73.00,86.12,89.21,0.00,344.55,614.04,0.00
-1.04,85.62,0.00,0.00,5.63,12.99,2.43,51.56,31.99,66.65,113.05,60.98,0.00,514.63,333.01,0.00
-1.00,87.88,0.00,0.00,8.73,11.03,2.75,41.98,36.29,63.28,163.41,7.45,0.00,460.82,24.02,0.00
-1.00,89.00,0.00,0.00,11.17,10.17,1.12,36.19,39.79,73.89,158.21,0.00,0.00,556.52,0.00,0.00
-1.00,87.75,0.00,0.00,12.54,8.78,1.47,32.15,45.63,72.86,122.21,0.00,0.00,629.88,0.00,0.00
-0.25,82.62,33.75,60.56,13.68,8.16,0.96,29.12,47.03,76.35,118.43,0.00,34.42,617.97,0.00,27.16
2.33,67.50,86.94,347.81,13.76,8.11,1.56,29.42,47.93,74.48,90.54,0.00,108.29,623.24,0.00,126.29
5.85,50.62,115.19,524.38,13.10,7.15,4.17,31.74,51.88,62.86,61.46,0.00,177.36,335.63,0.00,170.75
8.76,41.88,163.81,461.94,11.19,6.81,5.24,35.89,53.90,58.11,7.54,0.00,198.69,24.29,0.00,253.02
10.95,36.88,155.31,546.31,10.11,5.36,6.03,39.95,60.79,54.45,0.00,0.00,239.02,0.00,0.00,170.70
12.64,31.88,123.25,635.25,9.06,4.63,7.53,44.76,62.43,49.19,0.00,0.00,225.60,0.00,0.00,168.45
13.57,29.38,117.38,612.50,8.37,3.15,7.53,46.33,67.16,49.09,0.00,0.00,165.67,0.00,0.00,28.83
13.93,29.00,91.88,632.44,7.94,2.24,6.75,48.53,70.25,50.39,0.00,0.00,85.27,0.00,0.00,1.33
13.19,31.50,61.94,338.25,7.10,2.25,5.71,52.07,67.52,52.54,0.00,0.00,17.41,0.00,0.00,0.00
11.32,35.50,7.62,24.56,6.54,2.15,4.24,55.01,66.27,58.95,0.00,0.00,2.12,0.00,0.00,0.00
10.06,40.12,0.00,0.00,5.47,1.14,3.11,60.34,73.82,63.85,0.00,0.00,0.00,0.00,0.00,0.00
9.30,43.88,0.00,0.00,4.65,1.13,3.24,62.34,74.74,62.87,0.00,0.00,0.00,0.00,0.00,0.00
8.56,45.62,0.00,0.00,3.47,1.02,1.94,65.71,76.05,67.86,0.00,34.55,0.00,0.00,27.27,0.00
7.80,49.12,0.00,0.00,2.53,2.07,2.62,68.87,71.93,64.81,0.00,112.59,0.00,0.00,131.30,0.00
7.06,52.25,0.00,0.00,2.17,4.24,1.01,67.95,62.55,72.58,0.00,178.24,0.00,0.00,171.60,0.00
6.30,56.12,0.00,0.00,1.85,5.55,0.00,67.76,56.86,74.96,0.00,203.34,0.00,0.00,258.95,0.00
5.56,59.88,0.00,0.00,1.14,6.58,-0.60,73.78,52.48,78.01,0.00,249.16,0.00,0.00,177.94,0.00
