Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,2.2758,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,2.0,1.0,0,,,,0.8346000000000005,0,0,0,0.0
8.0,3.0,1.0,0,,,,0.8381666666666678,0,0,0,0.0
8.0,4.0,1.0,0,,,,1.478433333333334,0,0,0,0.0
8.0,5.0,1.0,0,,,,1.2561999999999995,0,0,0,0.0
8.0,6.0,1.0,0,,,,1.869516666666667,0,0,0,14.504166666666666
8.0,7.0,1.0,0,,,,0.8088166666666669,0,0,0,111.52083333333333
8.0,8.0,1.0,0,,,,0.6159666666666668,0,0,0,276.47083333333336
8.0,9.0,1.0,0,,,,0.6272333333333332,0,0,0,453.025
8.0,10.0,1.0,0,,,,0.6180666666666665,0,0,0,606.9625
8.0,11.0,1.0,0,,,,0.6451333333333334,0,0,0,712.75
8.0,12.0,1.0,0,,,,0.7644333333333331,0,0,0,759.825
8.0,13.0,1.0,0,,,,1.4323,0,0,0,751.2625
8.0,14.0,1.0,0,,,,1.9018333333333335,0,0,0,689.675
8.0,15.0,1.0,0,,,,1.7299833333333332,0,0,0,581.275
8.0,16.0,1.0,0,,,,1.3914333333333335,0,0,0,422.425
8.0,17.0,1.0,0,,,,1.0301,0,0,0,242.6
8.0,18.0,1.0,0,,,,1.3838166666666667,0,0,0,82.24166666666666
8.0,19.0,1.0,0,,,,1.031916666666667,0,0,0,6.233333333333333
8.0,20.0,1.0,0,,,,3.603983333333334,0,0,0,0.0
8.0,21.0,1.0,0,,,,5.008499999999999,0,0,0,0.0
8.0,22.0,1.0,0,,,,3.8962166666666667,0,0,0,0.0
8.0,23.0,1.0,0,,,,3.5570833333333325,0,0,0,0.0
8.0,24.0,1.0,0,,,,1.4113333333333344,0,0,0,0.0
8.0,1.0,2.0,0,,,,0.979416666666666,0,0,0,0.0
8.0,2.0,2.0,0,,,,0.9009750000000004,0,0,0,0.0
8.0,3.0,2.0,0,,,,0.9224333333333332,0,0,0,0.0
8.0,4.0,2.0,0,,,,0.9104833333333338,0,0,0,0.0
8.0,5.0,2.0,0,,,,1.0103,0,0,0,0.0
8.0,6.0,2.0,0,,,,1.2976833333333335,0,0,0,14.095833333333333
8.0,7.0,2.0,0,,,,1.1922666666666668,0,0,0,109.62083333333334
8.0,8.0,2.0,0,,,,1.2234666666666665,0,0,0,269.425
8.0,9.0,2.0,0,,,,1.082683333333333,0,0,0,446.89166666666665
8.0,10.0,2.0,0,,,,0.6676666666666667,0,0,0,594.0333333333333
8.0,11.0,2.0,0,,,,0.6661,0,0,0,698.3125
8.0,12.0,2.0,0,,,,0.6456833333333334,0,0,0,751.0333333333333
8.0,13.0,2.0,0,,,,1.1646166666666669,0,0,0,738.5833333333334
8.0,14.0,2.0,0,,,,1.4435833333333326,0,0,0,681.1666666666666
8.0,15.0,2.0,0,,,,0.86195,0,0,0,571.2291666666666
8.0,16.0,2.0,0,,,,0.7617499999999999,0,0,0,419.5208333333333
8.0,17.0,2.0,0,,,,2.9404666666666652,0,0,0,242.975
8.0,18.0,2.0,0,,,,2.4557666666666664,0,0,0,83.20833333333333
8.0,19.0,2.0,0,,,,5.264016666666665,0,0,0,6.904166666666667
8.0,20.0,2.0,0,,,,5.192933333333331,0,0,0,0.0
8.0,21.0,2.0,0,,,,3.931883333333332,0,0,0,0.0
8.0,22.0,2.0,0,,,,1.8948499999999993,0,0,0,0.0
8.0,23.0,2.0,0,,,,1.3533666666666673,0,0,0,0.0
8.0,24.0,2.0,0,,,,1.7904500000000005,0,0,0,0.0
8.0,1.0,3.0,0,,,,0.9643333333333345,0,0,0,0.0
8.0,2.0,3.0,0,,,,0.9697833333333343,0,0,0,0.0
8.0,3.0,3.0,0,,,,0.9800333333333334,0,0,0,0.0
8.0,4.0,3.0,0,,,,0.9736833333333331,0,0,0,0.0
8.0,5.0,3.0,0,,,,1.41885,0,0,0,0.0
8.0,6.0,3.0,0,,,,1.8283666666666671,0,0,0,17.433333333333334
8.0,7.0,3.0,0,,,,1.4670166666666669,0,0,0,120.96666666666667
8.0,8.0,3.0,0,,,,0.9732166666666665,0,0,0,276.35833333333335
8.0,9.0,3.0,0,,,,1.4841333333333335,0,0,0,434.05
8.0,10.0,3.0,0,,,,1.8785333333333327,0,0,0,579.4583333333334
8.0,11.0,3.0,0,,,,2.6247,0,0,0,722.9083333333333
8.0,12.0,3.0,0,,,,2.3644166666666675,0,0,0,763.475
8.0,13.0,3.0,0,,,,1.7573999999999996,0,0,0,756.4041666666667
8.0,14.0,3.0,0,,,,2.007266666666667,0,0,0,695.5791666666667
8.0,15.0,3.0,0,,,,1.0462666666666667,0,0,0,582.0541666666667
8.0,16.0,3.0,0,,,,0.6873999999999998,0,0,0,423.6333333333333
8.0,17.0,3.0,0,,,,0.661116666666666,0,0,0,244.9
8.0,18.0,3.0,0,,,,2.2571499999999993,0,0,0,79.83333333333333
8.0,19.0,3.0,0,,,,1.569466666666667,0,0,0,5.1875
8.0,20.0,3.0,0,,,,4.687783333333335,0,0,0,0.0
8.0,21.0,3.0,0,,,,4.039583333333331,0,0,0,0.0
8.0,22.0,3.0,0,,,,2.9469,0,0,0,0.0
8.0,23.0,3.0,0,,,,2.2459000000000002,0,0,0,0.0
8.0,24.0,3.0,0,,,,0.9128833333333334,0,0,0,0.0
8.0,1.0,4.0,0,,,,0.8333499999999993,0,0,0,0.0
8.0,2.0,4.0,0,,,,0.8092999999999991,0,0,0,0.0
8.0,3.0,4.0,0,,,,0.8260499999999993,0,0,0,0.0
8.0,4.0,4.0,0,,,,0.8205666666666662,0,0,0,0.0
8.0,5.0,4.0,0,,,,1.213833333333333,0,0,0,0.0
8.0,6.0,4.0,0,,,,0.7760000000000004,0,0,0,10.491666666666667
8.0,7.0,4.0,0,,,,0.8312666666666667,0,0,0,112.4625
8.0,8.0,4.0,0,,,,0.5700500000000002,0,0,0,228.88333333333333
8.0,9.0,4.0,0,,,,0.8452499999999998,0,0,0,386.35833333333335
8.0,10.0,4.0,0,,,,1.2543666666666669,0,0,0,604.2708333333334
8.0,11.0,4.0,0,,,,0.5339333333333331,0,0,0,703.4083333333333
8.0,12.0,4.0,0,,,,0.5173833333333333,0,0,0,753.3166666666667
8.0,13.0,4.0,0,,,,1.53225,0,0,0,748.7708333333334
8.0,14.0,4.0,0,,,,1.4186500000000002,0,0,0,693.3041666666667
8.0,15.0,4.0,0,,,,0.5733833333333331,0,0,0,583.025
8.0,16.0,4.0,0,,,,0.7239500000000001,0,0,0,420.06666666666666
8.0,17.0,4.0,0,,,,1.8375333333333335,0,0,0,236.77916666666667
8.0,18.0,4.0,0,,,,4.254133333333335,0,0,0,77.51666666666667
8.0,19.0,4.0,0,,,,4.292933333333335,0,0,0,5.145833333333333
8.0,20.0,4.0,0,,,,4.10335,0,0,0,0.0
8.0,21.0,4.0,0,,,,2.7807999999999997,0,0,0,0.0
8.0,22.0,4.0,0,,,,2.1478833333333327,0,0,0,0.0
8.0,23.0,4.0,0,,,,1.981216666666667,0,0,0,0.0
8.0,24.0,4.0,0,,,,1.1093833333333332,0,0,0,0.0
8.0,1.0,5.0,0,,,,1.0117666666666667,0,0,0,0.0
8.0,2.0,5.0,0,,,,2.189766666666667,0,0,0,0.0
8.0,3.0,5.0,0,,,,2.1816333333333335,0,0,0,0.0
8.0,4.0,5.0,0,,,,1.7153499999999995,0,0,0,0.0
