Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,1.4945166666666674,0,0,0,0.0
8.0,1.0,1.0,0,,,,1.1853499999999997,0,0,0,0.0
8.0,2.0,1.0,0,,,,1.2106000000000003,0,0,0,0.0
8.0,3.0,1.0,0,,,,1.512016666666667,0,0,0,0.0
8.0,4.0,1.0,0,,,,2.5578833333333337,0,0,0,0.0
8.0,5.0,1.0,0,,,,0.9428833333333334,0,0,0,0.0
8.0,6.0,1.0,0,,,,0.8563499999999997,0,0,0,32.4375
8.0,7.0,1.0,0,,,,0.9258833333333331,0,0,0,182.62916666666666
8.0,8.0,1.0,0,,,,2.0711000000000004,0,0,0,356.24583333333334
8.0,9.0,1.0,0,,,,3.3353500000000005,0,0,0,504.53333333333336
8.0,10.0,1.0,0,,,,3.7563833333333334,0,0,0,616.7541666666667
8.0,11.0,1.0,0,,,,3.9093333333333327,0,0,0,678.2291666666666
8.0,12.0,1.0,0,,,,2.8632333333333335,0,0,0,689.7125
8.0,13.0,1.0,0,,,,3.755766666666666,0,0,0,651.4041666666667
8.0,14.0,1.0,0,,,,2.814166673787436,0,0,0,564.3833333333333
8.0,15.0,1.0,0,,,,0.20903343302408853,0,0,0,440.21666666666664
8.0,16.0,1.0,0,,,,1.0305333653767907,0,0,0,283.8833333333333
8.0,17.0,1.0,0,,,,0.10640003089904787,0,0,0,130.52916666666667
8.0,18.0,1.0,0,,,,2.0559000020345057,0,0,0,33.4
8.0,19.0,1.0,0,,,,2.146633333333334,0,0,0,2.7125
8.0,20.0,1.0,0,,,,1.7129166666666673,0,0,0,0.0
8.0,21.0,1.0,0,,,,1.6071333333333335,0,0,0,0.0
8.0,22.0,1.0,0,,,,1.4800000000000006,0,0,0,0.0
8.0,23.0,1.0,0,,,,1.382083333333333,0,0,0,0.0
