Outdoor Drybulb Temperature (C),Outdoor Relative Humidity (%),Diffuse Solar Radiation (W/m2),Direct Solar Radiation (W/m2),6h Outdoor Drybulb Temperature (C),12h Outdoor Drybulb Temperature (C),24h Outdoor Drybulb Temperature (C),6h Outdoor Relative Humidity (%),12h Outdoor Relative Humidity (%),24h Outdoor Relative Humidity (%),6h Diffuse Solar Radiation (W/m2),12h Diffuse Solar Radiation (W/m2),24h Diffuse Solar Radiation (W/m2),6h Direct Solar Radiation (W/m2),12h Direct Solar Radiation (W/m2),24h Direct Solar Radiation (W/m2)
21.85,98.19,0.0,0.0,21.73271785542318,26.866079739289624,17.42240781380168,93.97672672427646,69.35465227868579,100.0,31.00276294900003,558.8880379595755,0.0,33.49817387681311,206.7492686856365,0.0
21.38,98.5,0.0,0.0,20.411549310391518,27.594864965909824,18.84781456595313,100.0,66.37844473397223,58.537116743620594,126.09153675647104,353.87780004313163,0.0,56.405337779913374,156.53280221091444,0.0
21.09,98.5,0.0,0.0,21.200410225987035,25.71845805661194,18.877052829065356,83.3177889801213,65.56697767772486,98.34358336181339,156.31213354588712,568.6644194041937,0.0,73.17529012690615,218.93116834000716,0.0
20.94,98.0,0.0,0.0,21.554139023507872,28.057226765902975,18.871671290567043,79.53161776957184,60.264403522389536,100.0,270.41685105809273,229.66002841749895,0.0,177.54500098423412,183.77453951368884,0.0
20.82,97.88,0.0,0.0,23.526413879279026,25.909586304758115,18.41646130702278,61.78427293144509,81.0973431522645,100.0,496.7429114648825,182.7607090386765,0.0,175.0744469889109,85.39913977361724,0.0
20.73,97.81,0.0,0.0,24.688236392160288,26.88361338990076,17.025522696903206,78.1687216587,80.67923809552528,100.0,501.38184663188036,91.8810414027141,0.0,193.2294409577483,112.58621730083229,0.0
21.23,96.5,30.9,36.82,25.328390748093298,25.503915293554517,20.46306828792551,81.20003341149771,90.67708485101242,78.63316877619798,480.0137299169463,71.47696118281458,58.69233656704269,211.27204979653615,38.206497440668656,398.4931224314426
21.39,94.44,140.66,58.98,25.934942176663476,24.385574956845023,20.03056518259655,66.75922802282113,89.40179387802296,94.32631394637409,449.95846799352915,0.0,105.8340629993867,154.6299215208168,0.0,383.47146596016114
21.64,89.69,182.15,74.66,26.877233042452787,23.419820981777235,22.286221527719192,65.38143451444351,70.78383692425851,68.00980566165306,509.86291923653323,0.0,177.78169951771955,226.23420946463253,0.0,492.90623488624675
22.22,82.62,326.41,166.42,26.980126082302522,20.604598601963193,25.415965242493197,55.955619785885986,82.38290081870494,100.0,371.3896301923915,0.0,133.04637531948708,122.74694531887232,0.0,627.9957070781666
23.33,75.56,425.37,182.01,26.515144197153024,21.251969898039338,26.568893199961863,67.16210942505573,100.0,78.03956428301389,208.4077755371872,0.0,157.05942631519565,107.80540852808258,0.0,802.1097437017764
24.47,71.31,463.43,195.09,24.985277837598556,19.522152177190584,25.069425603912414,81.16240709115318,87.7858554449313,66.29367930591864,114.50197154287393,0.0,364.14061597285024,102.72778714460615,0.0,607.5117665685382
25.58,68.38,447.65,187.83,25.851902328767608,18.74944974149078,26.605590827074472,91.20586113177427,100.0,47.48344724637921,60.82251116080549,0.0,574.6563798844974,41.18107521149231,0.0,379.56884157216143
26.43,66.62,455.7,183.63,22.105473927339936,18.458552644417576,25.641104936829365,79.91177166830768,86.50381482424139,48.13932273707908,0.0,0.0,226.517588807973,0.0,0.0,590.1332183229421
26.83,66.0,441.52,200.63,21.126804851304104,19.358718254135752,29.191431550040367,90.35358225433724,91.3727142548001,68.86158938399615,0.0,0.0,178.88476863911598,0.0,0.0,574.9869222203758
26.76,66.19,326.56,147.07,20.643989234498324,19.53752178603243,25.710961689963884,91.81506128293296,88.01320863549402,72.47130856751767,0.0,0.0,278.18793542261034,0.0,0.0,237.84606647635704
26.3,68.25,221.3,95.56,21.568743132387095,18.267269177538026,25.84004343377719,100.0,85.66027902423541,87.64801495201212,0.0,0.0,141.10199646743132,0.0,0.0,257.98029443402424
25.85,72.62,104.9,113.39,20.801078547924092,19.104027154510312,24.557204301598272,100.0,73.83002156292562,100.0,0.0,0.0,115.96356618452415,0.0,0.0,117.26747756815426
24.97,77.38,61.32,42.12,19.19969319509234,19.37270577453416,25.094370800888903,86.85886588711737,86.52768184256131,79.40309209436707,0.0,52.689157735903905,71.80017104411561,0.0,370.8217239918038,66.04642714475608
23.04,87.5,0.0,0.0,17.73587813672129,20.263769076491037,24.113312252693373,100.0,64.29074128709532,55.96370677364078,0.0,108.59923279085925,0.0,0.0,512.557124471737,0.0
22.08,87.62,0.0,0.0,18.368767712160825,25.003201807279197,21.80920285729652,91.42325263163801,57.066873983307474,100.0,0.0,112.58285018851805,0.0,0.0,536.8098499670332,0.0
21.36,88.56,0.0,0.0,18.12676885450402,26.892214591620558,21.198046285920505,90.12258581606582,93.82677139861804,74.88434241359579,0.0,166.1012321361066,0.0,0.0,678.8590998621509,0.0
20.58,90.69,0.0,0.0,17.770474513631843,25.138314026740904,22.736822276951212,77.71538614089687,59.00652872794961,84.72686913248012,0.0,147.81535858879178,0.0,0.0,619.8999531227026,0.0
19.83,93.19,0.0,0.0,18.4610997036019,25.73378610886043,23.18349381646534,99.39374523741982,71.09678184604377,100.0,0.0,266.60085006527015,0.0,0.0,644.414038488735,0.0
19.19,95.25,0.0,0.0,20.192035749437238,27.86286922197923,21.871455567053186,84.96332674111197,52.69009900608624,100.0,64.14536792350663,418.3168509636163,0.0,331.71997319958786,459.89724812898316,0.0
18.72,96.25,0.0,0.0,20.91317790013192,27.709569220614103,19.060160276758566,100.0,86.0705170084174,76.34065027845662,97.95989382103953,219.17565858091763,0.0,416.05692136326707,604.3088612706308,0.0
18.45,96.38,0.0,0.0,24.114597268887433,28.559266837643595,21.002155519864992,76.92992194657397,76.03445430806265,64.59528796713997,150.4438110178282,316.26307840724064,0.0,648.4304933607474,552.574746904055,0.0
18.3,96.25,0.0,0.0,26.02371451023555,28.834886588569592,19.269580059128835,64.94632242291821,67.67178568561013,100.0,234.95996530451197,301.3572758463515,0.0,662.9052436295069,316.58149560678555,0.0
18.24,95.81,0.0,0.0,26.435860912610533,27.095081100664203,21.626414221659633,77.37259802798872,94.03164162632092,100.0,219.8551851824708,199.394415812449,0.0,555.3320749685524,260.06461651325606,0.0
18.16,96.0,0.0,0.0,27.84208152574542,27.15796952018887,19.56560637381291,56.030147147129895,59.27558560041165,94.89102857172185,265.83892773024934,123.55581364712857,0.0,508.2943802788899,170.54528752560532,0.0
19.53,92.69,63.83,287.88,26.645484862733994,24.10202360618912,20.526522040590024,55.80622057293406,100.0,100.0,372.97985294122225,74.82843382811575,66.74297671730092,291.9059631181788,88.65254511983046,61.518858105486565
21.28,87.88,105.22,490.84,26.58162381525645,23.85981234800425,21.32614671061124,70.79261684871791,62.78788550897614,100.0,216.36160829905097,0.0,80.8359702449404,515.7017184376429,0.0,214.23414504281345
24.02,77.88,134.06,576.74,27.587436382705384,22.47355347669232,21.869550535017737,70.12896870172646,66.3597722122238,58.9255972640456,225.92233750249116,0.0,111.83862401980156,614.0603787161582,0.0,140.2361216474824
25.71,72.25,204.1,562.27,27.28753963644835,23.58054111256049,22.945002360400974,56.620453483437366,100.0,100.0,352.9352540333959,0.0,216.91279804800368,300.95003354977143,0.0,145.58009673012705
26.51,69.81,208.7,659.06,27.955259885088896,23.118599655902766,22.9250546685744,82.03746671924503,100.0,100.0,204.59222866217604,0.0,55.95232235740999,232.51992778610855,0.0,35.24502093931389
26.88,68.88,309.69,507.82,25.549462637757387,21.43840791829437,25.278311343790488,78.59632241644553,89.59609302890827,97.02836329377725,133.63339617834976,0.0,127.26756430484562,122.61054672488653,0.0,34.49580594901677
27.26,68.25,419.48,354.38,24.80415767153489,22.13517996763204,25.266939381770523,93.7616965509908,100.0,94.01523261275118,58.630352404003325,0.0,95.57489973918814,70.53838809379964,0.0,44.4856592076931
27.4,67.94,232.93,486.74,23.666583065296365,20.845260102023122,22.044880729235345,99.47355800980172,100.0,77.4163564461812,0.0,0.0,53.06774437670153,0.0,0.0,39.75669836781121
