Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW],Occupant Count [people],Temperature Set Point [C],HVAC Mode [Off/Cooling/Heating]
6,1,1,1,28.1219624277523,0,49.774185554176,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
6,2,1,1,27.9394669265402,0,49.8430953522941,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
6,3,1,1,27.7802986138837,0,49.9654446181981,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
6,4,1,1,27.6426251310575,0,50.0260293434432,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
6,5,1,1,27.5263836869264,0,50.0439566380947,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
6,6,1,1,27.5784703851797,0,49.9635231967391,0.567641894272677,0,0.0,0,12.0745,0.0,30.0,0
6,7,1,1,27.7537223122453,0,49.912151908923,0.567641894272677,0,0.0,0,95.1272,0.0,30.0,0
6,8,1,1,27.9767495959727,0,49.7086725811427,0.567641894272677,0,0.0,0,253.607,0.0,29.9999999999999,1
6,9,1,1,28.1938823481934,0,49.6328571136387,0.567641894272677,0,0.0,0,419.096,0.0,29.9999999999999,1
6,10,1,1,28.3465601398047,0,49.5211167221649,0.567641894272677,0,0.0,0,562.741,0.0,30.0,0
6,11,1,1,28.4862476005732,0,49.4346586352509,0.567641894272677,0,0.0,0,642.262,0.0,30.0,0
6,12,1,1,28.6389605311499,0,49.3080033868046,0.567641894272677,0,0.0,0,676.939,0.0,30.0,0
6,13,1,1,28.7907926019502,0,49.2129632298929,0.567641894272677,0,0.0,0,670.825,0.0,30.0,0
6,14,1,1,28.930581353677,0,49.0543189909252,0.567641894272677,0,0.0,0,621.525,0.0,30.0,0
6,15,1,1,29.0918369389731,0,48.8795226554742,0.567641894272677,0,0.0,0,530.373,0.0,30.0,0
6,16,1,1,29.2989552951064,0,48.6807003240564,0.567641894272677,0,0.0,0,400.258,0.0,30.0,0
6,17,1,1,29.4782015223956,0,48.658485664451,0.567641894272677,0,0.0,0,235.398,0.0,30.0,0
6,18,1,1,29.5662183116535,0,48.6545158317526,0.567641894272677,0,0.0,0,87.1374,0.0,29.9999999999999,1
6,19,1,1,29.4527864257211,0,48.8566840153556,0.567641894272677,0,0.0,0,9.35545,0.0,30.0,0
6,20,1,1,29.2135470243226,0,48.9877282140164,0.567641894272677,0,0.0,0,0.0,0.0,30.0,0
