month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
6,1,1,1,24.881134,0.0,48.246567,2.6275141,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,2,1,1,24.998186,0.0,48.625843,3.4275212,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,3,1,1,24.769238,0.0,49.786522,2.6275141,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,4,1,1,24.856382,0.0,51.163452,5.0275354,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0
6,5,1,1,23.504139,0.0,50.141945,10.627584,0.0,18.8551,0.0,0.0,0.0,26.0,26.0,1
6,6,1,1,23.27946,0.0,50.16653,11.475133,2.26,15.317759,0.0,12.0745,14.383481,26.0,26.0,1
6,7,1,1,22.299875,0.0,50.02765,13.082461,1.95,34.31186,0.0,95.1272,143.83481,26.0,26.0,1
6,8,1,1,22.940973,0.0,49.963703,15.493453,4.35,30.789919,0.0,253.607,143.83481,26.0,26.0,1
6,9,1,1,24.5266,0.0,49.94271,17.904446,1.74,22.062544,0.0,419.096,57.533924,26.0,26.0,1
6,10,1,1,25.60824,0.0,49.962505,21.922766,1.44,26.311531,0.0,562.741,57.533924,26.0,26.0,1
6,11,1,1,25.989582,0.0,49.98573,24.333757,10.7,31.982065,0.0,642.262,86.30089,26.0,26.0,1
6,12,1,1,26.0,0.0,49.999023,22.726429,4.45,35.509823,0.0,676.939,143.83481,26.0,26.0,1
6,13,1,1,26.0,0.0,49.99604,21.119102,12.3,33.267185,0.0,670.825,143.83481,26.0,26.0,1
6,14,1,1,26.0,0.0,49.998787,19.511774,13.23,27.070944,0.0,621.525,86.30089,26.0,26.0,1
6,15,1,1,26.0,0.0,49.997353,19.511774,3.02,25.626953,0.0,530.373,57.533924,26.0,26.0,1
6,16,1,1,26.0,0.0,49.99856,21.922766,4.56,29.604206,0.0,400.258,71.917404,26.0,26.0,1
6,17,1,1,26.0,0.0,49.999973,21.922766,3.38,33.570244,0.0,235.398,100.68437,26.0,26.0,1
6,18,1,1,26.0,0.0,50.0,20.315437,2.5,39.84319,0.0,87.1374,158.21829,26.0,26.0,1
6,19,1,1,26.0,0.0,50.0,18.708109,1.43,40.94921,0.0,9.35545,186.98526,26.0,26.0,1
6,20,1,1,26.0,0.0,50.00074,17.10078,6.1,37.08092,0.0,0.0,201.36874,26.0,26.0,1
6,21,1,1,26.0,0.0,50.00006,15.493453,6.03,24.69125,0.0,0.0,100.68437,26.0,26.0,1
