month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
1,1,1,0,19.431856,51.08848,0.32631385,2.2765832,0.0,2.4681947,0.0,2.0,19.444445,19.444445,3
1,2,1,0,19.444405,51.095825,0.32441625,2.6560304,0.0,2.754297,0.0,2.0,19.444445,19.444445,3
1,3,1,0,19.444443,51.127426,0.32268962,0.0,0.0,3.093785,0.0,2.0,19.444445,19.444445,3
1,4,1,0,19.444445,51.080402,0.32090598,0.0,0.0,3.2611966,0.0,2.0,19.444445,19.444445,3
1,5,1,0,19.444445,51.07799,0.3190084,0.0,0.0,3.329902,0.0,2.0,19.444445,19.444445,3
1,6,1,0,19.444445,50.955505,0.31917936,0.0,0.0,3.4181657,0.0,2.0,19.444445,19.444445,3
1,7,1,0,19.444445,50.978626,0.32303154,0.0,0.0,3.4395187,0.0,2.0,19.444445,19.444445,3
1,8,1,0,19.444445,50.76247,0.3567161,0.0,0.0,4.130543,0.0,1.0,19.444445,19.444445,3
1,9,1,0,19.444445,50.999954,0.32769856,2.7897637,0.0,1.2116361,0.0,1.0,19.444445,19.444445,3
1,10,1,0,19.444445,51.058018,0.4950139,0.0,0.0,2.6601691,0.0,1.0,19.444445,19.444445,3
1,11,1,0,19.444445,51.096897,0.65636104,0.0,0.0,2.0628364,0.0,2.0,19.444445,19.444445,3
1,12,1,0,19.444445,51.262253,0.65912205,1.505008,0.0,0.36815685,0.0,2.0,19.444445,19.444445,3
1,13,1,0,19.444445,51.27138,0.49798813,0.0,0.0,0.8029238,0.0,1.0,19.444445,19.444445,3
1,14,1,0,19.444445,51.309658,0.4974914,0.0,0.0,0.49897656,0.0,1.0,19.444445,19.444445,3
1,15,1,0,19.444445,51.3363,0.35925758,0.0,0.0,0.25286755,0.0,0.0,19.444445,19.444445,3
1,16,1,0,19.444445,51.358593,0.3275846,0.0,0.0,0.15505037,0.0,0.0,19.444445,19.444445,3
1,17,1,0,19.444445,51.391308,0.5383657,0.0,0.0,0.31467402,0.0,1.0,19.444445,19.444445,3
1,18,1,0,19.730957,50.516174,0.5980632,0.0,0.0,0.9133674,0.0,1.0,19.731482,19.731482,3
1,19,1,0,19.999561,49.720486,0.34489092,0.5399105,0.0,1.4234756,0.0,0.0,20.0,20.0,3
1,20,1,0,20.0,49.751347,0.9358875,0.0,0.0,1.6675808,0.0,2.0,20.0,20.0,3
1,21,1,0,19.944548,49.99188,0.8573379,0.0,0.0,1.6608974,0.0,2.0,19.944445,19.944445,3
1,22,1,0,19.999866,49.79943,0.75928175,0.0,0.0,2.352686,0.0,2.0,20.0,20.0,3
1,23,1,0,19.445946,51.43628,0.33430317,0.0,0.0,2.2311857,0.0,2.0,19.444445,19.444445,3
1,24,1,0,18.893343,53.262936,0.32861036,0.0,0.0,1.3779423,0.0,2.0,18.88889,18.88889,3
1,1,2,0,18.888924,53.261723,0.32631385,0.0,0.0,1.742252,0.0,2.0,18.88889,18.88889,3
1,2,2,0,18.33808,55.0445,0.32441625,0.7595862,0.0,1.4366845,0.0,2.0,18.333334,18.333334,3
1,3,2,0,18.333376,55.001244,0.32268962,0.0,0.0,1.9617462,0.0,2.0,18.333334,18.333334,3
1,4,2,0,17.78319,56.826626,0.32090598,0.0,0.0,1.6126826,0.0,2.0,17.777779,17.777779,3
1,5,2,0,17.777792,56.660316,0.3190084,0.0,0.0,2.1193147,0.0,2.0,17.777779,17.777779,3
1,6,2,0,17.777779,56.501095,0.31917936,0.0,0.0,2.1388516,0.0,2.0,17.777779,17.777779,3
1,7,2,0,17.554455,57.144234,0.32303154,0.0,0.0,2.0420568,0.0,2.0,17.546297,17.546297,3
1,8,2,0,19.361803,51.38639,0.9422111,0.9038534,0.0,3.4113448,0.0,2.0,19.37963,19.37963,3
1,9,2,0,18.89131,52.826416,0.4931797,0.0,0.0,3.3295763,0.0,1.0,18.88889,18.88889,3
1,10,2,0,19.442917,51.043594,0.4950139,0.0,0.0,3.3619928,0.0,1.0,19.444445,19.444445,3
1,11,2,0,19.44444,51.034023,0.49088156,0.0,0.0,2.9325159,0.0,1.0,19.444445,19.444445,3
1,12,2,0,19.444445,51.00411,0.49229053,0.0,0.0,2.2855427,0.0,1.0,19.444445,19.444445,3
1,13,2,0,19.444445,51.019913,0.32885534,0.3797923,0.0,1.8957328,0.0,0.0,19.444445,19.444445,3
1,14,2,0,18.778269,53.148106,0.4974914,0.0,0.0,0.78463316,0.0,1.0,18.777779,18.777779,3
1,15,2,0,19.436783,50.975174,0.35925758,0.0,0.0,1.7407979,0.0,0.0,19.444445,19.444445,3
1,16,2,0,19.994015,49.351006,0.3275846,0.0,0.0,3.0569956,0.0,0.0,20.0,20.0,3
1,17,2,0,19.259737,51.667458,0.3331634,0.0,0.0,1.4544595,0.0,0.0,19.25926,19.25926,3
1,18,2,0,18.525475,54.128212,0.9072491,0.51680213,0.0,0.47510874,0.0,1.0,18.518518,18.518518,3
1,19,2,0,19.986546,49.85711,1.4186828,0.0,0.0,1.55352,0.0,1.0,20.0,20.0,3
1,20,2,0,20.0,50.023304,0.9358875,0.4287558,0.0,2.3408556,0.0,2.0,20.0,20.0,3
1,21,2,0,20.0,50.045586,0.8573379,0.2953791,0.0,2.422862,0.0,2.0,20.0,20.0,3
1,22,2,0,20.0,50.060413,0.75928175,0.32193443,0.0,2.5596406,0.0,2.0,20.0,20.0,3
1,23,2,0,19.449657,51.94395,0.50349313,2.7235184,0.22949436,0.0,0.0,2.0,19.444445,19.444445,3
1,24,2,0,19.444466,51.926147,0.41868976,0.0,0.0,2.0463035,0.0,2.0,19.444445,19.444445,3
1,1,3,0,18.893719,53.734596,0.32631385,0.7602883,0.0,1.4901415,0.0,2.0,18.88889,18.88889,3
1,2,3,0,18.888958,53.78915,0.32441625,0.0,0.0,1.7798748,0.0,2.0,18.88889,18.88889,3
1,3,3,0,18.88889,53.736652,0.32268962,0.0,0.0,2.313067,0.0,2.0,18.88889,18.88889,3
