Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1,1,8,0,21.77,0.0,38.95,10.7,0.48,6.87,0.0,0.0
1,2,8,0,21.68,0.0,41.22,8.6,0.36,5.02,0.0,0.0
1,3,8,0,21.64,0.0,42.75,9.0,0.6,4.83,0.0,0.0
1,4,8,0,21.63,0.0,43.33,9.6,0.24,4.93,0.0,0.0
1,5,8,0,21.52,0.0,44.28,7.7,0.84,3.66,0.0,0.0
1,6,8,0,21.46,0.0,44.78,7.9,1.8,3.58,0.0,0.0
1,7,8,0,21.45,0.0,45.05,8.5,9.48,3.73,0.0,0.0
1,8,8,0,21.55,0.0,45.15,10.7,14.52,5.05,0.0,0.0
1,9,8,0,21.69,0.0,44.36,15.0,3.48,10.43,0.0,0.0
1,10,8,0,21.74,0.0,43.85,11.8,10.68,10.54,0.0,0.0
1,11,8,0,21.9,0.0,43.38,16.0,7.44,17.84,0.0,0.0
1,12,8,0,21.99,0.0,42.68,16.4,4.32,22.09,0.0,0.0
1,13,8,0,21.97,0.0,42.55,9.8,6.12,16.81,0.0,0.0
1,14,8,0,21.93,0.0,42.67,7.5,2.88,13.91,0.0,0.0
1,15,8,0,21.92,0.0,42.41,9.2,1.44,14.49,0.0,0.0
1,16,8,0,21.92,0.0,41.6,10.4,3.24,13.82,0.0,0.0
1,17,8,0,21.87,0.0,41.17,9.1,1.2,11.37,0.0,0.0
1,18,8,0,21.85,0.0,41.53,9.3,3.0,11.58,0.0,0.0
1,19,8,0,21.94,0.0,41.69,15.1,2.04,17.03,0.0,0.0
1,20,8,0,21.98,0.0,41.1,17.8,4.44,18.65,0.0,0.0
1,21,8,0,21.97,0.0,40.26,16.1,3.36,15.31,0.0,0.0
1,22,8,0,22.0,0.0,39.29,21.2,0.84,19.5,0.0,0.0
1,23,8,0,21.99,0.0,38.78,19.2,1.44,16.1,0.0,0.0
1,24,8,0,21.91,0.0,38.5,15.9,0.96,11.73,0.0,0.0
1,1,2,0,21.81,0.0,38.1,14.4,0.48,8.63,0.0,0.0
1,2,2,0,21.6,0.0,37.94,10.5,0.6,3.86,0.0,0.0
1,3,2,0,21.13,0.0,38.45,7.7,0.24,2.04,0.0,0.0
1,4,2,0,20.85,0.0,37.79,7.8,3.6,1.55,0.0,0.0
1,5,2,0,20.78,0.0,36.54,7.9,0.24,1.14,0.0,0.0
1,6,2,0,20.73,0.0,35.18,7.1,4.32,0.79,0.0,0.0
1,7,2,0,20.71,0.0,33.84,8.6,6.6,0.72,0.0,0.0
1,8,2,0,20.7,0.0,32.55,9.5,22.2,0.87,0.0,0.0
1,9,2,0,21.12,0.0,30.6,14.0,3.72,3.71,0.0,0.0
1,10,2,0,21.4,0.0,29.28,13.1,5.76,7.03,0.0,0.0
1,11,2,0,21.42,0.0,28.52,11.0,12.12,8.48,0.0,0.0
1,12,2,0,21.51,0.0,27.22,12.6,5.28,11.79,0.0,0.0
1,13,2,0,21.48,0.0,26.41,9.0,0.6,10.97,0.0,0.0
1,14,2,0,21.43,0.0,25.62,7.5,9.48,10.79,0.0,0.0
1,15,2,0,21.6,0.0,24.71,9.5,1.92,12.27,0.0,0.0
1,16,2,0,21.58,0.0,24.29,8.8,3.12,9.38,0.0,0.0
1,17,2,0,21.3,0.0,24.74,10.8,3.84,4.42,0.0,0.0
1,18,2,0,21.17,0.0,25.78,11.4,1.68,3.47,0.0,0.0
1,19,2,0,21.13,0.0,26.99,11.5,6.84,3.19,0.0,0.0
1,20,2,0,21.28,0.0,27.27,17.6,2.4,4.45,0.0,0.0
1,21,2,0,21.35,0.0,27.11,20.2,6.12,4.57,0.0,0.0
1,22,2,0,21.16,0.0,27.25,17.0,5.28,2.96,0.0,0.0
1,23,2,0,21.1,0.0,26.95,18.8,0.96,2.8,0.0,0.0
1,24,2,0,20.99,0.0,26.32,17.8,0.6,1.9,0.0,0.0
1,1,3,0,20.76,0.0,26.01,12.2,0.48,1.01,0.0,0.0
1,2,3,0,20.65,0.0,26.11,8.3,2.16,0.51,0.0,0.0
1,3,3,0,20.61,0.0,26.0,8.5,0.72,0.36,0.0,0.0
1,4,3,0,20.6,0.0,25.63,9.4,0.12,0.48,0.0,0.0
1,5,3,0,20.58,0.0,25.52,7.0,0.24,0.2,0.0,0.0
1,6,3,0,20.59,0.0,25.57,10.6,1.32,0.37,0.0,0.0
1,7,3,0,20.57,0.0,25.71,8.9,4.56,0.3,0.0,0.0
1,8,3,0,20.59,0.0,25.76,12.8,14.16,0.59,0.0,0.0
1,9,3,0,20.73,0.0,25.37,12.6,17.64,1.4,0.0,0.0
1,10,3,0,21.07,0.0,24.36,12.9,12.48,3.69,0.0,0.0
1,11,3,0,21.17,0.0,23.62,11.4,5.28,5.27,0.0,0.0
1,12,3,0,21.24,0.0,23.2,9.9,14.52,7.68,0.0,0.0
1,13,3,0,21.54,0.0,22.59,14.6,3.96,12.17,0.0,0.0
1,14,3,0,21.65,0.0,22.06,11.2,2.28,12.33,0.0,0.0
1,15,3,0,21.78,0.0,21.59,10.3,1.2,15.24,0.0,0.0
1,16,3,0,21.8,0.0,21.51,10.9,0.96,12.22,0.0,0.0
1,17,3,0,21.58,0.0,22.05,9.9,3.84,5.57,0.0,0.0
1,18,3,0,21.57,0.0,22.78,13.5,1.08,6.15,0.0,0.0
1,19,3,0,21.54,0.0,23.97,12.2,2.4,5.23,0.0,0.0
1,20,3,0,21.69,0.0,24.81,18.3,6.12,7.98,0.0,0.0
1,21,3,0,21.74,0.0,25.07,19.8,1.32,8.06,0.0,0.0
1,22,3,0,21.76,0.0,25.37,21.4,6.6,8.49,0.0,0.0
1,23,3,0,21.72,0.0,25.65,20.3,4.92,6.77,0.0,0.0
1,24,3,0,21.41,0.0,26.32,14.2,1.32,3.12,0.0,0.0
1,1,4,0,21.13,0.0,26.79,12.9,2.4,2.36,0.0,0.0
1,2,4,0,20.98,0.0,26.74,13.5,2.52,1.99,0.0,0.0
1,3,4,0,20.77,0.0,26.69,8.9,0.48,0.93,0.0,0.0
1,4,4,0,20.71,0.0,26.26,8.9,0.24,0.81,0.0,0.0
1,5,4,0,20.63,0.0,25.82,6.5,0.48,0.41,0.0,0.0
1,6,4,0,20.66,0.0,25.41,11.1,0.48,0.6,0.0,0.0
1,7,4,0,20.63,0.0,25.52,10.0,2.4,0.58,0.0,0.0
1,8,4,0,20.63,0.0,25.7,10.3,23.4,0.6,0.0,0.0
1,9,4,0,20.7,0.0,25.51,13.5,7.2,1.51,0.0,0.0
1,10,4,0,20.75,0.0,25.18,10.7,12.72,1.83,0.0,0.0
1,11,4,0,21.04,0.0,24.48,13.5,17.64,3.03,0.0,0.0
1,12,4,0,21.13,0.0,24.13,11.4,2.88,3.34,0.0,0.0
1,13,4,0,21.18,0.0,23.91,10.6,9.84,3.53,0.0,0.0
