month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
7,24,7,0,,,,9.833333e-08,0.0,0.0,0.0,0.0
8,1,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,2,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,3,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,4,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,5,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,6,1,0,,,,1.0067647e-07,0.0,0.0,0.0,9.136666
8,7,1,0,,,,0.50125,0.0,0.0,0.0,85.44334
8,8,1,0,,,,1.4103167,0.0,0.0,0.0,215.74333
8,9,1,0,,,,2.7551167,0.0,0.0,0.0,353.92667
8,10,1,0,,,,4.2664666,0.0,0.0,0.0,472.71335
8,11,1,0,,,,4.6949887,0.0,0.0,0.0,553.7878
8,12,1,0,,,,4.9434667,0.0,0.0,0.0,593.4633
8,13,1,0,,,,4.62995,0.0,0.0,0.0,584.58887
8,14,1,0,,,,3.6165,0.0,0.0,0.0,534.95667
8,15,1,0,,,,2.2178166,0.0,0.0,0.0,448.26666
8,16,1,0,,,,1.2707834,0.0,0.0,0.0,325.3
8,17,1,0,,,,0.6834167,0.0,0.0,0.0,185.65666
8,18,1,0,,,,0.13985008,0.0,0.0,0.0,62.833332
8,19,1,0,,,,0.0023250899,0.0,0.0,0.0,4.2883334
8,20,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,21,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,22,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,23,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,24,1,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,1,2,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,2,2,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,3,2,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,4,2,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
8,5,2,0,,,,9.9999994e-08,0.0,0.0,0.0,0.0
