month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
6,1,2,0,24.140535,-0.3039094,73.12761,0.42307898,0.0,0.0,0.0,0.0,2.0,24.444445,24.444445,1
6,2,2,0,23.777792,-0.66665244,74.936005,0.4200266,0.0,0.0,0.0,0.0,2.0,24.444445,24.444445,1
6,3,2,0,23.487175,-0.95726943,76.517,0.41765398,0.0,0.0,0.0,0.0,2.0,24.444445,24.444445,1
6,4,2,0,23.285877,-1.1585668,77.70043,0.4205901,0.0,0.0,0.0,0.0,2.0,24.444445,24.444445,1
6,5,2,0,22.968086,-1.4763573,79.295044,0.4396791,0.0,0.0,0.0,0.0,1.0,24.444445,24.444445,1
6,6,2,0,22.805477,-1.6389673,80.17125,0.5091095,0.0,0.0,0.0,0.0,1.0,24.444445,24.444445,1
6,7,2,0,23.223091,-0.8880194,78.28158,0.6804939,0.25660363,0.0,0.0,13.748436,1.0,24.11111,24.11111,1
6,8,2,0,23.032848,-0.30048475,79.29522,0.84543467,0.0,0.0,0.0,104.747574,1.0,23.333334,23.333334,1
6,9,2,0,23.330675,-0.0026575406,77.63409,1.06778,0.86924034,0.8006227,0.0,158.3017,1.0,23.333334,23.333334,1
6,10,2,0,23.333315,-1.8371173e-05,77.1894,1.261495,0.849991,1.0545781,0.0,329.17297,1.0,23.333334,23.333334,1
6,11,2,0,23.333336,2.0971468e-06,77.02069,1.6134217,0.20385969,0.41906494,0.0,432.86932,1.0,23.333334,23.333334,1
6,12,2,0,23.333336,1.7598135e-06,76.853676,1.3997906,0.23292641,0.34643224,0.0,483.5661,0.0,23.333334,23.333334,1
6,13,2,0,23.333336,2.4561086e-06,76.6423,1.2446605,0.0,0.40109864,0.0,472.20483,1.0,23.333334,23.333334,1
6,14,2,0,23.333338,3.6389047e-06,76.39194,1.0777177,0.0,0.5045821,0.0,470.18118,1.0,23.333334,23.333334,1
6,15,2,0,23.333338,4.7359877e-06,76.09837,0.8243294,0.0,0.5709429,0.0,458.65646,0.0,23.333334,23.333334,1
6,16,2,0,23.333344,1.0817955e-05,75.7759,0.9192468,0.46585295,0.79431295,0.0,326.85913,1.0,23.333334,23.333334,1
6,17,2,0,23.33334,6.643433e-06,75.41289,0.8033569,0.0,0.8173696,0.0,206.86539,1.0,23.333334,23.333334,1
6,18,2,0,24.290665,-0.15378007,71.36988,0.75806886,0.0,0.070471264,0.0,109.67422,1.0,24.444445,24.444445,1
6,19,2,0,24.440128,-0.0043155667,70.89327,0.9368003,0.0,0.29203972,0.0,44.663177,1.0,24.444445,24.444445,1
6,20,2,0,24.444443,-2.1853182e-06,70.90451,0.9853156,0.0,0.21572213,0.0,-0.0,2.0,24.444445,24.444445,1
6,21,2,0,24.444445,1.0187176e-06,70.92902,1.0720582,0.0,0.19700927,0.0,0.0,2.0,24.444445,24.444445,1
6,22,2,0,24.444447,1.5634686e-06,70.92414,1.1908599,0.6987696,0.25224817,0.0,0.0,2.0,24.444445,24.444445,1
6,23,2,0,24.44445,5.5714045e-06,70.61831,0.9839953,0.89076555,1.025403,0.0,0.0,2.0,24.444445,24.444445,1
6,24,2,0,23.95702,0.012576251,71.71993,0.5275212,1.3658451,1.7877198,0.0,0.0,2.0,23.944445,23.944445,1
6,1,3,0,23.889217,0.00032914363,72.060844,0.42307898,0.0,0.17656533,0.0,0.0,2.0,23.88889,23.88889,1
6,2,3,0,23.600504,-0.28838462,73.35408,0.4200266,0.0,0.0,0.0,0.0,2.0,23.88889,23.88889,1
6,3,3,0,23.274609,-0.61427957,74.87181,0.41765398,0.0,0.0,0.0,0.0,2.0,23.88889,23.88889,1
6,4,3,0,23.186306,-1.2025838,75.27772,0.4205901,0.6951399,0.0,0.0,0.0,2.0,24.38889,24.38889,1
6,5,3,0,22.633797,-1.810648,77.8482,0.4396791,0.0,0.0,0.0,0.0,2.0,24.444445,24.444445,1
6,6,3,0,22.48024,-1.4642042,78.56787,0.5091095,0.0,0.0,0.0,0.0,2.0,23.944445,23.944445,1
6,7,3,0,22.761711,-1.4049559,77.30567,0.5463262,0.0,0.0,0.0,32.467655,2.0,24.166666,24.166666,1
6,8,3,0,23.107212,-1.3372328,75.79898,0.84543467,0.0,0.0,0.0,128.31343,2.0,24.444445,24.444445,1
6,9,3,0,23.510004,-0.6011061,74.07449,1.2631055,0.0,0.0,0.0,284.48843,2.0,24.11111,24.11111,1
6,10,3,0,23.8294,-0.059490427,72.75147,1.4482203,0.0,0.0049826847,0.0,413.4972,2.0,23.88889,23.88889,1
6,11,3,0,23.888231,-0.0006579762,72.48664,1.4671266,0.0,0.2156002,0.0,535.3922,2.0,23.88889,23.88889,1
6,12,3,0,23.88889,9.595594e-07,72.36045,1.423979,0.0,0.4510756,0.0,563.4972,2.0,23.88889,23.88889,1
6,13,3,0,23.888893,4.0807095e-06,72.185135,1.2446605,0.0,0.60911626,0.0,555.21704,2.0,23.88889,23.88889,1
6,14,3,0,23.888897,8.071315e-06,71.979004,1.0777177,0.0,0.7420455,0.0,527.19855,2.0,23.88889,23.88889,1
6,15,3,0,23.8889,1.1579406e-05,71.70685,0.9918855,0.4634263,1.0206538,0.0,563.0854,2.0,23.88889,23.88889,1
6,16,3,0,23.410532,0.021642324,73.210884,1.093805,0.0,1.703033,0.0,373.41653,2.0,23.38889,23.38889,1
6,17,3,0,23.334715,0.0013813574,72.89235,0.98616934,0.46342307,2.016606,0.0,271.44708,2.0,23.333334,23.333334,1
6,18,3,0,24.388945,-0.05550004,68.520065,0.9604254,0.0,0.8017188,0.0,146.50667,2.0,24.444445,24.444445,1
6,19,3,0,24.444351,-9.249356e-05,68.20797,0.9855034,0.2317132,0.6156129,0.0,48.48943,2.0,24.444445,24.444445,1
