outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
-2.14,96.0,0.0,0.0,-3.9745486,-1.1165366,-5.2757506,98.09432,92.15279,87.71513,0.0,96.83432,0.0,0.0,183.0373,0.0
-2.92,96.81,0.0,0.0,-4.212212,-0.39340743,-3.1606405,99.32953,89.38849,100.25852,0.0,91.46184,0.0,0.0,186.73077,0.0
-3.7,97.88,0.0,0.0,-3.6790535,0.14380781,-2.7062702,99.9553,92.91382,102.935165,46.324028,40.654022,0.0,74.990456,84.521736,0.0
-3.99,98.25,0.0,0.0,-2.9953918,-0.49455893,-2.694493,98.15121,90.95235,99.15239,44.496914,39.80267,0.0,103.1642,70.77849,0.0
-3.62,97.81,0.0,0.0,-1.9459118,-1.6671748,-4.815527,95.68462,101.56717,99.44823,76.012566,0.0,0.0,192.93594,0.0,0.0
-3.4,97.56,0.0,0.0,-1.1106061,-1.406026,-5.238674,93.684975,97.285484,102.7525,58.646297,0.0,0.0,62.340656,0.0,0.0
-4.01,98.25,0.0,0.0,-0.60100263,-2.1715636,-4.497378,94.4799,96.954926,98.1461,92.280426,0.0,0.0,184.53764,0.0,0.0
-4.31,98.56,0.0,0.0,-0.16652638,-0.53847355,-6.201453,95.50623,95.10949,98.82591,91.936165,0.0,0.0,186.90753,0.0,0.0
-3.61,97.75,46.66,73.45,0.18505958,-0.8024813,-5.0583844,95.38956,95.531586,97.648926,40.684216,0.0,38.943806,86.910095,0.0,10.613541
-2.92,97.0,43.75,102.02,-0.5125573,-1.8266321,-3.2638564,95.40528,89.6663,101.899765,38.5735,0.0,55.19523,68.42689,0.0,92.60351
-2.23,95.31,74.81,193.25,-1.4226954,-2.736223,0.3036813,96.24374,91.107414,98.007904,0.0,0.0,100.99436,0.0,0.0,79.90651
-1.4,93.75,59.0,62.94,-1.7626426,-4.3647375,0.9828803,95.90342,101.96106,90.86835,0.0,0.0,103.01504,0.0,0.0,89.67302
-0.63,93.44,92.25,185.38,-1.8485835,-4.477561,0.70967954,97.61684,92.412704,94.372284,0.0,0.0,87.54588,0.0,0.0,112.5033
-0.08,93.31,92.15,190.49,-1.1004195,-4.464971,2.0296347,94.35381,95.67114,97.07164,0.0,0.0,71.208176,0.0,0.0,80.2276
0.02,94.25,41.36,86.21,-0.8850608,-3.9512315,1.3007437,91.18025,90.21642,91.98717,0.0,0.0,60.01942,0.0,0.0,68.84385
-0.56,95.56,38.15,69.43,-1.8180258,-2.94319,1.8274369,92.36972,90.822914,84.57601,0.0,0.0,32.73928,0.0,0.0,18.339354
-1.69,96.75,0.0,0.0,-2.5640857,-4.3305345,-0.8757464,93.28815,93.174385,102.67342,0.0,0.0,0.0,0.0,0.0,0.0
-1.96,96.56,0.0,0.0,-3.8724885,-5.0817604,-1.4457594,98.06621,92.14099,102.60278,0.0,0.0,0.0,0.0,0.0,0.0
-1.57,95.75,0.0,0.0,-3.9281464,-4.4634485,-1.1892805,99.25711,98.92656,98.27835,0.0,0.0,0.0,0.0,0.0,0.0
-1.07,93.88,0.0,0.0,-4.030902,-5.281784,-0.8470578,97.98838,98.64338,98.45288,0.0,0.0,0.0,0.0,0.0,0.0
-1.06,93.0,0.0,0.0,-3.2567143,-4.4161477,-0.1629304,92.98578,98.32176,85.58212,0.0,36.307346,0.0,0.0,10.888089,0.0
-1.63,93.44,0.0,0.0,-3.3085387,-3.6782634,1.4785846,93.52856,98.468094,85.30429,0.0,56.345497,0.0,0.0,95.6444,0.0
-2.83,95.19,0.0,0.0,-4.1859303,-1.4757739,2.2406015,97.00985,87.90799,94.558105,0.0,93.828476,0.0,0.0,79.2444,0.0
-4.05,97.12,0.0,0.0,-4.319362,0.058464628,0.66301733,94.71472,89.505875,90.88009,0.0,117.10262,0.0,0.0,92.6461,0.0
-4.15,97.0,0.0,0.0,-4.898983,0.3782499,1.2345828,94.773834,93.875374,93.064835,0.0,89.62613,0.0,0.0,124.31185,0.0
-3.87,96.25,0.0,0.0,-5.1658297,1.4822621,0.9265469,94.27213,93.407906,83.470726,0.0,71.69942,0.0,0.0,73.001785,0.0
-3.36,95.19,0.0,0.0,-4.6623235,0.44795132,1.4965082,93.19434,95.00903,94.73188,37.183388,60.30963,0.0,10.8265085,70.52047,0.0
-3.35,95.0,0.0,0.0,-3.2657394,1.0449811,1.5173479,92.37484,95.43437,92.32052,54.765236,33.61826,0.0,91.90395,19.144072,0.0
