month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
1,1,1,0,18.31353,22.592512,0.5000609,0.0,0.0,2.4989228,0.0,5.0,18.333334,18.333334,3
1,2,1,0,18.332893,22.627703,0.45564765,0.0,0.0,2.773979,0.0,5.0,18.333334,18.333334,3
1,3,1,0,18.333332,22.705154,0.45392102,0.0,0.0,2.5683212,0.0,5.0,18.333334,18.333334,3
1,4,1,0,18.333334,22.792269,0.4521944,0.0,0.0,2.5646675,0.0,5.0,18.333334,18.333334,3
1,5,1,0,18.333334,22.859356,0.45046774,0.0,0.0,2.564419,0.0,5.0,18.333334,18.333334,3
1,6,1,0,18.333334,22.918596,0.45046774,0.0,0.0,2.5778658,0.0,5.0,18.333334,18.333334,3
1,7,1,0,18.333334,23.097136,0.6332866,1.3130486,0.0,1.9268262,0.0,4.0,18.333334,18.333334,3
1,8,1,0,18.333334,23.120735,0.6981935,0.0,0.0,2.5914528,0.0,4.0,18.333334,18.333334,3
1,9,1,0,18.333334,22.983334,0.71308714,0.0,0.0,2.531408,0.0,3.0,18.333334,18.333334,3
1,10,1,0,18.333334,22.90083,0.71589553,0.0,0.0,2.4555018,0.0,3.0,18.333334,18.333334,3
1,11,1,0,18.333334,22.780676,0.70957506,0.0,0.0,2.3069682,0.0,3.0,18.333334,18.333334,3
1,12,1,0,18.333334,22.712326,0.70854884,0.0,0.0,1.6711979,0.0,3.0,18.333334,18.333334,3
1,13,1,0,18.333334,22.68851,0.71245897,0.71028894,0.0,1.5729655,0.0,3.0,18.333334,18.333334,3
1,14,1,0,18.333334,23.010815,10.547773,1.332211,0.0,1.3550313,0.0,2.0,18.333334,18.333334,3
1,15,1,0,18.333334,22.924934,0.70720494,0.0,0.0,1.3205417,0.0,3.0,18.333334,18.333334,3
1,16,1,0,18.333334,22.79516,0.720172,0.7102922,0.0,1.3202999,0.0,3.0,18.333334,18.333334,3
1,17,1,0,18.333334,23.32906,1.0889188,1.7757239,0.0,0.7198121,0.0,3.0,18.333334,18.333334,3
1,18,1,0,18.333334,23.17547,1.1811641,0.3551446,0.0,1.7347394,0.0,4.0,18.333334,18.333334,3
1,19,1,0,18.333334,23.08936,1.1553583,1.420549,0.0,2.004759,0.0,4.0,18.333334,18.333334,3
1,20,1,0,18.333334,23.06444,1.2216511,0.0,0.0,1.385822,0.0,4.0,18.333334,18.333334,3
1,21,1,0,18.333334,23.022928,1.1649402,0.0,0.0,1.5555979,0.0,4.0,18.333334,18.333334,3
1,22,1,0,18.333334,23.055508,1.2463113,0.35514212,0.0,1.4189372,0.0,5.0,18.333334,18.333334,3
1,23,1,0,18.061113,23.506798,0.7109276,0.2241032,0.0,1.3502707,0.0,5.0,18.055555,18.055555,3
1,24,1,0,17.22733,24.759693,0.52785003,0.71028656,0.0,1.0363908,0.0,4.0,17.222221,17.222221,3
1,1,2,0,17.222345,24.741642,0.4573743,0.0,0.0,1.3726964,0.0,4.0,17.222221,17.222221,3
1,2,2,0,17.222225,24.733881,0.48379615,0.0,0.0,1.4768579,0.0,5.0,17.222221,17.222221,3
1,3,2,0,17.222221,24.757282,0.45392102,0.0,0.0,1.6033103,0.0,5.0,17.222221,17.222221,3
1,4,2,0,17.222221,24.76756,0.4521944,0.0,0.0,1.722421,0.0,4.0,17.222221,17.222221,3
1,5,2,0,17.222221,24.782442,0.45046774,0.0,0.0,1.8150914,0.0,5.0,17.222221,17.222221,3
1,6,2,0,17.222221,25.696459,0.75405294,0.67885005,0.0,1.0519128,0.0,5.0,17.222221,17.222221,3
1,7,2,0,17.222221,26.447166,0.6332866,1.0951415,0.0,1.257862,0.0,5.0,17.222221,17.222221,3
1,8,2,0,17.222221,26.697008,0.6981935,0.0,0.0,1.7632567,0.0,4.0,17.222221,17.222221,3
1,9,2,0,17.222221,26.528088,0.586094,0.0,0.0,1.5803876,0.0,2.0,17.222221,17.222221,3
1,10,2,0,17.222221,26.255003,0.58749825,0.7114837,0.0,1.6407212,0.0,2.0,17.222221,17.222221,3
1,11,2,0,17.222221,26.124939,0.70957506,0.0,0.0,1.514452,0.0,2.0,17.222221,17.222221,3
1,12,2,0,17.222221,25.867756,0.70854884,0.3557455,0.0,1.4144696,0.0,2.0,17.222221,17.222221,3
1,13,2,0,17.222221,25.753149,0.71245897,0.0,0.0,1.4452349,0.0,2.0,17.222221,17.222221,3
1,14,2,0,17.222221,25.549225,0.7117676,0.35574603,0.0,1.2381581,0.0,2.0,17.222221,17.222221,3
1,15,2,0,17.222221,26.232136,0.9689869,0.35574576,0.0,0.75836945,0.0,2.0,17.222221,17.222221,3
1,16,2,0,17.222221,26.328966,0.85070753,1.7858372,0.0,0.6739225,0.0,3.0,17.222221,17.222221,3
1,17,2,0,17.222221,26.198097,0.7527239,0.0,0.0,1.3870659,0.0,2.0,17.222221,17.222221,3
1,18,2,0,17.33138,26.078741,1.00367,0.0,0.0,1.969882,0.0,3.0,17.333334,17.333334,3
1,19,2,0,18.314629,24.503653,1.1553583,0.35574543,0.0,2.7926903,0.0,3.0,18.333334,18.333334,3
1,20,2,0,17.670383,25.567102,1.2216511,0.0,0.0,1.4564302,0.0,3.0,17.666666,17.666666,3
1,21,2,0,17.223843,26.524044,0.93311375,2.1145725,0.0,0.6322041,0.0,2.0,17.222221,17.222221,3
1,22,2,0,17.222246,26.726908,0.8570227,0.0,0.0,1.5614718,0.0,2.0,17.222221,17.222221,3
1,23,2,0,17.222223,26.469505,0.83425105,0.0,0.0,1.6646217,0.0,3.0,17.222221,17.222221,3
1,24,2,0,17.222221,26.742565,0.59659904,0.0,0.0,1.8175069,0.0,4.0,17.222221,17.222221,3
1,1,3,0,17.222221,26.542776,0.5000609,0.35632542,0.0,1.9723306,0.0,4.0,17.222221,17.222221,3
1,2,3,0,17.222221,26.865416,0.48379615,0.0,0.0,2.1021352,0.0,4.0,17.222221,17.222221,3
1,3,3,0,17.222221,26.56276,0.45392102,0.0,0.0,2.1876445,0.0,4.0,17.222221,17.222221,3
1,4,3,0,17.222221,26.8911,0.4521944,0.5818239,0.0,2.0978303,0.0,3.0,17.222221,17.222221,3
1,5,3,0,17.222221,26.894844,0.45046774,0.0,0.0,2.2668915,0.0,5.0,17.222221,17.222221,3
1,6,3,0,17.222221,26.907518,0.45046774,0.0,0.0,2.3591895,0.0,5.0,17.222221,17.222221,3
1,7,3,0,17.222221,26.97882,0.54360384,7.3737874,0.0,1.2485846,0.0,5.0,17.222221,17.222221,3
1,8,3,0,17.222221,27.015345,0.5777839,0.0,0.0,2.2738934,0.0,4.0,17.222221,17.222221,3
1,9,3,0,17.222221,27.347603,0.84008026,1.8698072,0.0,0.78418523,0.0,4.0,17.222221,17.222221,3
1,10,3,0,17.222221,27.43207,0.8442928,0.0,0.0,0.8455329,0.0,4.0,17.222221,17.222221,3
1,11,3,0,17.721798,27.135704,1.0101968,0.0,0.0,0.5074756,0.0,4.0,17.722221,17.722221,3
1,12,3,0,18.332848,26.196022,0.8341361,0.71265113,0.0,0.69467235,0.0,3.0,18.333334,18.333334,3
1,13,3,0,18.333334,26.21842,0.71245897,0.0,0.0,0.32059756,0.0,2.0,18.333334,18.333334,3
1,14,3,0,18.333334,26.276642,0.7117676,0.3563256,0.07452163,0.0,0.0,2.0,18.333334,18.333334,3
1,15,3,0,18.333334,26.31549,0.70720494,0.0,0.33503017,0.0,0.0,2.0,18.333334,18.333334,3
1,16,3,0,18.333334,26.403824,0.85070753,0.35631207,0.66625726,0.0,0.0,3.0,18.333334,18.333334,3
1,17,3,0,18.333334,26.452896,0.89694536,0.0,0.864836,0.0,0.0,3.0,18.333334,18.333334,3
1,18,3,0,18.333334,26.565506,0.9134365,0.7126492,0.4258872,0.0,0.0,2.0,18.333334,18.333334,3
1,19,3,0,18.333334,26.534504,1.1553583,2.4942155,0.20841606,0.0,0.0,3.0,18.333334,18.333334,3
1,20,3,0,18.333334,26.616055,1.2216511,0.0,0.257952,0.0,0.0,4.0,18.333334,18.333334,3
1,21,3,0,18.333334,26.784065,0.93311375,1.3887292,0.16075678,0.0,0.0,3.0,18.333334,18.333334,3
1,22,3,0,18.66622,26.396435,1.051667,1.7815584,0.0,0.27223644,0.0,4.0,18.666666,18.666666,3
1,23,3,0,18.666666,26.686586,0.7109276,0.0,0.0,0.76958925,0.0,4.0,18.666666,18.666666,3
1,24,3,0,18.333626,27.372871,0.52785003,0.0,0.0,0.8332612,0.0,5.0,18.333334,18.333334,3
1,1,4,0,18.333334,27.529543,0.4573743,0.0,0.0,0.9819469,0.0,5.0,18.333334,18.333334,3
1,2,4,0,18.333334,27.671822,0.45564765,0.0,0.0,1.1142826,0.0,5.0,18.333334,18.333334,3
1,3,4,0,18.333334,27.805302,0.45392102,0.0,0.0,1.3530124,0.0,5.0,18.333334,18.333334,3
1,4,4,0,18.333334,28.01256,0.4521944,0.0,0.0,1.2173617,0.0,5.0,18.333334,18.333334,3
1,5,4,0,18.333334,28.234135,0.4721151,0.0,0.0,1.3661549,0.0,5.0,18.333334,18.333334,3
1,6,4,0,18.333334,28.378727,0.49227095,0.0,0.0,1.3953816,0.0,5.0,18.333334,18.333334,3
1,7,4,0,18.333334,29.184122,0.8102301,3.2267206,0.00023781025,0.0,0.0,5.0,18.333334,18.333334,3
1,8,4,0,18.333334,30.045662,0.6981935,0.0,0.0,1.5397655,0.0,3.0,18.333334,18.333334,3
1,9,4,0,18.333334,30.060698,0.84008026,0.0,0.0,0.83850205,0.0,3.0,18.333334,18.333334,3
1,10,4,0,18.333334,30.125975,0.71589553,1.4275086,0.0,0.093653366,0.0,2.0,18.333334,18.333334,3
1,11,4,0,18.333334,30.470201,10.671051,1.3761317,0.5678115,0.0,0.0,2.0,18.333334,18.333334,3
