outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
-21.333334,72.23976,0.0,0.0,-24.826778,-15.724686,-21.4205,72.64267,48.672695,75.549576,0.0,63.275528,0.0,0.0,903.8626,0.0
-21.225,66.637695,0.0,0.0,-24.973806,-16.243246,-22.632126,69.618675,53.45038,71.94144,0.0,64.781586,0.0,0.0,747.2481,0.0
-21.7,60.890247,0.0,0.0,-23.852222,-16.39648,-23.085,72.10733,50.593742,72.34616,33.63338,70.05343,0.0,363.9433,549.33984,0.0
-22.8,67.79664,0.0,0.0,-20.824516,-16.053118,-22.06032,65.65573,52.18284,73.90612,55.75116,46.54318,0.0,633.72186,442.9446,0.0
-22.45,67.86016,0.0,0.0,-19.57186,-17.764027,-24.698364,59.21992,50.297867,68.62413,57.411015,0.0,0.0,847.8023,0.0,0.0
-23.9,75.55809,0.0,0.0,-16.666498,-18.827412,-24.24924,47.74231,58.911884,68.20788,59.16472,0.0,0.0,874.4345,0.0,0.0
-25.0,71.608986,0.0,0.0,-16.153666,-20.716276,-25.841497,47.09536,68.324554,66.67966,61.22496,0.0,0.0,874.5712,0.0,0.0
-25.0,69.46704,0.0,0.0,-16.220049,-21.22677,-24.940216,53.57262,73.358444,71.61051,64.92974,0.0,0.0,748.95703,0.0,0.0
-23.9,71.82137,33.5,362.5,-16.59299,-22.401478,-24.568455,49.805084,70.31845,69.0047,68.96143,0.0,32.946114,540.7767,0.0,261.6309
-21.1,64.1823,54.5,619.5,-16.450489,-21.767725,-19.652199,50.721592,73.80045,69.9223,45.239853,0.0,64.523476,430.54108,0.0,584.44403
-19.45,59.82746,58.0,856.5,-17.628246,-22.477865,-17.827106,50.7919,69.89876,61.093407,0.0,0.0,67.96485,0.0,0.0,730.86145
-16.7,47.60939,59.0,872.0,-19.125721,-22.189064,-16.615747,57.482777,69.52206,51.822857,0.0,0.0,67.04506,0.0,0.0,665.3644
-16.1,47.306927,61.5,878.5,-20.611118,-22.224089,-14.450031,68.87731,71.29307,52.976303,0.0,0.0,134.4997,0.0,0.0,238.61241
-16.3,53.218044,64.5,744.0,-21.239004,-22.401176,-12.875521,73.36503,73.23239,54.928097,0.0,0.0,140.6643,0.0,0.0,212.84036
-16.5,50.194046,69.5,545.0,-22.471098,-23.88738,-13.619943,69.81182,67.99445,54.259983,0.0,0.0,88.6893,0.0,0.0,208.30615
-16.65,49.89209,44.5,423.5,-22.092554,-23.0672,-11.549827,72.06495,68.90243,62.49456,0.0,0.0,58.523563,0.0,0.0,126.887375
-17.5,51.340584,0.0,0.0,-21.986105,-23.686562,-10.437472,72.69855,74.079605,66.256935,0.0,0.0,0.0,0.0,0.0,0.0
-18.9,58.584766,0.0,0.0,-21.430765,-23.816658,-9.388442,73.86053,70.481445,73.11484,0.0,0.0,0.0,0.0,0.0,0.0
-20.6,68.94119,0.0,0.0,-22.325294,-25.871473,-9.963828,70.67965,66.47639,67.53888,0.0,0.0,0.0,0.0,0.0,0.0
-21.4,72.393776,0.0,0.0,-22.593666,-24.961275,-8.146495,72.247856,71.569016,74.26446,0.0,0.0,0.0,0.0,0.0,0.0
-22.2,71.42543,0.0,0.0,-23.367104,-24.295391,-8.601965,70.81382,70.41561,76.291565,0.0,33.619747,0.0,0.0,266.98035,0.0
-22.2,71.42542,0.0,0.0,-23.328436,-20.611609,-7.927958,67.529854,65.25146,70.11219,0.0,60.21328,0.0,0.0,545.40295,0.0
-22.2,71.42542,0.0,0.0,-24.122143,-17.189644,-7.674644,71.69569,64.118004,69.86684,0.0,71.32964,0.0,0.0,767.0448,0.0
-21.7,72.23974,0.0,0.0,-24.389376,-15.576982,-7.152193,67.514305,56.13851,61.04157,0.0,72.62837,0.0,0.0,720.774,0.0
-22.2,71.42542,0.0,0.0,-25.64782,-14.50361,-7.4151883,67.623634,52.749573,57.197903,0.0,133.92406,0.0,0.0,237.5912,0.0
-22.75,71.318726,0.0,0.0,-25.005367,-12.96163,-5.8741536,71.46418,54.690395,65.316414,0.0,140.05557,0.0,0.0,211.9193,0.0
-23.3,71.212036,0.0,0.0,-23.925198,-11.912928,-6.7883887,72.5461,61.88528,65.83181,34.63694,101.15304,0.0,275.05804,237.57996,0.0
-23.3,67.690254,0.0,0.0,-20.581694,-12.102003,-8.442621,65.389015,60.01499,59.931313,60.34021,56.20155,0.0,546.5527,121.85292,0.0
-24.15,71.52963,0.0,0.0,-17.40089,-11.726929,-8.979006,63.019188,60.291965,57.52469,70.10723,0.0,0.0,753.8996,0.0,0.0
-24.4,67.45459,0.0,0.0,-15.620517,-10.644454,-8.392327,55.94347,66.8641,60.156975,72.376045,0.0,0.0,718.26984,0.0,0.0
-25.6,67.89419,0.0,0.0,-14.169199,-8.899931,-7.8613944,54.196068,73.19383,65.68107,137.59651,0.0,0.0,244.10641,0.0,0.0
-25.3,69.75159,0.0,0.0,-13.348514,-8.305114,-7.7683125,53.223015,73.54468,66.101585,136.29778,0.0,0.0,206.23335,0.0,0.0
-24.15,71.21204,34.0,270.0,-12.613753,-8.763133,-9.861892,58.587814,75.256966,53.600243,95.76325,0.0,29.71996,224.92087,0.0,306.0227
-20.55,65.56217,60.5,548.0,-12.31233,-8.404493,-9.555486,58.93095,67.49172,49.658203,55.18639,0.0,47.617558,119.65191,0.0,517.4441
-17.25,63.821693,71.0,763.5,-11.153976,-7.2669497,-6.942896,63.115314,72.0625,57.972435,0.0,0.0,84.39661,0.0,0.0,637.84357
-15.6,56.039284,72.5,719.5,-10.508568,-7.001897,-6.2885547,67.60474,61.753082,49.079517,0.0,0.0,98.4106,0.0,0.0,609.5274
-14.4,53.173363,135.0,239.5,-9.339694,-7.069337,-5.8286233,70.8368,58.708607,43.641815,0.0,0.0,61.20612,0.0,0.0,831.3831
-13.6,52.130505,133.5,202.0,-8.732978,-6.946453,-5.3234024,71.27445,60.635277,42.54905,0.0,0.0,56.10639,0.0,0.0,819.2572
-12.4,59.650356,97.5,229.0,-8.18995,-7.561558,-5.1047735,78.752754,62.365936,38.349422,0.0,0.0,83.45302,0.0,0.0,467.0259
-12.033334,60.33369,56.5,122.5,-7.742973,-8.176441,-4.743378,71.11948,61.14692,35.80704,0.0,0.0,53.497974,0.0,0.0,287.36053
