Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1,8,0,21.3,0,24.16,2.34,0,0
1,2,8,0,23.12,0,24.62,2.03,0,0
1,3,8,0,23.61,0,28.14,2.37,0,0
1,4,8,0,23.65,0.2,31.49,1.93,0,0
1,5,8,0,23.18,0,24.92,3.02,0,0
1,6,8,0,22.49,0,24.98,6.85,0,0
1,7,8,0,22.18,0,25.32,7.4,0,0
1,8,8,0,22.38,0,28.13,7.65,2.89,0
1,9,8,0,22.77,0,30.18,10.02,2.51,0
1,10,8,0,23.38,0,30.13,12.28,2.76,0
1,11,8,0,23.88,0,28.88,13.53,1.67,0.22
1,12,8,0,24.86,0.48,28.06,15.31,12.02,3.19
1,13,8,0,25.62,0.74,26.25,14.67,10.41,4.96
1,14,8,0,25.65,0.65,23.68,13.63,17.29,7.83
1,15,8,0,25.69,0.69,22.29,12.82,16.58,7.52
1,16,8,0,25.23,0.23,23.61,11.13,4.51,6.38
1,17,8,0,25.04,0.04,23.73,12.29,4.43,6.51
1,18,8,0,24.89,0.04,24.53,12.55,3.9,5.15
1,19,8,0,24.51,0,25.83,10.65,2.74,3.89
1,20,8,0,24.17,0,25.65,10.72,1.53,3.03
1,21,8,0,23.82,0.01,25.75,9.11,6.68,2.48
1,22,8,0,23.62,0,25.7,9.11,6.87,0.98
1,23,8,0,23.61,0,23.93,4.89,7.87,0
1,24,8,0,23.19,0,21.64,2.46,0,0
1,1,2,0,21.5,0,23.45,2.69,0,0
1,2,2,0,22.81,0,23.24,2.19,0,0
1,3,2,0,23.32,0,26.71,2.52,0,0
1,4,2,0,23.47,0.07,28.51,2.12,0,0
1,5,2,0,23.1,0,24.16,3.26,0,0
1,6,2,0,21.92,0,21.77,6.19,0,0
1,7,2,0,21.89,0,22.47,6.61,2.78,0
1,8,2,0,21.95,0,23.51,7.21,2.79,0
1,9,2,0,22.25,0,25.2,9.27,5.91,0
1,10,2,0,22.41,0,26.19,9.69,2.44,0
1,11,2,0,22.7,0,26.9,13.8,1.64,0
1,12,2,0,23.72,0.61,28.69,15.34,10.81,0
1,13,2,0,23.99,0.88,26.46,15.33,5.55,0
1,14,2,0,23.99,0.88,24.56,13.9,19.52,0.23
1,15,2,0,24.16,1.03,21.8,11.99,17.41,0.54
1,16,2,0,23.72,0.56,21.2,12.1,3.84,0.51
1,17,2,0,23.51,0.4,21.94,14.69,5.61,0.1
1,18,2,0,23.52,0.41,22.26,14.9,4.5,0
1,19,2,0,23.39,0.28,22.6,13.22,2.95,0
1,20,2,0,23.36,0.24,22.28,11.45,1.69,0
1,21,2,0,23.43,0.32,22.37,10.53,7.4,0
1,22,2,0,23.29,0.18,22.07,9.31,8.01,0
1,23,2,0,22.7,0,20.81,4.61,8.52,0
1,24,2,0,22.33,0,18.93,2.33,2.79,0
1,1,3,0,19.51,0,20.88,2.42,0,0
1,2,3,0,21.83,0,18.8,2.16,0,0
1,3,3,0,22.53,0,22.25,2.48,0,0
1,4,3,0,23.09,0,23.9,1.77,0,0
1,5,3,0,22.94,0,17.59,3.17,0,0
1,6,3,0,22.26,0,18.48,5.73,0,0
1,7,3,0,22.18,0,19.88,7.07,2.88,0
1,8,3,0,21.94,0,20.86,7.13,2.92,0
1,9,3,0,22.22,0,22.29,8.63,6.78,0
1,10,3,0,22.36,0,22.75,11.22,2.58,0
1,11,3,0,22.81,0,22.26,13.19,2.06,0
1,12,3,0,23.7,0.59,24.09,16.05,14.12,0
1,13,3,0,23.97,0.86,24.22,15.81,5.44,0.13
1,14,3,0,23.96,0.85,23.57,14.39,17.6,0.62
1,15,3,0,24.17,1.01,22.42,14.07,14.6,1.12
1,16,3,0,23.75,0.54,21.24,14.22,3.63,1.33
1,17,3,0,23.51,0.39,21.98,14.63,5.51,0.97
1,18,3,0,23.49,0.38,22.22,13.15,4.14,0.24
1,19,3,0,23.37,0.26,22.62,12.46,2.66,0
1,20,3,0,23.18,0.07,23.17,12.34,1.75,0
1,21,3,0,23.25,0.14,22.31,10.29,7.53,0
1,22,3,0,23.14,0.03,20.92,9.78,8.21,0
1,23,3,0,22.76,0,19.37,5.49,9.16,0
1,24,3,0,22.33,0,18.26,2.59,3.36,0
1,1,4,0,19.81,0,20.25,2.63,0,0
1,2,4,0,21.85,0,18.95,2.24,0,0
1,3,4,0,22.41,0,22.76,2.74,0,0
1,4,4,0,23.03,0,24.24,2.38,0,0
1,5,4,0,23.3,0,25.73,4.04,0,0
1,6,4,0,21.93,0,19.6,7.2,0,0
1,7,4,0,21.78,0,18.95,7.15,3.19,0
1,8,4,0,21.85,0,19.69,7.83,3.02,0
1,9,4,0,22.16,0,21.39,10.12,6.29,0
1,10,4,0,22.31,0,21.78,12.14,2.61,0
1,11,4,0,22.55,0,21.32,14.69,1.98,0
1,12,4,0,23.59,0.48,23.65,15.03,12.61,0
1,13,4,0,23.91,0.8,22.77,14.36,5.42,0
1,14,4,0,23.92,0.81,21.45,14.24,17.84,0.03
1,15,4,0,24.08,0.97,19.42,12.41,15.74,0.28
1,16,4,0,23.59,0.49,19.82,11.84,4.13,0.34
1,17,4,0,23.47,0.36,20.66,14.14,6.36,0.06
1,18,4,0,23.48,0.37,20.8,14.28,4.44,0
1,19,4,0,23.35,0.24,21.71,12.44,2.73,0
1,20,4,0,23.32,0.21,22.12,10.86,1.57,0
1,21,4,0,23.4,0.28,21.7,9.82,7.06,0
1,22,4,0,23.26,0.15,21.27,9.43,7.46,0
1,23,4,0,22.67,0,20.23,5.69,7.06,0
1,24,4,0,22.3,0,18.51,2.81,2.43,0
1,1,5,0,19.47,0,21.2,2.48,0,0
1,2,5,0,21.61,0,19.73,2.2,0,0
1,3,5,0,22.21,0,23.54,2.87,0,0
1,4,5,0,22.97,0,24.51,2.4,0,0
