Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
12.16,59.88,0.00,0.00,10.49,21.16,10.69,67.78,34.04,61.14,0.00,60.00,0.00,0.00,983.04,0.00
11.76,63.38,0.00,0.00,9.97,22.28,10.25,74.25,30.95,61.99,4.51,57.10,0.00,60.62,945.22,0.00
11.12,64.88,0.00,0.00,11.47,21.75,8.05,69.09,32.49,70.40,36.51,50.76,0.00,514.38,866.95,0.00
10.78,67.25,0.00,0.00,13.96,22.00,4.38,59.36,32.24,90.73,47.92,48.98,0.00,777.92,792.48,0.00
10.51,68.00,0.00,0.00,16.12,21.57,4.40,50.09,32.35,87.93,50.88,34.83,0.00,871.08,496.79,0.00
10.34,68.00,0.00,0.00,18.72,20.83,4.74,40.35,34.93,81.38,55.68,4.78,0.00,941.47,37.80,0.00
10.24,69.25,0.00,0.00,20.87,19.93,2.10,34.77,37.39,97.25,58.81,0.00,0.00,963.58,0.00,0.00
10.26,72.50,4.62,62.12,22.15,17.64,1.09,31.23,42.02,100.00,56.61,0.00,3.65,937.11,0.00,67.53
11.49,69.00,36.56,515.06,21.89,16.29,3.70,32.18,44.32,88.01,51.26,0.00,34.48,875.38,0.00,616.07
13.76,60.38,47.12,764.94,21.84,15.51,4.43,32.62,45.22,88.31,48.43,0.00,46.58,783.59,0.00,760.44
16.26,49.50,51.50,881.62,21.71,13.89,8.87,32.05,48.62,68.72,35.16,0.00,61.84,501.58,0.00,995.88
18.64,40.62,55.31,935.19,20.87,12.18,9.86,34.84,53.28,59.88,4.80,0.00,60.92,37.90,0.00,960.63
20.62,35.50,57.62,944.12,19.66,10.83,10.59,38.14,60.51,52.22,0.00,0.00,58.38,0.00,0.00,898.42
22.05,31.50,56.12,929.00,17.88,9.60,12.44,41.32,65.18,44.22,0.00,0.00,60.00,0.00,0.00,939.21
22.00,31.88,51.75,883.81,16.53,7.48,12.40,43.60,73.51,41.32,0.00,0.00,52.47,0.00,0.00,862.22
21.70,33.00,47.88,774.69,15.41,4.97,14.19,45.55,87.24,34.59,0.00,0.00,54.52,0.00,0.00,888.15
21.82,31.75,35.50,506.38,13.94,4.41,13.02,48.44,87.90,36.45,0.00,0.00,37.43,0.00,0.00,597.36
20.90,34.75,4.81,38.00,12.42,4.10,10.97,52.39,85.50,42.54,0.00,0.00,4.90,0.00,0.00,43.89
19.43,38.88,0.00,0.00,10.91,2.41,9.86,60.20,95.18,47.74,0.00,0.00,0.00,0.00,0.00,0.00
18.09,40.62,0.00,0.00,9.27,1.70,8.77,66.78,99.80,52.53,0.00,3.83,0.00,0.00,70.76,0.00
16.73,42.88,0.00,0.00,7.19,3.47,6.18,75.06,89.50,65.29,0.00,33.93,0.00,0.00,606.25,0.00
15.32,45.88,0.00,0.00,5.26,4.93,5.43,85.50,85.35,68.31,0.00,48.38,0.00,0.00,789.94,0.00
13.99,48.25,0.00,0.00,4.41,8.31,4.00,87.89,71.67,73.88,0.00,59.58,0.00,0.00,959.38,0.00
12.63,51.50,0.00,0.00,3.78,9.91,3.08,87.56,59.69,76.11,0.00,61.12,0.00,0.00,963.69,0.00
10.97,59.88,0.00,0.00,2.57,11.16,4.06,94.15,50.24,68.97,0.00,61.00,0.00,0.00,938.71,0.00
8.99,68.38,0.00,0.00,2.01,12.66,4.80,97.71,43.55,66.86,3.91,60.97,0.00,72.38,954.39,0.00
6.95,76.62,0.00,0.00,3.36,12.91,3.59,90.25,39.91,74.45,33.65,54.55,0.00,601.35,896.30,0.00
5.51,83.75,0.00,0.00,5.18,13.73,3.12,83.86,35.80,77.79,49.29,52.85,0.00,804.69,861.05,0.00
4.41,87.88,0.00,0.00,8.04,12.70,1.95,73.14,37.35,86.84,58.44,36.59,0.00,941.13,583.96,0.00
3.50,89.62,0.00,0.00,9.93,10.84,2.00,59.59,42.96,87.50,61.21,4.86,0.00,965.22,43.47,0.00
2.70,93.12,0.00,0.00,11.45,9.57,2.67,49.24,48.74,81.16,62.31,0.00,0.00,958.85,0.00,0.00
2.27,95.62,4.00,74.00,12.77,8.51,3.20,43.22,53.52,74.60,61.46,0.00,5.64,961.97,0.00,39.85
3.26,91.00,33.38,596.44,13.17,6.75,5.24,39.21,62.84,64.86,55.58,0.00,49.24,913.34,0.00,379.64
5.40,82.38,50.19,819.44,13.51,5.87,6.44,36.40,66.28,61.83,52.02,0.00,76.21,847.49,0.00,586.87
7.80,74.62,57.31,922.88,12.53,4.67,8.87,37.80,70.69,52.79,36.17,0.00,143.37,577.26,0.00,486.56
9.95,59.50,61.31,966.75,10.77,3.67,11.41,43.17,73.18,44.59,4.83,0.00,237.04,43.27,0.00,208.78
11.70,48.25,63.62,979.00,9.43,3.86,12.23,49.25,69.98,42.55,0.00,0.00,244.08,0.00,0.00,264.85
12.86,42.88,61.94,969.56,8.39,4.12,13.56,54.01,70.49,39.31,0.00,0.00,240.25,0.00,0.00,280.70
13.39,38.50,56.62,930.38,7.04,3.39,13.16,61.61,75.54,40.60,0.00,0.00,141.82,0.00,0.00,501.39
13.31,37.00,51.19,833.94,6.09,3.08,15.00,65.27,78.02,33.62,0.00,0.00,118.52,0.00,0.00,408.20
12.39,38.25,35.75,570.56,5.00,2.46,15.32,69.09,83.86,31.75,0.00,0.00,70.16,0.00,0.00,209.92
10.71,43.38,4.81,43.06,3.96,2.46,12.31,71.71,84.75,38.48,0.00,0.00,5.38,0.00,0.00,13.35
9.31,49.75,0.00,0.00,3.76,2.76,10.83,70.49,80.64,46.02,0.00,0.00,0.00,0.00,0.00,0.00
8.28,54.50,0.00,0.00,3.77,3.02,9.61,72.30,75.55,52.59,0.00,5.57,0.00,0.00,39.36,0.00
7.28,60.38,0.00,0.00,3.29,4.61,8.78,76.08,68.05,52.01,0.00,47.22,0.00,0.00,364.01,0.00
6.28,64.25,0.00,0.00,3.06,6.48,7.45,78.14,61.66,54.65,0.00,76.42,0.00,0.00,588.44,0.00
5.28,67.50,0.00,0.00,2.72,9.15,7.19,82.37,51.77,55.20,0.00,146.38,0.00,0.00,496.75,0.00
4.21,70.25,0.00,0.00,2.70,11.33,7.16,83.37,44.86,55.79,0.00,235.68,0.00,0.00,207.58,0.00
3.67,71.00,0.00,0.00,2.80,12.40,5.22,80.38,42.03,64.55,0.00,247.26,0.00,0.00,268.30,0.00
3.48,74.12,0.00,0.00,2.93,13.55,3.79,76.02,39.34,72.88,5.53,240.03,0.00,39.12,280.45,0.00
3.21,76.62,0.00,0.00,4.30,13.82,2.27,69.65,38.86,84.53,46.20,149.16,0.00,356.19,527.35,0.00
3.04,78.25,0.00,0.00,6.49,14.90,3.46,61.58,33.87,74.52,76.52,117.66,0.00,589.22,405.25,0.00
2.94,80.88,0.00,0.00,9.29,14.69,2.72,51.26,33.31,76.32,147.88,67.27,0.00,501.84,201.27,0.00
2.90,82.00,0.00,0.00,11.28,12.55,0.95,44.99,37.87,87.37,234.99,5.47,0.00,206.98,13.58,0.00
2.84,80.12,0.00,0.00,12.49,11.21,0.78,41.76,44.82,85.47,248.85,0.00,0.00,270.03,0.00,0.00
2.86,76.50,5.50,38.88,13.55,10.15,-0.09,39.36,50.74,88.26,239.92,0.00,4.94,280.32,0.00,49.90
4.03,71.25,45.19,348.38,14.15,9.25,0.72,37.99,50.38,86.03,152.83,0.00,38.59,540.33,0.00,411.69
6.51,61.50,76.62,590.00,14.84,8.12,4.32,34.00,52.26,66.21,117.24,0.00,56.77,403.78,0.00,709.43
9.41,50.75,149.38,506.94,14.38,7.49,5.18,34.10,54.04,63.37,65.83,0.00,55.76,196.94,0.00,732.86
11.25,45.12,234.31,206.38,12.66,6.99,7.62,37.56,56.45,51.48,5.51,0.00,62.46,13.70,0.00,774.49
12.57,41.50,250.44,271.75,11.40,5.50,9.80,44.22,63.33,43.26,0.00,0.00,68.72,0.00,0.00,797.71
13.54,39.38,239.81,280.19,10.41,4.18,11.83,49.81,70.94,37.01,0.00,0.00,63.33,0.00,0.00,855.55
14.43,37.12,156.50,553.31,9.48,2.83,12.66,49.56,81.39,34.72,0.00,0.00,54.76,0.00,0.00,851.79
14.80,34.12,116.81,402.31,8.45,2.97,14.22,51.07,77.32,31.03,0.00,0.00,57.56,0.00,0.00,857.61
14.11,34.88,64.38,192.62,7.65,2.27,13.16,53.46,78.91,32.43,0.00,0.00,37.01,0.00,0.00,589.64
