Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,19.8717
9,251.514
10,378.009
11,484.774
12,483.558
13,523.843
14,522.991
15,371.404
16,248.032
17,67.9125
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,9.35475
33,141.501
34,155.025
35,186.996
36,380.579
37,246.514
38,235.804
39,227.346
40,178.68
41,89.3564
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,19.8338
57,196.432
58,351.267
59,467.819
60,522.058
61,529.663
62,467.821
63,327.956
64,242.093
65,67.7515
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,8.64728
81,95.7967
82,167.82
83,205.581
84,315.56
85,349.753
86,340.325
87,356.695
88,247.36
89,85.6366
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,17.5652
105,318.045
106,513.349
107,611.94
108,646.094
109,617.02
110,557.465
111,431.384
112,261.656
113,73.404
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,16.9011
129,335.923
130,536.29
131,637.959
132,684.767
133,680.039
134,609.611
135,475.042
136,294.848
137,88.5111
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.0844833
153,35.3933
154,65.7784
155,64.0062
156,53.7519
157,40.2181
158,449.305
159,386.367
160,245.64
161,73.216
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1.86951
177,36.5889
178,66.4146
179,37.2732
180,74.031
181,62.0402
182,582.986
183,443.273
184,332.423
185,104.766
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,38.396
201,50.7128
202,150.592
203,157.035
204,93.6045
205,595.152
206,356.969
207,296.963
208,169.025
209,104.267
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
