Hour,Day Type,Daylight Savings Status,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,8.0,0.0,17.991666666666667,67.25,0.0,0.0,23.79355952540658,0.0,34.16870519658917,2.377116383617017,0.0,0.0
2,8.0,0.0,16.141666666666666,74.83333333333333,0.0,0.0,24.771517552710325,0.0,34.84430775650654,1.923782380839445,0.0,0.0
3,8.0,0.0,16.1,75.75,0.0,0.0,25.081507248012436,0.0,38.42814170396062,2.3719235712591678,0.0,0.0
4,8.0,0.0,16.1,78.16666666666667,0.0,0.0,24.010900921276292,0.0,34.64148586789896,1.923782380839445,0.0,0.2385802260476251
5,8.0,0.0,16.158333333333335,77.83333333333333,0.0,0.0,23.95279188931009,0.0,34.88268621408215,3.268205952098612,0.0,0.0
6,8.0,0.0,16.258333333333336,76.41666666666667,0.0,0.0,23.465246798840813,0.0,38.30977808261336,6.405194285036671,0.0,0.0
7,8.0,0.0,16.358333333333334,75.41666666666667,0.0,0.0,23.500203621196505,0.0,38.2053119337491,6.875837662340407,0.0,0.0
8,8.0,0.0,16.98333333333333,73.83333333333333,39.0,57.33333333333334,23.635822665932544,0.0008211973424430141,40.12874291288166,7.775581918085084,2.365046213951969,0.0
9,8.0,0.0,18.916666666666668,66.58333333333333,101.41666666666669,328.3333333333333,24.070190631727872,0.003231555486321369,39.897249777607804,9.125198301702099,2.3062070374242554,1.1690472151039122
10,8.0,0.0,21.283333333333335,57.33333333333334,149.58333333333337,431.0,24.63838414619299,0.0022157658892840715,36.788599851761816,10.474814685319117,2.305354503852775,3.793313364624311
11,8.0,0.0,23.425,49.91666666666666,188.0,492.58333333333326,25.00087164487322,0.002214120438971179,34.63269059841019,12.724175324680814,1.5368252532555082,10.317938697829469
12,8.0,0.0,25.175,44.08333333333334,222.41666666666669,459.5,25.557737929672278,0.5579941814910025,35.57721786744839,14.07379170829783,11.054569557463203,16.86555108052912
13,8.0,0.0,25.741666666666664,42.583333333333336,179.91666666666669,591.75,25.91062514175662,0.9112006131892123,34.97931966976294,13.174047452553152,9.220020251489633,20.37187341502809
