Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
17.81,68.12,0.00,0.00,16.19,25.29,18.31,76.47,44.10,67.32,0.00,171.45,0.00,0.00,577.41,0.00
16.14,74.75,0.00,0.00,17.20,25.96,17.25,72.65,41.52,72.46,41.67,132.00,0.00,65.46,708.69,0.00
16.10,75.88,0.00,0.00,18.76,25.90,15.07,67.54,41.96,82.54,101.65,118.76,0.00,329.89,595.70,0.00
16.10,78.25,0.00,0.00,21.43,26.08,15.21,56.74,42.34,80.86,151.99,69.99,0.00,436.51,582.30,0.00
16.16,77.75,0.00,0.00,23.37,25.84,12.91,50.20,42.92,93.52,187.61,34.75,0.00,486.97,329.68,0.00
16.26,76.38,0.00,0.00,25.27,25.01,12.38,43.76,45.94,93.11,223.09,0.00,0.00,462.04,0.00,0.00
16.36,75.38,0.00,0.00,25.53,25.48,12.31,43.36,44.80,91.48,174.54,0.00,0.00,587.80,0.00,0.00
17.02,73.75,41.06,64.50,25.82,23.95,13.22,41.95,48.54,83.54,130.69,0.00,36.20,701.65,0.00,16.60
19.02,66.12,103.88,337.12,25.79,23.91,13.02,42.29,46.92,85.05,117.85,0.00,117.49,591.13,0.00,64.44
21.38,57.00,151.31,434.56,25.88,22.94,12.83,42.98,48.91,87.86,68.99,0.00,163.71,574.03,0.00,17.89
23.51,49.62,189.81,492.69,25.76,21.16,15.08,43.15,53.52,76.96,34.56,0.00,231.55,327.93,0.00,52.17
25.24,43.88,222.50,460.81,25.28,21.21,16.50,45.09,52.18,67.91,0.00,0.00,293.11,0.00,0.00,169.46
25.74,42.62,177.62,598.19,25.17,18.93,16.55,45.84,64.60,65.28,0.00,0.00,274.66,0.00,0.00,45.56
25.70,42.38,129.38,694.62,24.03,17.52,14.65,48.27,71.10,72.34,0.00,0.00,227.43,0.00,0.00,35.79
25.70,42.62,116.94,586.56,23.58,15.57,15.44,48.09,79.77,63.81,0.00,0.00,193.77,0.00,0.00,92.54
25.70,43.62,68.00,565.75,22.70,15.02,15.96,49.76,81.99,57.91,0.00,0.00,123.73,0.00,0.00,214.35
25.70,43.38,34.38,326.19,21.42,13.44,15.71,52.57,90.20,56.82,0.00,0.00,61.86,0.00,0.00,268.97
