Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1,8,0,22.92,0.0,54.43,13.1,1.08,1.2
1,2,8,0,22.71,0.0,51.86,5.4,3.12,0.0
1,3,8,0,22.66,0.0,49.42,5.6,0.48,0.0
1,4,8,0,22.67,0.0,47.54,7.0,1.68,0.01
1,5,8,0,22.63,0.0,46.51,4.9,0.0,0.0
1,6,8,0,22.62,0.0,46.1,5.0,1.92,0.0
1,7,8,0,22.66,0.0,46.0,7.7,4.08,0.08
1,8,8,0,22.69,0.0,46.15,9.1,17.76,0.19
1,9,8,0,22.72,0.0,45.8,11.6,6.84,0.39
1,10,8,0,22.67,0.0,45.44,7.4,14.28,0.01
1,11,8,0,22.71,0.0,45.45,8.9,6.72,0.22
1,12,8,0,22.82,0.0,46.24,10.8,11.04,0.87
1,13,8,0,22.86,0.0,48.09,7.9,2.28,0.79
1,14,8,0,22.88,0.0,49.33,9.0,2.04,0.91
1,15,8,0,22.9,0.0,49.87,10.6,0.48,1.15
1,16,8,0,22.87,0.0,50.7,8.1,2.76,0.64
1,17,8,0,22.85,0.0,51.35,8.3,4.68,0.6
1,18,8,0,22.87,0.0,51.22,9.6,4.8,0.87
1,19,8,0,22.88,0.0,51.27,8.9,6.84,0.88
1,20,8,0,22.9,0.0,51.74,9.4,4.32,1.03
1,21,8,0,22.9,0.0,52.47,8.7,1.08,0.95
1,22,8,0,22.97,0.0,53.22,10.8,7.32,1.65
1,23,8,0,22.97,0.0,54.22,10.1,3.12,1.41
1,24,8,0,22.92,0.0,54.9,8.8,0.48,0.95
1,1,5,0,22.95,0.0,55.41,10.2,0.84,1.37
1,2,5,0,22.94,0.0,56.47,8.7,0.24,1.08
1,3,5,0,22.95,0.0,57.01,10.1,0.36,1.42
1,4,5,0,23.09,0.0,56.55,14.0,0.48,2.68
1,5,5,0,23.0,0.0,56.89,10.0,0.48,1.42
1,6,5,0,22.97,0.0,57.18,9.5,1.68,1.22
1,7,5,0,23.0,0.0,57.28,11.4,6.0,1.84
1,8,5,0,22.98,0.0,57.67,10.0,19.56,1.51
1,9,5,0,22.99,0.0,57.28,11.2,4.32,1.59
1,10,5,0,22.99,0.0,56.04,10.7,6.0,1.56
1,11,5,0,22.99,0.0,54.2,9.2,13.56,1.34
1,12,5,0,23.01,0.0,51.85,9.2,2.76,1.4
1,13,5,0,23.01,0.0,48.58,8.6,3.24,1.23
1,14,5,0,23.07,0.0,44.67,9.8,1.08,1.56
1,15,5,0,23.11,0.0,41.0,10.3,0.96,1.66
1,16,5,0,23.03,0.0,38.54,9.2,3.96,0.83
1,17,5,0,22.86,0.0,35.96,7.5,2.04,0.1
1,18,5,0,22.81,0.0,33.56,8.8,3.36,0.23
1,19,5,0,22.82,0.0,31.54,10.3,1.56,0.43
1,20,5,0,22.78,0.0,30.27,10.4,7.2,0.31
1,21,5,0,22.77,0.0,28.97,12.6,4.68,0.42
1,22,5,0,22.75,0.0,27.76,13.8,16.56,0.43
1,23,5,0,22.62,0.0,26.92,9.6,2.16,0.0
1,24,5,0,22.58,0.0,25.54,10.2,1.56,0.0
1,1,6,0,22.54,0.0,24.56,7.5,0.84,0.0
1,2,6,0,22.48,0.0,23.84,6.0,0.84,0.0
1,3,6,0,22.48,0.0,23.06,4.3,0.12,0.0
1,4,6,0,22.48,0.0,22.57,6.0,0.36,0.0
1,5,6,0,22.48,0.0,22.19,5.7,1.2,0.0
1,6,6,0,22.48,0.0,21.75,3.3,2.88,0.0
1,7,6,0,22.48,0.0,21.27,4.5,3.96,0.0
1,8,6,0,22.48,0.0,20.6,9.3,10.56,0.0
1,9,6,0,22.48,0.0,19.36,9.2,3.48,0.0
1,10,6,0,22.48,0.0,18.03,7.5,4.56,0.0
1,11,6,0,22.48,0.0,17.12,5.7,5.52,0.0
1,12,6,0,22.52,0.0,16.43,13.2,6.84,0.0
1,13,6,0,22.5,0.0,16.03,8.2,4.2,0.0
1,14,6,0,22.5,0.0,15.67,6.3,2.28,0.0
1,15,6,0,22.61,0.0,15.07,10.2,3.84,0.0
1,16,6,0,22.66,0.0,14.51,9.3,5.4,0.0
1,17,6,0,22.64,0.0,14.42,10.3,2.76,0.0
1,18,6,0,22.58,0.0,15.0,10.8,4.8,0.0
1,19,6,0,22.6,0.0,16.09,12.5,3.6,0.0
1,20,6,0,22.55,0.0,17.13,8.7,5.28,0.0
1,21,6,0,22.55,0.0,18.04,11.8,1.08,0.0
1,22,6,0,22.53,0.0,19.17,10.1,0.96,0.0
1,23,6,0,22.52,0.0,20.03,10.1,1.2,0.0
1,24,6,0,22.5,0.0,20.37,9.1,1.44,0.0
1,1,7,0,22.48,0.0,20.54,4.0,0.6,0.0
1,2,7,0,22.48,0.0,20.77,5.0,2.88,0.0
1,3,7,0,22.48,0.0,21.18,4.3,0.96,0.0
1,4,7,0,22.48,0.0,21.67,3.3,0.72,0.0
1,5,7,0,22.48,0.0,22.38,7.0,0.36,0.0
1,6,7,0,22.48,0.0,23.42,3.5,0.36,0.0
1,7,7,0,22.48,0.0,24.46,3.8,1.44,0.0
1,8,7,0,22.48,0.0,25.69,3.8,6.6,0.0
1,9,7,0,22.48,0.0,26.9,4.3,3.0,0.0
1,10,7,0,22.48,0.0,28.04,4.2,5.88,0.0
1,11,7,0,22.48,0.0,28.8,3.9,7.2,0.0
1,12,7,0,22.5,0.0,29.66,5.0,9.6,0.0
1,13,7,0,22.61,0.0,30.35,7.7,6.84,0.0
1,14,7,0,22.72,0.0,31.4,7.9,7.56,0.0
1,15,7,0,22.87,0.0,32.91,10.0,1.44,0.64
1,16,7,0,22.81,0.0,34.44,5.0,4.2,0.01
1,17,7,0,22.76,0.0,35.77,5.9,7.08,0.01
1,18,7,0,22.81,0.0,37.48,10.2,3.24,0.53
1,19,7,0,22.92,0.0,39.25,13.0,5.16,1.25
1,20,7,0,22.9,0.0,41.47,11.1,7.2,0.89
1,21,7,0,22.83,0.0,43.5,8.6,3.12,0.43
1,22,7,0,22.95,0.0,44.94,13.6,1.92,1.52
1,23,7,0,22.92,0.0,46.69,11.3,8.28,1.1
1,24,7,0,22.83,0.0,48.07,8.7,1.2,0.46
1,1,1,0,22.73,0.0,48.83,6.1,4.56,0.06
1,2,1,0,22.8,0.0,49.13,10.4,2.04,0.77
1,3,1,0,22.87,0.0,50.03,11.4,1.2,1.15
1,4,1,0,22.83,0.0,51.29,8.9,0.84,0.68
1,5,1,0,22.77,0.0,52.1,6.9,0.36,0.37
1,6,1,0,22.77,0.0,52.75,7.0,0.6,0.39
1,7,1,0,22.83,0.0,53.15,11.1,0.6,1.13
1,8,1,0,22.77,0.0,53.78,6.0,7.8,0.24
1,9,1,0,22.73,0.0,53.97,4.8,8.88,0.06
1,10,1,0,22.75,0.0,53.72,5.8,9.48,0.19
1,11,1,0,22.78,0.0,53.63,5.3,10.56,0.28
1,12,1,0,22.99,0.0,53.05,10.7,8.64,2.12
1,13,1,0,23.01,0.0,53.26,5.6,7.32,1.31
1,14,1,0,23.32,0.0,52.67,10.5,6.0,3.72
1,15,1,0,23.59,0.0,52.71,11.5,1.92,5.71
1,16,1,0,23.62,0.0,53.8,9.8,6.84,5.38
1,17,1,0,23.62,0.0,55.13,10.9,3.48,5.69
1,18,1,0,23.57,0.0,56.56,11.8,8.88,4.75
1,19,1,0,23.46,0.0,57.05,11.4,8.88,3.51
1,20,1,0,23.43,0.0,55.56,13.0,2.64,3.4
1,21,1,0,23.23,0.0,52.28,12.2,7.8,1.58
1,22,1,0,22.82,0.0,48.87,5.8,10.32,0.01
1,23,1,0,22.7,0.0,44.36,6.9,1.8,0.0
1,24,1,0,22.62,0.0,40.04,7.5,9.72,0.0
1,1,2,0,22.56,0.0,36.23,5.7,1.68,0.0
1,2,2,0,22.49,0.0,32.81,4.3,0.12,0.0
1,3,2,0,22.48,0.0,29.46,6.5,0.12,0.0
1,4,2,0,22.48,0.0,26.72,4.5,0.12,0.0
1,5,2,0,22.48,0.0,24.55,3.2,0.48,0.0
1,6,2,0,22.48,0.0,22.82,4.3,2.04,0.0
1,7,2,0,22.48,0.0,21.69,4.0,1.92,0.0
1,8,2,0,22.48,0.0,20.74,5.1,8.52,0.0
1,9,2,0,22.48,0.0,19.61,3.8,9.12,0.0
1,10,2,0,22.48,0.0,18.45,6.4,7.32,0.0
1,11,2,0,22.48,0.0,16.95,6.0,3.48,0.0
1,12,2,0,22.48,0.0,15.76,10.0,3.48,0.0
1,13,2,0,22.48,0.0,14.64,4.8,2.16,0.0
1,14,2,0,22.48,0.0,13.97,11.9,1.68,0.0
1,15,2,0,22.48,0.0,13.41,8.8,0.72,0.0
1,16,2,0,22.48,0.0,12.78,9.8,3.48,0.0
1,17,2,0,22.48,0.0,12.14,9.3,2.76,0.0
1,18,2,0,22.48,0.0,11.72,11.7,1.68,0.0
1,19,2,0,22.48,0.0,11.66,11.4,3.72,0.0
1,20,2,0,22.48,0.0,11.91,9.1,4.8,0.0
1,21,2,0,22.48,0.0,12.16,11.5,4.8,0.0
1,22,2,0,22.51,0.0,12.37,18.8,4.44,0.0
1,23,2,0,22.48,0.0,12.45,12.5,0.84,0.0
1,24,2,0,22.48,0.0,12.45,16.3,0.48,0.0
1,1,3,0,22.48,0.0,12.45,4.9,0.48,0.0
1,2,3,0,22.48,0.0,12.53,5.8,0.84,0.0
1,3,3,0,22.48,0.0,12.55,3.9,0.36,0.0
1,4,3,0,22.48,0.0,12.53,4.7,3.48,0.0
1,5,3,0,22.47,0.0,12.52,4.4,0.36,0.0
1,6,3,0,22.46,0.0,12.44,4.3,1.44,0.0
1,7,3,0,22.44,0.0,12.37,4.4,3.96,0.0
1,8,3,0,22.47,0.0,12.25,4.8,14.76,0.0
1,9,3,0,22.48,0.0,11.87,4.8,5.64,0.0
1,10,3,0,22.48,0.0,11.38,9.1,6.96,0.0
1,11,3,0,22.48,0.0,10.91,4.6,6.96,0.0
1,12,3,0,22.48,0.0,10.49,8.7,6.48,0.0
1,13,3,0,22.48,0.0,10.25,5.7,0.72,0.0
1,14,3,0,22.48,0.0,10.17,9.4,6.0,0.0
1,15,3,0,22.49,0.0,10.29,10.5,3.12,0.0
1,16,3,0,22.49,0.0,10.48,10.0,4.92,0.0
1,17,3,0,22.48,0.0,10.67,8.6,1.68,0.0
1,18,3,0,22.48,0.0,11.21,9.4,5.76,0.0
1,19,3,0,22.48,0.0,12.14,9.1,1.32,0.0
1,20,3,0,22.48,0.0,13.14,10.7,5.4,0.0
1,21,3,0,22.48,0.0,13.96,12.3,7.8,0.0
1,22,3,0,22.48,0.0,14.64,11.6,2.4,0.0
1,23,3,0,22.48,0.0,15.39,8.8,0.96,0.0
1,24,3,0,22.48,0.0,16.02,7.1,0.48,0.0
1,1,4,0,22.48,0.0,16.56,7.7,0.72,0.0
1,2,4,0,22.48,0.0,16.84,4.5,1.2,0.0
1,3,4,0,22.48,0.0,17.06,7.0,0.6,0.0
1,4,4,0,22.48,0.0,17.1,4.3,3.6,0.0
1,5,4,0,22.48,0.0,17.06,10.5,0.24,0.0
1,6,4,0,22.48,0.0,17.24,6.8,2.16,0.0
1,7,4,0,22.48,0.0,17.59,6.1,6.48,0.0
1,8,4,0,22.48,0.0,17.82,7.7,14.88,0.0
1,9,4,0,22.48,0.0,17.39,7.9,6.84,0.0
1,10,4,0,22.48,0.0,16.55,7.6,4.56,0.0
1,11,4,0,22.51,0.0,16.24,9.7,9.96,0.0
1,12,4,0,22.56,0.0,16.73,8.7,6.72,0.0
1,13,4,0,22.66,0.0,17.72,11.8,1.08,0.13
1,14,4,0,22.67,0.0,19.21,8.5,1.08,0.07
1,15,4,0,22.74,0.0,20.79,10.7,1.08,0.45
1,16,4,0,22.73,0.0,21.87,9.2,0.84,0.24
1,17,4,0,22.69,0.0,22.98,8.4,3.24,0.0
1,18,4,0,22.63,0.0,23.97,9.1,8.88,0.0
1,19,4,0,22.65,0.0,24.62,10.3,7.68,0.0
1,20,4,0,22.61,0.0,25.26,7.8,5.28,0.0
1,21,4,0,22.62,0.0,25.46,10.2,1.44,0.0
1,22,4,0,22.61,0.0,25.57,8.8,1.56,0.0
1,23,4,0,22.67,0.0,25.47,13.5,2.64,0.08
1,24,4,0,22.68,0.0,25.72,13.6,0.72,0.13
