Hour,Day Type,Daylight Savings Status,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1.0,0.0,17.8125,68.125,0.0,0.0,23.87895233093809,0.0,47.245682918560014,7.794315217642483,1.4558686552767646,5.553851857843834
2,1.0,0.0,16.1375,74.75,0.0,0.0,23.858657362221578,0.0,48.77500583532919,7.198257821900184,0.7724742239257099,2.2763055248648665
3,1.0,0.0,16.1,75.875,0.0,0.0,23.81061686005142,0.0,50.08920512014535,6.889069561207352,0.5234283758469024,1.4425186055935781
4,1.0,0.0,16.1,78.25,0.0,0.0,23.7360142612335,3.116573934937723e-05,51.63906991208524,6.692355996816513,0.5652646462218107,0.9774864974413062
5,1.0,0.0,16.1625,77.75,0.0,0.0,23.652297621899493,0.0,53.13673658664463,6.785887419237894,1.133622302185467,0.7855719773140328
6,1.0,0.0,16.2625,76.375,0.0,0.0,23.59682438004094,0.0,54.09973052457542,7.423987574611205,3.3862514816531446,0.7739072664270158
7,1.0,0.0,16.3625,75.375,0.0,0.0,23.574784451675328,0.0,54.74578274494545,9.066921661472994,7.670768039821563,0.827582366281091
8,1.0,0.0,17.025,73.75,41.0625,64.5,23.66796003012013,0.0,54.91525825087876,10.949979190344084,9.353705106746137,1.6273574084953923
9,1.0,0.0,19.025,66.125,103.875,337.125,23.82781103629194,0.0,54.12366615429194,11.741014049883574,9.657834215372956,6.736319300634937
10,1.0,0.0,21.375,57.0,151.3125,434.5625,23.873378671469915,0.0,52.54452094197757,12.454497414957867,9.048470703092557,11.568514489591365
11,1.0,0.0,23.5125,49.625,189.8125,492.6875,23.879671688666186,0.0,50.61335535021654,12.687478672504858,7.922100826854498,15.217896990114593
12,1.0,0.0,25.2375,43.875,222.5,460.8125,23.879619681770752,0.0,49.03675845387659,12.902946819716412,6.746433420375279,17.692978888059763
13,1.0,0.0,25.7375,42.625,177.625,598.1875,23.879366836398173,0.0,47.65769155809663,12.65665649132132,5.851346964626729,20.42935593272592
14,1.0,0.0,25.7,42.375,129.375,694.625,23.878953274628802,0.0,46.31138870269365,12.118764013942258,5.285567284948394,23.201092257589384
15,1.0,0.0,25.7,42.625,116.9375,586.5625,23.87913923104537,0.0,45.25053466752089,11.732479713551907,4.658431274216017,24.908546721694545
16,1.0,0.0,25.7,43.625,68.0,565.75,23.87947465701435,0.0,44.71321154572495,12.107492710919825,4.64920827207985,26.203175517936543
17,1.0,0.0,25.7,43.375,34.375,326.1875,23.879536221304807,0.0,44.73986172330923,13.778196779200126,5.245878612518109,24.13363027614896
18,1.0,0.0,25.5125,44.25,0.0,0.0,23.879562794387958,0.0,45.478067347212296,16.555466290950594,6.337969015272581,21.070165734176726
19,1.0,0.0,24.9,46.875,0.0,0.0,23.87927088475833,0.0,46.505586789982225,16.29998221063618,7.534050006103357,21.837803457902492
20,1.0,0.0,24.1,48.0,0.0,0.0,23.87901880899027,0.0,47.05563987766033,14.95791996811918,7.832598036777034,20.584740087135785
21,1.0,0.0,23.3,49.25,0.0,0.0,23.878704316160317,0.0,46.93482330199654,14.20731335900552,7.191207109333293,18.80174592173483
22,1.0,0.0,22.500000000000004,50.625,0.0,0.0,23.8788092726404,0.0,46.81767631989612,13.554210953460414,6.301787240676664,16.839974416204527
23,1.0,0.0,21.6375,51.625,0.0,0.0,23.878996948279614,0.0,46.68769516871494,11.621593008693123,4.728909181892618,13.752181221072538
24,1.0,0.0,20.8,53.875,0.0,0.0,23.87919916374939,0.0,46.62138952595414,9.54829133482013,3.060691957685921,10.703130811147874
1,2.0,0.0,19.5,61.875,0.0,0.0,23.87940856598143,0.0,47.167561177031224,7.6833722121192025,1.2977270797097147,7.420087270786921
2,2.0,0.0,17.775,69.75,0.0,0.0,23.87909073759571,0.0,48.549536448930795,7.131348481968132,0.6817748060191593,4.125533262160417
3,2.0,0.0,16.0375,77.0,0.0,0.0,23.818948321630934,0.0,50.087969762723155,6.845460529838587,0.46997836754619765,1.469660131843127
4,2.0,0.0,14.8375,83.125,0.0,0.0,23.616404712252137,0.0,51.893706025688054,6.667810341535417,0.5097141199260233,0.657182451059629
5,2.0,0.0,13.937500000000002,86.875,0.0,0.0,23.38080044723881,0.0,53.46244641146322,6.7393055031348785,1.0211797147541386,0.4041729758875318
6,2.0,0.0,13.1625,88.0,0.0,0.0,23.14981916945848,0.0,54.428307833374674,7.3503279909048995,3.075898252943385,0.29444406791982614
7,2.0,0.0,12.4625,90.5,0.0,0.0,22.9479999305685,0.0,54.90997923639209,8.88398166109162,6.991590544237132,0.22850149231064648
8,2.0,0.0,12.325,89.5,33.9375,15.5625,22.819447346060354,0.0,55.123217614170386,10.587420450438342,8.444555600706062,0.25277697579235897
9,2.0,0.0,13.15,84.25,118.625,65.0625,22.85465260541257,0.0,54.43954764059952,11.181228337918652,8.624273764934742,0.34537735060751845
10,2.0,0.0,13.9125,81.375,177.875,19.4375,22.83897219928324,0.0,53.71073633878913,11.696799700485526,8.031988869737688,0.38200410028820314
11,2.0,0.0,14.4125,81.0,220.5625,49.6875,22.87157733227768,0.0,53.219316728740125,11.849167580555271,7.016362805122475,0.478559576251187
12,2.0,0.0,15.1625,75.375,266.6875,154.1875,23.119145967026963,0.0,52.231789229658844,12.053006293960806,5.976742935801181,0.770020456962641
13,2.0,0.0,15.625,70.125,256.9375,42.625,23.207237678316453,0.0,51.51358459647456,11.884346025370625,5.167780775685492,0.6742298821515836
14,2.0,0.0,15.7,67.125,246.625,38.8125,23.252161128695597,0.0,50.31904437990878,11.41164143159925,4.689585784835564,0.6942418848720002
15,2.0,0.0,15.6375,62.875,196.6875,93.9375,23.331307469253044,0.0,48.5595487173448,11.100646529402862,4.120490928860585,0.9320357887564273
16,2.0,0.0,15.412500000000003,60.375,118.875,205.9375,23.419261753661438,0.0,46.651809759062154,11.509661854183388,4.143237063926615,1.4824836664068466
17,2.0,0.0,14.9875,60.0,58.75,255.4375,23.490226123479513,0.0,45.069407684861105,13.194793824968892,4.6306486918196335,2.25304475546886
18,2.0,0.0,14.2375,61.25,0.0,0.0,23.350899434230634,0.0,45.00394113697648,15.976053967847042,5.6604791675285995,0.619465198865328
19,2.0,0.0,13.4,62.625,0.0,0.0,23.337509168871765,0.0,45.06918928521099,15.717724003894267,6.711247008625893,0.6647966770679667
20,2.0,0.0,12.600000000000003,64.875,0.0,0.0,23.23756370465609,0.0,45.022295957879805,14.365106755047387,6.918214720042396,0.5379273922901835
21,2.0,0.0,11.8,69.75,0.0,0.0,23.064731711763326,0.0,44.92111280795001,13.615429747283882,6.299561689770646,0.3912939406892355
22,2.0,0.0,11.0,72.0,0.0,0.0,22.874328762236804,0.0,44.987593348570776,12.964295099411096,5.518432408828321,0.29296097137986643
23,2.0,0.0,10.2,73.875,0.0,0.0,22.637338793996804,0.0,44.85694461595244,11.16112536329695,4.168517794334859,0.154614352780589
24,2.0,0.0,9.4,75.625,0.0,0.0,22.457906050398233,0.0,44.34784828024161,9.292887952065069,2.6987335456384667,0.007430021496325089
1,3.0,0.0,9.0375,77.25,0.0,0.0,22.346435073889122,0.0,43.54810432615372,7.6833722121192025,1.3081308447458395,0.0
2,3.0,0.0,8.9375,80.5,0.0,0.0,22.3015166327359,0.0,42.96122477012864,7.131348481968132,0.6907187416465236,0.0
3,3.0,0.0,8.9,82.0,0.0,0.0,22.272582125216573,0.0,42.76118620445551,6.845460529838587,0.46965477128206856,0.0
4,3.0,0.0,8.837500000000002,82.0,0.0,0.0,22.257594315161057,0.0,42.590199775658704,6.667810341535417,0.5089362017747591,0.0
5,3.0,0.0,8.8,81.375,0.0,0.0,22.24644095918464,0.0,42.40600263121915,6.7393055031348785,1.0198726264386164,0.0
6,3.0,0.0,8.8,80.375,0.0,0.0,22.238561927520134,0.0,42.21363884734297,7.3503279909048995,3.0852828809560022,0.0
7,3.0,0.0,8.8625,77.5,0.0,0.0,22.236916087942195,0.0,42.02081369035208,8.88398166109162,7.000216467813606,0.0
8,3.0,0.0,9.525,72.25,43.6875,34.125,22.240307749646206,0.0,41.72919650018525,10.587420450438342,8.460083334849314,0.0
9,3.0,0.0,11.4625,63.75,120.5,202.3125,22.269052527499756,0.0,41.27712445543352,11.181228337918652,8.639794805157022,0.0
10,3.0,0.0,14.0875,55.0,167.4375,359.375,22.442382273533894,0.0,40.40923323198798,11.696799700485526,8.045477738538999,0.06825228812763745
11,3.0,0.0,16.6625,47.625,193.125,459.75,22.776843472853017,0.0,39.24732957928431,11.849167580555271,7.039052613831264,0.6984549087140169
12,3.0,0.0,18.9125,41.875,195.6875,533.375,23.06528411940865,0.0,38.37360484833389,12.053006293960806,6.004993720549445,2.3413272927923665
13,3.0,0.0,20.6375,38.125,180.25,580.0625,23.26919617723636,0.0,37.8647500361198,11.884346025370625,5.178161599715412,4.964049268633905
14,3.0,0.0,21.762500000000006,36.375,167.8125,535.9375,23.470403782840467,1.0942059871187157e-06,37.44370530371857,11.41164143159925,4.681265713953901,6.749182406249226
15,3.0,0.0,22.0375,35.375,161.875,413.6875,23.68284181296663,0.0,37.03504661687747,11.100646529402862,4.153879288833849,7.779999507415156
16,3.0,0.0,21.625,35.0,79.4375,500.6875,23.76116402032812,0.0,36.74852308895611,11.509661854183388,4.122344459366104,10.469718796931392
17,3.0,0.0,20.4,37.5,34.3125,304.1875,23.814864618329164,0.0,36.58812549179238,13.194793824968892,4.661738823291255,8.828025919230035
18,3.0,0.0,18.675,41.5,0.0,0.0,23.852496122277337,0.0,36.95978803359258,15.976053967847042,5.668002312260803,5.646410364034504
19,3.0,0.0,17.5625,48.625,0.0,0.0,23.877614505348998,0.0,37.786983163448326,15.717724003894267,6.705969653622108,6.168603322762707
20,3.0,0.0,16.862500000000004,53.875,0.0,0.0,23.8785248187187,0.0,39.21262210821195,14.365106755047387,6.935396225901022,5.67439244616042
