KPI,Building_1,District
building_battery_health_capacity_fade_business_as_usual_ratio,0.010088439122996343,
building_battery_health_capacity_fade_delta_to_business_as_usual_ratio,0.0,
building_battery_health_capacity_fade_ratio,0.010088439122996343,
building_battery_health_equivalent_full_cycles_business_as_usual_count,161.29438374141853,
building_battery_health_equivalent_full_cycles_count,161.29438374141853,
building_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,0.0,
building_battery_ratio_to_business_as_usual_capacity_fade_ratio,1.0,
building_battery_ratio_to_business_as_usual_charge_ratio,1.0,
building_battery_ratio_to_business_as_usual_discharge_ratio,1.0,
building_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,1.0,
building_battery_ratio_to_business_as_usual_throughput_ratio,1.0,
building_battery_total_charge_business_as_usual_kwh,5047.3416197896,
building_battery_total_charge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_charge_kwh,5047.3416197896,
building_battery_total_discharge_business_as_usual_kwh,4630.321404695511,
building_battery_total_discharge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_discharge_kwh,4630.321404695511,
building_battery_total_throughput_business_as_usual_kwh,9677.663024485111,
building_battery_total_throughput_delta_to_business_as_usual_kwh,0.0,
building_battery_total_throughput_kwh,9677.663024485111,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,
building_comfort_resilience_discomfort_cold_ratio,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,
building_comfort_resilience_discomfort_hot_ratio,,
building_comfort_resilience_discomfort_overall_ratio,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0.0,
building_cost_community_market_counterfactual_daily_average_eur,0.0,
building_cost_community_market_counterfactual_total_eur,0.0,
building_cost_community_market_savings_daily_average_eur,0.0,
building_cost_community_market_savings_total_eur,0.0,
building_cost_community_market_settled_daily_average_eur,0.0,
building_cost_community_market_settled_total_eur,0.0,
building_cost_daily_average_baseline_eur,25.076543552004424,
building_cost_daily_average_business_as_usual_eur,23.900372094937826,
building_cost_daily_average_control_eur,23.900372094937826,
building_cost_daily_average_delta_eur,-1.1761714570665982,
building_cost_daily_average_delta_to_business_as_usual_eur,0.0,
building_cost_ratio_to_baseline_total_ratio,0.9530967473795812,
building_cost_ratio_to_business_as_usual_total_ratio,1.0,
building_cost_total_baseline_eur,9152.67718248628,
building_cost_total_business_as_usual_eur,8723.386852442984,
building_cost_total_control_eur,8723.386852442984,
building_cost_total_delta_eur,-429.2903300432972,
building_cost_total_delta_to_business_as_usual_eur,0.0,
building_deferrable_appliance_ratio_to_business_as_usual_average_start_delay_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_completed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_missed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_served_energy_total_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_service_level_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_unserved_energy_total_ratio,1.0,
building_deferrable_appliance_service_average_start_delay_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_delta_to_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_hours,0.0,
building_deferrable_appliance_service_completed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_completed_cycles_count,0.0,
building_deferrable_appliance_service_completed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_count,0.0,
building_deferrable_appliance_service_missed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_served_energy_total_business_as_usual_kwh,0.0,
building_deferrable_appliance_service_served_energy_total_delta_to_business_as_usual_kwh,0.0,
building_deferrable_appliance_service_served_energy_total_kwh,0.0,
building_deferrable_appliance_service_service_level_business_as_usual_ratio,,
building_deferrable_appliance_service_service_level_delta_to_business_as_usual_ratio,,
building_deferrable_appliance_service_service_level_ratio,,
building_deferrable_appliance_service_unserved_energy_total_business_as_usual_kwh,0.0,
building_deferrable_appliance_service_unserved_energy_total_delta_to_business_as_usual_kwh,0.0,
building_deferrable_appliance_service_unserved_energy_total_kwh,0.0,
building_electrical_service_phase_imbalance_phase_average_ratio,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,
building_electrical_service_phase_violations_event_count,0.0,
building_emissions_daily_average_baseline_kgco2,44.33345048132068,
building_emissions_daily_average_business_as_usual_kgco2,42.20806638391635,
building_emissions_daily_average_control_kgco2,42.20806638391635,
building_emissions_daily_average_delta_kgco2,-2.1253840974043254,
building_emissions_daily_average_delta_to_business_as_usual_kgco2,0.0,
building_emissions_ratio_to_baseline_total_ratio,0.952059132002373,
building_emissions_ratio_to_business_as_usual_total_ratio,1.0,
building_emissions_total_baseline_kgco2,16181.2476189062,
building_emissions_total_business_as_usual_kgco2,15405.504562771303,
building_emissions_total_control_kgco2,15405.504562771303,
building_emissions_total_delta_kgco2,-775.7430561348974,
building_emissions_total_delta_to_business_as_usual_kgco2,0.0,
building_energy_grid_community_market_grid_export_after_local_daily_average_kwh,0.0,
building_energy_grid_community_market_grid_export_after_local_total_kwh,0.0,
building_energy_grid_community_market_grid_import_after_local_daily_average_kwh,0.0,
building_energy_grid_community_market_grid_import_after_local_total_kwh,0.0,
building_energy_grid_community_market_local_export_daily_average_kwh,0.0,
building_energy_grid_community_market_local_export_total_kwh,0.0,
building_energy_grid_community_market_local_import_daily_average_kwh,0.0,
building_energy_grid_community_market_local_import_total_kwh,0.0,
building_energy_grid_daily_average_export_baseline_kwh,27.6593749685039,
building_energy_grid_daily_average_export_business_as_usual_kwh,13.830647172272409,
building_energy_grid_daily_average_export_control_kwh,13.830647172272409,
building_energy_grid_daily_average_export_delta_kwh,-13.82872779623149,
building_energy_grid_daily_average_export_delta_to_business_as_usual_kwh,0.0,
building_energy_grid_daily_average_import_baseline_kwh,272.3707867143919,
building_energy_grid_daily_average_import_business_as_usual_kwh,259.684612668564,
building_energy_grid_daily_average_import_control_kwh,259.684612668564,
building_energy_grid_daily_average_import_delta_kwh,-12.686174045827922,
building_energy_grid_daily_average_import_delta_to_business_as_usual_kwh,0.0,
building_energy_grid_daily_average_net_exchange_baseline_kwh,244.711411745888,
building_energy_grid_daily_average_net_exchange_business_as_usual_kwh,245.85396549629158,
building_energy_grid_daily_average_net_exchange_control_kwh,245.85396549629158,
building_energy_grid_daily_average_net_exchange_delta_kwh,1.1425537504035692,
building_energy_grid_daily_average_net_exchange_delta_to_business_as_usual_kwh,0.0,
building_energy_grid_ratio_to_baseline_export_total_ratio,0.5000346966633031,
