KPI,Building_1,District
building_battery_health_capacity_fade_business_as_usual_ratio,0.00616116537017426,
building_battery_health_capacity_fade_delta_to_business_as_usual_ratio,0.0,
building_battery_health_capacity_fade_ratio,0.00616116537017426,
building_battery_health_equivalent_full_cycles_business_as_usual_count,98.69932026316722,
building_battery_health_equivalent_full_cycles_count,98.69932026316722,
building_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,0.0,
building_battery_ratio_to_business_as_usual_capacity_fade_ratio,1.0,
building_battery_ratio_to_business_as_usual_charge_ratio,1.0,
building_battery_ratio_to_business_as_usual_discharge_ratio,1.0,
building_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,1.0,
building_battery_ratio_to_business_as_usual_throughput_ratio,1.0,
building_battery_total_charge_business_as_usual_kwh,6277.648024260998,
building_battery_total_charge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_charge_kwh,6277.648024260998,
building_battery_total_discharge_business_as_usual_kwh,5566.270407319069,
building_battery_total_discharge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_discharge_kwh,5566.270407319069,
building_battery_total_throughput_business_as_usual_kwh,11843.918431580067,
building_battery_total_throughput_delta_to_business_as_usual_kwh,0.0,
building_battery_total_throughput_kwh,11843.918431580067,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,
building_comfort_resilience_discomfort_cold_ratio,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,
building_comfort_resilience_discomfort_hot_ratio,,
building_comfort_resilience_discomfort_overall_ratio,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0.0,
building_cost_community_market_counterfactual_daily_average_eur,0.0,
building_cost_community_market_counterfactual_total_eur,0.0,
building_cost_community_market_savings_daily_average_eur,0.0,
building_cost_community_market_savings_total_eur,0.0,
building_cost_community_market_settled_daily_average_eur,0.0,
building_cost_community_market_settled_total_eur,0.0,
building_cost_daily_average_baseline_eur,26.10391713525558,
building_cost_daily_average_business_as_usual_eur,24.692689482547433,
building_cost_daily_average_control_eur,24.692689482547433,
building_cost_daily_average_delta_eur,-1.411227652708146,
building_cost_daily_average_delta_to_business_as_usual_eur,0.0,
building_cost_ratio_to_baseline_total_ratio,0.9459380887015549,
building_cost_ratio_to_business_as_usual_total_ratio,1.0,
building_cost_total_baseline_eur,9527.657838564794,
building_cost_total_business_as_usual_eur,9012.57444561437,
building_cost_total_control_eur,9012.57444561437,
building_cost_total_delta_eur,-515.0833929504242,
building_cost_total_delta_to_business_as_usual_eur,0.0,
building_deferrable_appliance_ratio_to_business_as_usual_average_start_delay_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_completed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_missed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_served_energy_total_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_service_level_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_unserved_energy_total_ratio,1.0,
building_deferrable_appliance_service_average_start_delay_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_delta_to_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_hours,0.0,
building_deferrable_appliance_service_completed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_completed_cycles_count,0.0,
building_deferrable_appliance_service_completed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_count,0.0,
building_deferrable_appliance_service_missed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_served_energy_total_business_as_usual_kwh,0.0,
