Mes,Energia_kWh,Custo_EUR,Preco_medio
Jan,13868.891423940659,1286.2364604920149,0.09274255751052293
Fev,12611.262575268745,1174.5838071173057,0.09313768547018579
Mar,10764.690374076366,998.064722782247,0.09271652858551291
Abr,7318.16022926569,670.2953593144385,0.09159342489303442
Mai,4072.302847146988,367.9697015521246,0.09035911997800465
Jun,3609.779276639223,324.4801355871968,0.08988919009178155
Jul,3171.122938811779,283.03157545776077,0.08925279180876311
Ago,4058.124880760908,364.0546492072408,0.08971006558550748
Set,5389.669745862484,495.12073515003345,0.09186476324085077
Out,8212.527783751488,765.926858240815,0.09326322886312832
Nov,9883.02174204588,917.4127133946179,0.09282714713574076
Dez,14770.999081134796,1365.3977273185737,0.09243773693428974
