time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.75,0.23355750739574432,0.43474259972572327,-0.0,0.0,0.0,0,0
20,District,district,2.75,0.23355750739574432,0.43474259972572327,0.0,0.0,,0,0
21,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
21,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
22,Building_1,building,3.0,0.2547900080680847,0.4742646813392639,-0.0,0.0,0.0,0,0
22,District,district,3.0,0.2547900080680847,0.4742646813392639,0.0,0.0,,0,0
23,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
23,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
24,Building_1,building,3.5,0.29102498292922974,0.5667877793312073,-0.0,0.0,0.0,0,0
24,District,district,3.5,0.29102498292922974,0.5667877793312073,0.0,0.0,,0,0
25,Building_1,building,4.25,0.3533875048160553,0.6882423162460327,-0.0,0.0,0.0,0,0
25,District,district,4.25,0.3533875048160553,0.6882423162460327,0.0,0.0,,0,0
26,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
26,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
27,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
27,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
28,Building_1,building,5.5,0.4573249816894531,0.9039028286933899,-0.0,0.0,0.0,0,0
28,District,district,5.5,0.4573249816894531,0.9039028286933899,0.0,0.0,,0,0
29,Building_1,building,6.25,0.5196874737739563,1.0271623134613037,-0.0,0.0,0.0,0,0
29,District,district,6.25,0.5196874737739563,1.0271623134613037,0.0,0.0,,0,0
30,Building_1,building,7.75,0.6444125175476074,1.2736812829971313,-0.0,0.0,0.0,0,0
30,District,district,7.75,0.6444125175476074,1.2736812829971313,0.0,0.0,,0,0
31,Building_1,building,6.75,0.5612624883651733,1.1093353033065796,-0.0,0.0,0.0,0,0
31,District,district,6.75,0.5612624883651733,1.1093353033065796,0.0,0.0,,0,0
32,Building_1,building,6.0,0.49889999628067017,1.145988941192627,-0.0024999999441206455,0.0,0.0,0,0
32,District,district,6.0,0.49889999628067017,1.145988941192627,-0.0024999999441206455,0.0,,0,0
33,Building_1,building,6.5,0.5404750108718872,1.241487979888916,-0.04749999940395355,0.0,0.0,0,0
33,District,district,6.5,0.5404750108718872,1.241487979888916,-0.04749999940395355,0.0,,0,0
34,Building_1,building,5.5,0.4573249816894531,1.0504897832870483,-0.11500000208616257,0.0,0.0,0,0
34,District,district,5.5,0.4573249816894531,1.0504897832870483,-0.11500000208616257,0.0,,0,0
35,Building_1,building,5.25,0.436537504196167,1.0027402639389038,-0.2150000035762787,0.0,0.0,0,0
35,District,district,5.25,0.436537504196167,1.0027402639389038,-0.2150000035762787,0.0,,0,0
36,Building_1,building,3.7064404487609863,0.3081905245780945,0.7520325183868408,-0.4085594415664673,0.0,0.0,0,0
36,District,district,3.7064404487609863,0.3081905245780945,0.7520325183868408,-0.4085594415664673,0.0,,0,0
37,Building_1,building,2.9194447994232178,0.2427518367767334,0.592352032661438,-0.7555551528930664,0.0,0.0,0,0
37,District,district,2.9194447994232178,0.2427518367767334,0.592352032661438,-0.7555551528930664,0.0,,0,0
38,Building_1,building,2.865144729614258,0.23823678493499756,0.5813345909118652,-1.2648552656173706,0.0,0.0,0,0
38,District,district,2.865144729614258,0.23823678493499756,0.5813345909118652,-1.2648552656173706,0.0,,0,0
39,Building_1,building,3.34694504737854,0.2782984673976898,0.6790913343429565,-1.4355547428131104,0.0,0.0,0,0
39,District,district,3.34694504737854,0.2782984673976898,0.6790913343429565,-1.4355547428131104,0.0,,0,0
40,Building_1,building,4.821346282958984,0.4008949398994446,1.0263280868530273,-2.0136537551879883,0.0,0.0,0,0
40,District,district,4.821346282958984,0.4008949398994446,1.0263280868530273,-2.0136537551879883,0.0,,0,0
41,Building_1,building,2.1998908519744873,0.1829209178686142,0.4682944715023041,-3.3826091289520264,0.0,0.0,0,0
41,District,district,2.1998908519744873,0.1829209178686142,0.4682944715023041,-3.3826091289520264,0.0,,0,0
42,Building_1,building,0.0,0.0,0.0,-4.16996431350708,0.3699643611907959,0.005660283844918013,0,0
42,District,district,0.0,0.0,0.0,-4.16996431350708,0.3699643611907959,,0,0
43,Building_1,building,0.0,0.0,0.0,-4.586960315704346,0.6569602489471436,0.0157464612275362,0,0
43,District,district,0.0,0.0,0.0,-4.586960315704346,0.6569602489471436,,0,0
44,Building_1,building,0.8616089820861816,0.07164278626441956,0.19447368383407593,-4.780890941619873,0.0,0.015746068209409714,0,0
44,District,district,0.8616089820861816,0.07164278626441956,0.19447368383407593,-4.780890941619873,0.0,,0,0
45,Building_1,building,3.8543143272399902,0.32048624753952026,0.8699569702148438,-4.870686054229736,0.0,0.015745675191283226,0,0
45,District,district,3.8543143272399902,0.32048624753952026,0.8699569702148438,-4.870686054229736,0.0,,0,0
46,Building_1,building,0.33574581146240234,0.02791726402938366,0.07578115910291672,-5.099254131317139,0.0,0.01574528217315674,0,0
46,District,district,0.33574581146240234,0.02791726402938366,0.07578115910291672,-5.099254131317139,0.0,,0,0
47,Building_1,building,0.0,0.0,0.0,-5.221701622009277,0.674201488494873,0.02609807439148426,0,0
47,District,district,0.0,0.0,0.0,-5.221701622009277,0.674201488494873,,0,0
48,Building_1,building,0.0,0.0,0.0,-5.44335412979126,1.2183542251586914,0.044929616153240204,0,0
48,District,district,0.0,0.0,0.0,-5.44335412979126,1.2183542251586914,,0,0
49,Building_1,building,0.0,0.0,0.0,-5.473443031311035,0.9709429740905762,0.05989198759198189,0,0
49,District,district,0.0,0.0,0.0,-5.473443031311035,0.9709429740905762,,0,0
50,Building_1,building,1.5175247192382812,0.1261821836233139,0.35602328181266785,-5.607475280761719,0.0,0.059890490025281906,0,0
50,District,district,1.5175247192382812,0.1261821836233139,0.35602328181266785,-5.607475280761719,0.0,,0,0
51,Building_1,building,0.0,0.0,0.0,-5.6922712326049805,1.2397713661193848,0.07905714213848114,0,0
51,District,district,0.0,0.0,0.0,-5.6922712326049805,1.2397713661193848,,0,0
52,Building_1,building,0.0,0.0,0.0,-5.447340965270996,0.9623408317565918,0.09388455748558044,0,0
52,District,district,0.0,0.0,0.0,-5.447340965270996,0.9623408317565918,,0,0
53,Building_1,building,0.0,0.0,0.0,-5.586666107177734,1.224165916442871,0.1128055527806282,0,0
53,District,district,0.0,0.0,0.0,-5.586666107177734,1.224165916442871,,0,0
54,Building_1,building,0.0,0.0,0.0,-5.51017427444458,0.21767425537109375,0.11612685024738312,0,0
54,District,district,0.0,0.0,0.0,-5.51017427444458,0.21767425537109375,,0,0
55,Building_1,building,0.0,0.0,0.0,-3.974865198135376,0.08736515045166016,0.11745597422122955,0,0
55,District,district,0.0,0.0,0.0,-3.974865198135376,0.08736515045166016,,0,0
56,Building_1,building,0.0,0.0,0.0,-5.406301498413086,0.43880128860473633,0.12417212873697281,0,0
56,District,district,0.0,0.0,0.0,-5.406301498413086,0.43880128860473633,,0,0
57,Building_1,building,0.0,0.0,0.0,-4.892063140869141,0.6470632553100586,0.13410219550132751,0,0
57,District,district,0.0,0.0,0.0,-4.892063140869141,0.6470632553100586,,0,0
58,Building_1,building,0.0,0.0,0.0,-4.592771053314209,0.3727712631225586,0.1398022621870041,0,0
58,District,district,0.0,0.0,0.0,-4.592771053314209,0.3727712631225586,,0,0
59,Building_1,building,0.3973245620727539,0.03303753584623337,0.0962476059794426,-4.345175266265869,0.0,0.13979876041412354,0,0
59,District,district,0.3973245620727539,0.03303753584623337,0.0962476059794426,-4.345175266265869,0.0,,0,0
60,Building_1,building,0.14070510864257812,0.011699629947543144,0.03414635732769966,-4.039294719696045,0.0,0.13979525864124298,0,0
60,District,district,0.14070510864257812,0.011699629947543144,0.03414635732769966,-4.039294719696045,0.0,,0,0
61,Building_1,building,0.6665782928466797,0.0554259829223156,0.16176541149616241,-3.7484216690063477,0.0,0.13979175686836243,0,0
61,District,district,0.6665782928466797,0.0554259829223156,0.16176541149616241,-3.7484216690063477,0.0,,0,0
62,Building_1,building,1.7415127754211426,0.14480678737163544,0.42263084650039673,-2.90598726272583,0.0,0.13978825509548187,0,0
62,District,district,1.7415127754211426,0.14480678737163544,0.42263084650039673,-2.90598726272583,0.0,,0,0
63,Building_1,building,5.101839542388916,0.42421796917915344,1.238115906715393,-1.6656602621078491,0.0,0.13978475332260132,0,0
63,District,district,5.101839542388916,0.42421796917915344,1.238115906715393,-1.6656602621078491,0.0,,0,0
64,Building_1,building,5.571027755737305,0.4632309675216675,1.3662927150726318,-1.6914721727371216,0.0,0.13978125154972076,0,0
64,District,district,5.571027755737305,0.4632309675216675,1.3662927150726318,-1.6914721727371216,0.0,,0,0
65,Building_1,building,3.8597803115844727,0.3209407329559326,0.9466098546981812,-1.3252195119857788,0.0,0.1397777497768402,0,0
65,District,district,3.8597803115844727,0.3209407329559326,0.9466098546981812,-1.3252195119857788,0.0,,0,0
