time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.75,0.23355750739574432,0.43474259972572327,-0.0,0.0,0.0,0,0
20,District,district,2.75,0.23355750739574432,0.43474259972572327,0.0,0.0,,0,0
21,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
21,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
22,Building_1,building,3.0,0.2547900080680847,0.4742646813392639,-0.0,0.0,0.0,0,0
22,District,district,3.0,0.2547900080680847,0.4742646813392639,0.0,0.0,,0,0
23,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
23,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
24,Building_1,building,3.5,0.29102498292922974,0.5667877793312073,-0.0,0.0,0.0,0,0
24,District,district,3.5,0.29102498292922974,0.5667877793312073,0.0,0.0,,0,0
25,Building_1,building,4.25,0.3533875048160553,0.6882423162460327,-0.0,0.0,0.0,0,0
25,District,district,4.25,0.3533875048160553,0.6882423162460327,0.0,0.0,,0,0
26,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
26,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
27,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
27,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
28,Building_1,building,5.5,0.4573249816894531,0.9039028286933899,-0.0,0.0,0.0,0,0
28,District,district,5.5,0.4573249816894531,0.9039028286933899,0.0,0.0,,0,0
29,Building_1,building,6.25,0.5196874737739563,1.0271623134613037,-0.0,0.0,0.0,0,0
29,District,district,6.25,0.5196874737739563,1.0271623134613037,0.0,0.0,,0,0
30,Building_1,building,7.75,0.6444125175476074,1.2736812829971313,-0.0,0.0,0.0,0,0
30,District,district,7.75,0.6444125175476074,1.2736812829971313,0.0,0.0,,0,0
31,Building_1,building,6.75,0.5612624883651733,1.1093353033065796,-0.0,0.0,0.0,0,0
31,District,district,6.75,0.5612624883651733,1.1093353033065796,0.0,0.0,,0,0
32,Building_1,building,6.001250267028809,0.49900394678115845,1.1462277173995972,-0.0012499999720603228,0.0,0.0,0,0
32,District,district,6.001250267028809,0.49900394678115845,1.1462277173995972,-0.0012499999720603228,0.0,,0,0
33,Building_1,building,6.523750305175781,0.5424498319625854,1.246024250984192,-0.023749999701976776,0.0,0.0,0,0
33,District,district,6.523750305175781,0.5424498319625854,1.246024250984192,-0.023749999701976776,0.0,,0,0
34,Building_1,building,5.557499885559082,0.4621061086654663,1.0614721775054932,-0.057500001043081284,0.0,0.0,0,0
34,District,district,5.557499885559082,0.4621061086654663,1.0614721775054932,-0.057500001043081284,0.0,,0,0
35,Building_1,building,5.357500076293945,0.44547611474990845,1.0232726335525513,-0.10750000178813934,0.0,0.0,0,0
35,District,district,5.357500076293945,0.44547611474990845,1.0232726335525513,-0.10750000178813934,0.0,,0,0
36,Building_1,building,3.823601245880127,0.3179324269294739,0.775804340839386,-0.2913986146450043,0.0,0.0,0,0
36,District,district,3.823601245880127,0.3179324269294739,0.775804340839386,-0.2913986146450043,0.0,,0,0
37,Building_1,building,3.1361122131347656,0.26076772809028625,0.6363136172294617,-0.5388878583908081,0.0,0.0,0,0
37,District,district,3.1361122131347656,0.26076772809028625,0.6363136172294617,-0.5388878583908081,0.0,,0,0
38,Building_1,building,3.2278618812561035,0.2683967053890228,0.654929518699646,-0.9021381735801697,0.0,0.0,0,0
38,District,district,3.2278618812561035,0.2683967053890228,0.654929518699646,-0.9021381735801697,0.0,,0,0
39,Building_1,building,3.758612871170044,0.31252866983413696,0.7626182436943054,-1.0238869190216064,0.0,0.0,0,0
39,District,district,3.758612871170044,0.31252866983413696,0.7626182436943054,-1.0238869190216064,0.0,,0,0
40,Building_1,building,5.470865726470947,0.4549024701118469,1.1645923852920532,-1.3641343116760254,0.0,0.0,0,0
40,District,district,5.470865726470947,0.4549024701118469,1.1645923852920532,-1.3641343116760254,0.0,,0,0
41,Building_1,building,3.2909774780273438,0.2736447751522064,0.7005559206008911,-2.29152250289917,0.0,0.0,0,0
41,District,district,3.2909774780273438,0.2736447751522064,0.7005559206008911,-2.29152250289917,0.0,,0,0
42,Building_1,building,0.9750897884368896,0.08107871562242508,0.20756900310516357,-2.8249101638793945,0.0,0.0,0,0
42,District,district,0.9750897884368896,0.08107871562242508,0.20756900310516357,-2.8249101638793945,0.0,,0,0
43,Building_1,building,0.8225986957550049,0.06839907914400101,0.17510797083377838,-3.1074013710021973,0.0,0.0,0,0
43,District,district,0.8225986957550049,0.06839907914400101,0.17510797083377838,-3.1074013710021973,0.0,,0,0
44,Building_1,building,2.4752721786499023,0.20581887662410736,0.5586934685707092,-3.1672277450561523,0.0,0.0,0,0
44,District,district,2.4752721786499023,0.20581887662410736,0.5586934685707092,-3.1672277450561523,0.0,,0,0
45,Building_1,building,5.49828577041626,0.45718246698379517,1.2410175800323486,-3.226714611053467,0.0,0.0,0,0
45,District,district,5.49828577041626,0.45718246698379517,1.2410175800323486,-3.226714611053467,0.0,,0,0
46,Building_1,building,2.056864023208618,0.1710282415151596,0.46425461769104004,-3.378135919570923,0.0,0.0,0,0
46,District,district,2.056864023208618,0.1710282415151596,0.46425461769104004,-3.378135919570923,0.0,,0,0
47,Building_1,building,1.0882458686828613,0.09048764407634735,0.24562788009643555,-3.459254264831543,0.0,0.0,0,0
47,District,district,1.0882458686828613,0.09048764407634735,0.24562788009643555,-3.459254264831543,0.0,,0,0
48,Building_1,building,0.5666146278381348,0.04711400717496872,0.13293226063251495,-3.6583852767944336,0.0,0.0,0,0
48,District,district,0.5666146278381348,0.04711400717496872,0.13293226063251495,-3.6583852767944336,0.0,,0,0
49,Building_1,building,0.8238925933837891,0.06850666552782059,0.19329170882701874,-3.67860746383667,0.0,0.0,0,0
49,District,district,0.8238925933837891,0.06850666552782059,0.19329170882701874,-3.67860746383667,0.0,,0,0
50,Building_1,building,3.356311798095703,0.27907732129096985,0.7874172329902649,-3.768688201904297,0.0,0.0,0,0
50,District,district,3.356311798095703,0.27907732129096985,0.7874172329902649,-3.768688201904297,0.0,,0,0
51,Building_1,building,0.626821756362915,0.05212022736668587,0.14705732464790344,-3.8256781101226807,0.0,0.0,0,0
51,District,district,0.626821756362915,0.05212022736668587,0.14705732464790344,-3.8256781101226807,0.0,,0,0
52,Building_1,building,0.8366472721099854,0.06956721842288971,0.20318874716758728,-3.648352861404419,0.0,0.0,0,0
52,District,district,0.8366472721099854,0.06956721842288971,0.20318874716758728,-3.648352861404419,0.0,,0,0
53,Building_1,building,0.6208343505859375,0.05162237584590912,0.15077626705169678,-3.741665840148926,0.0,0.0,0,0
53,District,district,0.6208343505859375,0.05162237584590912,0.15077626705169678,-3.741665840148926,0.0,,0,0
54,Building_1,building,1.602064847946167,0.13321168720722198,0.3890785872936249,-3.6904351711273193,0.0,0.0,0,0
54,District,district,1.602064847946167,0.13321168720722198,0.3890785872936249,-3.6904351711273193,0.0,,0,0
55,Building_1,building,1.2253367900848389,0.10188675671815872,0.2975861430168152,-2.662163257598877,0.0,0.0,0,0
55,District,district,1.2253367900848389,0.10188675671815872,0.2975861430168152,-2.662163257598877,0.0,,0,0
56,Building_1,building,1.386747121810913,0.11530802398920059,0.33592459559440613,-3.5807530879974365,0.0,0.0,0,0
56,District,district,1.386747121810913,0.11530802398920059,0.33592459559440613,-3.5807530879974365,0.0,,0,0
57,Building_1,building,1.0048418045043945,0.08355259895324707,0.24341212213039398,-3.2401580810546875,0.0,0.0,0,0
57,District,district,1.0048418045043945,0.08355259895324707,0.24341212213039398,-3.2401580810546875,0.0,,0,0
58,Building_1,building,1.1780714988708496,0.09795664250850677,0.2853751480579376,-3.041928291320801,0.0,0.0,0,0
58,District,district,1.1780714988708496,0.09795664250850677,0.2853751480579376,-3.041928291320801,0.0,,0,0
59,Building_1,building,1.8645617961883545,0.15503831207752228,0.4516700506210327,-2.8779380321502686,0.0,0.0,0,0
59,District,district,1.8645617961883545,0.15503831207752228,0.4516700506210327,-2.8779380321502686,0.0,,0,0
60,Building_1,building,1.441763162612915,0.11988260596990585,0.34988752007484436,-2.738236665725708,0.0,0.0,0,0
60,District,district,1.441763162612915,0.11988260596990585,0.34988752007484436,-2.738236665725708,0.0,,0,0
61,Building_1,building,1.873945951461792,0.1558186113834381,0.4547697603702545,-2.5410540103912354,0.0,0.0,0,0
61,District,district,1.873945951461792,0.1558186113834381,0.4547697603702545,-2.5410540103912354,0.0,,0,0
62,Building_1,building,2.677532196044922,0.22263680398464203,0.6497843265533447,-1.9699678421020508,0.0,0.0,0,0
62,District,district,2.677532196044922,0.22263680398464203,0.6497843265533447,-1.9699678421020508,0.0,,0,0
63,Building_1,building,5.638349533081055,0.4688287675380707,1.3683162927627563,-1.129150629043579,0.0,0.0,0,0
63,District,district,5.638349533081055,0.4688287675380707,1.3683162927627563,-1.129150629043579,0.0,,0,0
64,Building_1,building,6.05881929397583,0.5037907958030701,1.485923409461975,-1.2036805152893066,0.0,0.0,0,0
