KPI,Building_1,District
building_battery_health_capacity_fade_business_as_usual_ratio,0.006734210871634853,
building_battery_health_capacity_fade_delta_to_business_as_usual_ratio,0.0,
building_battery_health_capacity_fade_ratio,0.006734210871634853,
building_battery_health_equivalent_full_cycles_business_as_usual_count,107.84826640735069,
building_battery_health_equivalent_full_cycles_count,107.84826640735069,
building_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,0.0,
building_battery_ratio_to_business_as_usual_capacity_fade_ratio,1.0,
building_battery_ratio_to_business_as_usual_charge_ratio,1.0,
building_battery_ratio_to_business_as_usual_discharge_ratio,1.0,
building_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,1.0,
building_battery_ratio_to_business_as_usual_throughput_ratio,1.0,
building_battery_total_charge_business_as_usual_kwh,6857.408422887325,
building_battery_total_charge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_charge_kwh,6857.408422887325,
building_battery_total_discharge_business_as_usual_kwh,6084.383545994759,
building_battery_total_discharge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_discharge_kwh,6084.383545994759,
building_battery_total_throughput_business_as_usual_kwh,12941.791968882084,
building_battery_total_throughput_delta_to_business_as_usual_kwh,0.0,
building_battery_total_throughput_kwh,12941.791968882084,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,
building_comfort_resilience_discomfort_cold_ratio,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,
building_comfort_resilience_discomfort_hot_ratio,,
building_comfort_resilience_discomfort_overall_ratio,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0.0,
building_cost_community_market_counterfactual_daily_average_eur,0.0,
building_cost_community_market_counterfactual_total_eur,0.0,
building_cost_community_market_savings_daily_average_eur,0.0,
building_cost_community_market_savings_total_eur,0.0,
building_cost_community_market_settled_daily_average_eur,0.0,
building_cost_community_market_settled_total_eur,0.0,
building_cost_daily_average_baseline_eur,25.477558400143383,
building_cost_daily_average_business_as_usual_eur,23.935564955225,
building_cost_daily_average_control_eur,23.935564955225,
building_cost_daily_average_delta_eur,-1.541993444918382,
building_cost_daily_average_delta_to_business_as_usual_eur,0.0,
building_cost_ratio_to_baseline_total_ratio,0.9394764042652649,
building_cost_ratio_to_business_as_usual_total_ratio,1.0,
building_cost_total_baseline_eur,9299.043424819,
building_cost_total_business_as_usual_eur,8736.231879855508,
building_cost_total_control_eur,8736.231879855508,
building_cost_total_delta_eur,-562.8115449634915,
building_cost_total_delta_to_business_as_usual_eur,0.0,
building_deferrable_appliance_ratio_to_business_as_usual_average_start_delay_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_completed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_missed_cycles_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_served_energy_total_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_service_level_ratio,1.0,
building_deferrable_appliance_ratio_to_business_as_usual_unserved_energy_total_ratio,1.0,
building_deferrable_appliance_service_average_start_delay_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_delta_to_business_as_usual_hours,0.0,
building_deferrable_appliance_service_average_start_delay_hours,0.0,
building_deferrable_appliance_service_completed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_completed_cycles_count,0.0,
building_deferrable_appliance_service_completed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_business_as_usual_count,0.0,
building_deferrable_appliance_service_missed_cycles_count,0.0,
building_deferrable_appliance_service_missed_cycles_delta_to_business_as_usual_count,0.0,
building_deferrable_appliance_service_served_energy_total_business_as_usual_kwh,0.0,
building_deferrable_appliance_service_served_energy_total_delta_to_business_as_usual_kwh,0.0,
