time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.75,0.23355750739574432,0.43474259972572327,-0.0,0.0,0.0,0,0
20,District,district,2.75,0.23355750739574432,0.43474259972572327,0.0,0.0,,0,0
21,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
21,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
22,Building_1,building,3.0,0.2547900080680847,0.4742646813392639,-0.0,0.0,0.0,0,0
22,District,district,3.0,0.2547900080680847,0.4742646813392639,0.0,0.0,,0,0
23,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
23,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
24,Building_1,building,3.5,0.29102498292922974,0.5667877793312073,-0.0,0.0,0.0,0,0
24,District,district,3.5,0.29102498292922974,0.5667877793312073,0.0,0.0,,0,0
25,Building_1,building,4.25,0.3533875048160553,0.6882423162460327,-0.0,0.0,0.0,0,0
25,District,district,4.25,0.3533875048160553,0.6882423162460327,0.0,0.0,,0,0
26,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
26,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
27,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
27,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
28,Building_1,building,5.5,0.4573249816894531,0.9039028286933899,-0.0,0.0,0.0,0,0
28,District,district,5.5,0.4573249816894531,0.9039028286933899,0.0,0.0,,0,0
29,Building_1,building,6.25,0.5196874737739563,1.0271623134613037,-0.0,0.0,0.0,0,0
29,District,district,6.25,0.5196874737739563,1.0271623134613037,0.0,0.0,,0,0
30,Building_1,building,7.75,0.6444125175476074,1.2736812829971313,-0.0,0.0,0.0,0,0
30,District,district,7.75,0.6444125175476074,1.2736812829971313,0.0,0.0,,0,0
31,Building_1,building,6.75,0.5612624883651733,1.1093353033065796,-0.0,0.0,0.0,0,0
31,District,district,6.75,0.5612624883651733,1.1093353033065796,0.0,0.0,,0,0
32,Building_1,building,6.00166654586792,0.49903857707977295,1.1463072299957275,-0.0008333333535119891,0.0,0.0,0,0
32,District,district,6.00166654586792,0.49903857707977295,1.1463072299957275,-0.0008333333535119891,0.0,,0,0
33,Building_1,building,6.5316667556762695,0.5431081056594849,1.247536301612854,-0.015833333134651184,0.0,0.0,0,0
33,District,district,6.5316667556762695,0.5431081056594849,1.247536301612854,-0.015833333134651184,0.0,,0,0
34,Building_1,building,5.576666355133057,0.4636998176574707,1.065132975578308,-0.038333334028720856,0.0,0.0,0,0
34,District,district,5.576666355133057,0.4636998176574707,1.065132975578308,-0.038333334028720856,0.0,,0,0
35,Building_1,building,5.393333435058594,0.44845566153526306,1.0301166772842407,-0.0716666653752327,0.0,0.0,0,0
35,District,district,5.393333435058594,0.44845566153526306,1.0301166772842407,-0.0716666653752327,0.0,,0,0
36,Building_1,building,3.848134994506836,0.319972425699234,0.7807822227478027,-0.2668648362159729,0.0,0.0,0,0
36,District,district,3.848134994506836,0.319972425699234,0.7807822227478027,-0.2668648362159729,0.0,,0,0
37,Building_1,building,3.1814827919006348,0.26454028487205505,0.6455192565917969,-0.4935171604156494,0.0,0.0,0,0
37,District,district,3.1814827919006348,0.26454028487205505,0.6455192565917969,-0.4935171604156494,0.0,,0,0
38,Building_1,building,3.3038158416748047,0.27471229434013367,0.6703404784202576,-0.8261842727661133,0.0,0.0,0,0
38,District,district,3.3038158416748047,0.27471229434013367,0.6703404784202576,-0.8261842727661133,0.0,,0,0
39,Building_1,building,3.8448171615600586,0.3196965456008911,0.7801090478897095,-0.937682569026947,0.0,0.0,0,0
39,District,district,3.8448171615600586,0.3196965456008911,0.7801090478897095,-0.937682569026947,0.0,,0,0
40,Building_1,building,5.62782096862793,0.46795332431793213,1.1980037689208984,-1.207179069519043,0.0,0.0,0,0
40,District,district,5.62782096862793,0.46795332431793213,1.1980037689208984,-1.207179069519043,0.0,,0,0
41,Building_1,building,3.5546364784240723,0.2955680191516876,0.7566814422607422,-2.0278635025024414,0.0,0.0,0,0
41,District,district,3.5546364784240723,0.2955680191516876,0.7566814422607422,-2.0278635025024414,0.0,,0,0
42,Building_1,building,1.3001196384429932,0.10810494422912598,0.27675867080688477,-2.499880313873291,0.0,0.0,0,0
42,District,district,1.3001196384429932,0.10810494422912598,0.27675867080688477,-2.499880313873291,0.0,,0,0
43,Building_1,building,1.1801316738128662,0.09812794625759125,0.2512166202068329,-2.749868392944336,0.0,0.0,0,0
43,District,district,1.1801316738128662,0.09812794625759125,0.2512166202068329,-2.749868392944336,0.0,,0,0
44,Building_1,building,2.8836963176727295,0.23977935314178467,0.6508788466453552,-2.758803606033325,0.0,0.0,0,0
44,District,district,2.8836963176727295,0.23977935314178467,0.6508788466453552,-2.758803606033325,0.0,,0,0
45,Building_1,building,5.91438102722168,0.4917807877063751,1.3349344730377197,-2.810619354248047,0.0,0.0,0,0
45,District,district,5.91438102722168,0.4917807877063751,1.3349344730377197,-2.810619354248047,0.0,,0,0
46,Building_1,building,2.492485523223877,0.20725016295909882,0.5625786781311035,-2.942514419555664,0.0,0.0,0,0
46,District,district,2.492485523223877,0.20725016295909882,0.5625786781311035,-2.942514419555664,0.0,,0,0
47,Building_1,building,1.534327745437622,0.12757934629917145,0.3463129997253418,-3.0131723880767822,0.0,0.0,0,0
47,District,district,1.534327745437622,0.12757934629917145,0.3463129997253418,-3.0131723880767822,0.0,,0,0
48,Building_1,building,1.005486249923706,0.08360618352890015,0.23589500784873962,-3.2195136547088623,0.0,0.0,0,0
48,District,district,1.005486249923706,0.08360618352890015,0.23589500784873962,-3.2195136547088623,0.0,,0,0
49,Building_1,building,1.2651901245117188,0.10520055890083313,0.2968235909938812,-3.2373099327087402,0.0,0.0,0,0
49,District,district,1.2651901245117188,0.10520055890083313,0.2968235909938812,-3.2373099327087402,0.0,,0,0
50,Building_1,building,3.808415651321411,0.316669762134552,0.893484354019165,-3.316584348678589,0.0,0.0,0,0
50,District,district,3.808415651321411,0.316669762134552,0.893484354019165,-3.316584348678589,0.0,,0,0
51,Building_1,building,1.0857622623443604,0.09028112888336182,0.25472840666770935,-3.3667376041412354,0.0,0.0,0,0
51,District,district,1.0857622623443604,0.09028112888336182,0.25472840666770935,-3.3667376041412354,0.0,,0,0
52,Building_1,building,1.2821965217590332,0.10661464184522629,0.31139513850212097,-3.202803611755371,0.0,0.0,0,0
52,District,district,1.2821965217590332,0.10661464184522629,0.31139513850212097,-3.202803611755371,0.0,,0,0
53,Building_1,building,1.0777792930603027,0.08961734920740128,0.2617502510547638,-3.2847208976745605,0.0,0.0,0,0
53,District,district,1.0777792930603027,0.08961734920740128,0.2617502510547638,-3.2847208976745605,0.0,,0,0
54,Building_1,building,2.052753210067749,0.17068642377853394,0.49853309988975525,-3.2397468090057373,0.0,0.0,0,0
54,District,district,2.052753210067749,0.17068642377853394,0.49853309988975525,-3.2397468090057373,0.0,,0,0
55,Building_1,building,1.5504491329193115,0.1289198398590088,0.37654316425323486,-2.3370509147644043,0.0,0.0,0,0
55,District,district,1.5504491329193115,0.1289198398590088,0.37654316425323486,-2.3370509147644043,0.0,,0,0
56,Building_1,building,1.8489959239959717,0.15374401211738586,0.44789940118789673,-3.118504285812378,0.0,0.0,0,0
56,District,district,1.8489959239959717,0.15374401211738586,0.44789940118789673,-3.118504285812378,0.0,,0,0
57,Building_1,building,1.4231224060058594,0.1183326244354248,0.34473609924316406,-2.8218774795532227,0.0,0.0,0,0
57,District,district,1.4231224060058594,0.1183326244354248,0.34473609924316406,-2.8218774795532227,0.0,,0,0
58,Building_1,building,1.5707621574401855,0.13060887157917023,0.38050025701522827,-2.649237632751465,0.0,0.0,0,0
58,District,district,1.5707621574401855,0.13060887157917023,0.38050025701522827,-2.649237632751465,0.0,,0,0
59,Building_1,building,2.2360825538635254,0.1859302669763565,0.5416669845581055,-2.5064172744750977,0.0,0.0,0,0
59,District,district,2.2360825538635254,0.1859302669763565,0.5416669845581055,-2.5064172744750977,0.0,,0,0
60,Building_1,building,1.7556841373443604,0.14598514139652252,0.4260699450969696,-2.4243156909942627,0.0,0.0,0,0
60,District,district,1.7556841373443604,0.14598514139652252,0.4260699450969696,-2.4243156909942627,0.0,,0,0
61,Building_1,building,2.1652615070343018,0.18004149198532104,0.5254663228988647,-2.2497384548187256,0.0,0.0,0,0
61,District,district,2.1652615070343018,0.18004149198532104,0.5254663228988647,-2.2497384548187256,0.0,,0,0
62,Building_1,building,2.9033761024475098,0.24141572415828705,0.7045921683311462,-1.7441238164901733,0.0,0.0,0,0
62,District,district,2.9033761024475098,0.24141572415828705,0.7045921683311462,-1.7441238164901733,0.0,,0,0
63,Building_1,building,5.767798900604248,0.4795924723148346,1.399731159210205,-0.9997008442878723,0.0,0.0,0,0
63,District,district,5.767798900604248,0.4795924723148346,1.399731159210205,-0.9997008442878723,0.0,,0,0
64,Building_1,building,6.161758899688721,0.5123502612113953,1.5111693143844604,-1.1007407903671265,0.0,0.0,0,0
