KPI,Building_1,District
building_battery_health_capacity_fade_business_as_usual_ratio,0.006617251083335773,
building_battery_health_capacity_fade_delta_to_business_as_usual_ratio,0.0,
building_battery_health_capacity_fade_ratio,0.006617251083335773,
building_battery_health_equivalent_full_cycles_business_as_usual_count,105.98137540469567,
building_battery_health_equivalent_full_cycles_count,105.98137540469567,
building_battery_health_equivalent_full_cycles_delta_to_business_as_usual_count,0.0,
building_battery_ratio_to_business_as_usual_capacity_fade_ratio,1.0,
building_battery_ratio_to_business_as_usual_charge_ratio,1.0,
building_battery_ratio_to_business_as_usual_discharge_ratio,1.0,
building_battery_ratio_to_business_as_usual_equivalent_full_cycles_ratio,1.0,
building_battery_ratio_to_business_as_usual_throughput_ratio,1.0,
building_battery_total_charge_business_as_usual_kwh,6739.93119519949,
building_battery_total_charge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_charge_kwh,6739.93119519949,
building_battery_total_discharge_business_as_usual_kwh,5977.833853363991,
building_battery_total_discharge_delta_to_business_as_usual_kwh,0.0,
building_battery_total_discharge_kwh,5977.833853363991,
building_battery_total_throughput_business_as_usual_kwh,12717.76504856348,
building_battery_total_throughput_delta_to_business_as_usual_kwh,0.0,
building_battery_total_throughput_kwh,12717.76504856348,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,
building_comfort_resilience_discomfort_cold_ratio,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,
building_comfort_resilience_discomfort_hot_ratio,,
building_comfort_resilience_discomfort_overall_ratio,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0.0,
building_cost_community_market_counterfactual_daily_average_eur,0.0,
building_cost_community_market_counterfactual_total_eur,0.0,
building_cost_community_market_savings_daily_average_eur,0.0,
building_cost_community_market_savings_total_eur,0.0,
building_cost_community_market_settled_daily_average_eur,0.0,
building_cost_community_market_settled_total_eur,0.0,
building_cost_daily_average_baseline_eur,25.647356538349516,
building_cost_daily_average_business_as_usual_eur,24.132285509636493,
building_cost_daily_average_control_eur,24.132285509636493,
building_cost_daily_average_delta_eur,-1.5150710287130262,
building_cost_daily_average_delta_to_business_as_usual_eur,0.0,
building_cost_ratio_to_baseline_total_ratio,0.9409268153445912,
building_cost_ratio_to_business_as_usual_total_ratio,1.0,
building_cost_total_baseline_eur,9361.017976533632,
building_cost_total_business_as_usual_eur,8808.03283304326,
building_cost_total_control_eur,8808.03283304326,
building_cost_total_delta_eur,-552.9851434903721,
