time_step,name,level,net_electricity_consumption_kwh,net_electricity_consumption_cost,net_electricity_consumption_emission_kgco2,solar_generation_kwh,bess_electricity_consumption_kwh,bess_soc,ev_charger_electricity_consumption_kwh,deferrable_appliance_electricity_consumption_kwh
0,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
0,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
1,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
1,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
2,Building_1,building,3.0,0.24944999814033508,0.5121732354164124,-0.0,0.0,0.0,0,0
2,District,district,3.0,0.24944999814033508,0.5121732354164124,0.0,0.0,,0,0
3,Building_1,building,2.75,0.22866249084472656,0.469492107629776,-0.0,0.0,0.0,0,0
3,District,district,2.75,0.22866249084472656,0.469492107629776,0.0,0.0,,0,0
4,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
4,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
5,Building_1,building,3.0,0.24944999814033508,0.47195714712142944,-0.0,0.0,0.0,0,0
5,District,district,3.0,0.24944999814033508,0.47195714712142944,0.0,0.0,,0,0
6,Building_1,building,3.5,0.29102498292922974,0.5506166815757751,-0.0,0.0,0.0,0,0
6,District,district,3.5,0.29102498292922974,0.5506166815757751,0.0,0.0,,0,0
7,Building_1,building,4.0,0.3325999975204468,0.6292762160301208,-0.0,0.0,0.0,0,0
7,District,district,4.0,0.3325999975204468,0.6292762160301208,0.0,0.0,,0,0
8,Building_1,building,3.75,0.3184875249862671,0.5793845653533936,-0.0,0.0,0.0,0,0
8,District,district,3.75,0.3184875249862671,0.5793845653533936,0.0,0.0,,0,0
9,Building_1,building,4.0,0.3397200107574463,0.6180102229118347,-0.0,0.0,0.0,0,0
9,District,district,4.0,0.3397200107574463,0.6180102229118347,0.0,0.0,,0,0
10,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
10,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
11,Building_1,building,4.25,0.3609524965286255,0.6566358804702759,-0.0,0.0,0.0,0,0
11,District,district,4.25,0.3609524965286255,0.6566358804702759,0.0,0.0,,0,0
12,Building_1,building,5.0,0.42465001344680786,0.754724383354187,-0.0,0.0,0.0,0,0
12,District,district,5.0,0.42465001344680786,0.754724383354187,0.0,0.0,,0,0
13,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
13,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
14,Building_1,building,4.25,0.3609524965286255,0.6415157318115234,-0.0,0.0,0.0,0,0
14,District,district,4.25,0.3609524965286255,0.6415157318115234,0.0,0.0,,0,0
15,Building_1,building,3.75,0.3184875249862671,0.5660432577133179,-0.0,0.0,0.0,0,0
15,District,district,3.75,0.3184875249862671,0.5660432577133179,0.0,0.0,,0,0
16,Building_1,building,3.75,0.3184875249862671,0.5693244934082031,-0.0,0.0,0.0,0,0
16,District,district,3.75,0.3184875249862671,0.5693244934082031,0.0,0.0,,0,0
17,Building_1,building,3.25,0.2760224938392639,0.49341458082199097,-0.0,0.0,0.0,0,0
17,District,district,3.25,0.2760224938392639,0.49341458082199097,0.0,0.0,,0,0
18,Building_1,building,2.75,0.23355750739574432,0.4175046384334564,-0.0,0.0,0.0,0,0
18,District,district,2.75,0.23355750739574432,0.4175046384334564,0.0,0.0,,0,0
19,Building_1,building,3.0,0.2547900080680847,0.4554595947265625,-0.0,0.0,0.0,0,0
19,District,district,3.0,0.2547900080680847,0.4554595947265625,0.0,0.0,,0,0
20,Building_1,building,2.75,0.23355750739574432,0.43474259972572327,-0.0,0.0,0.0,0,0
20,District,district,2.75,0.23355750739574432,0.43474259972572327,0.0,0.0,,0,0
21,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
21,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
22,Building_1,building,3.0,0.2547900080680847,0.4742646813392639,-0.0,0.0,0.0,0,0
22,District,district,3.0,0.2547900080680847,0.4742646813392639,0.0,0.0,,0,0
23,Building_1,building,3.25,0.2760224938392639,0.5137867331504822,-0.0,0.0,0.0,0,0
23,District,district,3.25,0.2760224938392639,0.5137867331504822,0.0,0.0,,0,0
24,Building_1,building,3.5,0.29102498292922974,0.5667877793312073,-0.0,0.0,0.0,0,0
24,District,district,3.5,0.29102498292922974,0.5667877793312073,0.0,0.0,,0,0
25,Building_1,building,4.25,0.3533875048160553,0.6882423162460327,-0.0,0.0,0.0,0,0
25,District,district,4.25,0.3533875048160553,0.6882423162460327,0.0,0.0,,0,0
26,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
26,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
27,Building_1,building,5.25,0.436537504196167,0.8501816987991333,-0.0,0.0,0.0,0,0
27,District,district,5.25,0.436537504196167,0.8501816987991333,0.0,0.0,,0,0
28,Building_1,building,5.5,0.4573249816894531,0.9039028286933899,-0.0,0.0,0.0,0,0
28,District,district,5.5,0.4573249816894531,0.9039028286933899,0.0,0.0,,0,0
29,Building_1,building,6.25,0.5196874737739563,1.0271623134613037,-0.0,0.0,0.0,0,0
29,District,district,6.25,0.5196874737739563,1.0271623134613037,0.0,0.0,,0,0
30,Building_1,building,7.75,0.6444125175476074,1.2736812829971313,-0.0,0.0,0.0,0,0
30,District,district,7.75,0.6444125175476074,1.2736812829971313,0.0,0.0,,0,0
31,Building_1,building,6.75,0.5612624883651733,1.1093353033065796,-0.0,0.0,0.0,0,0
31,District,district,6.75,0.5612624883651733,1.1093353033065796,0.0,0.0,,0,0
32,Building_1,building,5.997499942779541,0.498692125082016,1.1455113887786865,-0.004999999888241291,0.0,0.0,0,0
32,District,district,5.997499942779541,0.498692125082016,1.1455113887786865,-0.004999999888241291,0.0,,0,0
33,Building_1,building,6.452500343322754,0.5365254282951355,1.2324156761169434,-0.0949999988079071,0.0,0.0,0,0
33,District,district,6.452500343322754,0.5365254282951355,1.2324156761169434,-0.0949999988079071,0.0,,0,0
34,Building_1,building,5.384999752044678,0.44776272773742676,1.0285249948501587,-0.23000000417232513,0.0,0.0,0,0
34,District,district,5.384999752044678,0.44776272773742676,1.0285249948501587,-0.23000000417232513,0.0,,0,0
35,Building_1,building,5.035000324249268,0.4186602830886841,0.961675763130188,-0.4300000071525574,0.0,0.0,0,0
35,District,district,5.035000324249268,0.4186602830886841,0.961675763130188,-0.4300000071525574,0.0,,0,0
36,Building_1,building,3.3849997520446777,0.28146272897720337,0.6868125796318054,-0.7300000190734863,0.0,0.0,0,0
36,District,district,3.3849997520446777,0.28146272897720337,0.6868125796318054,-0.7300000190734863,0.0,,0,0
37,Building_1,building,2.3249998092651367,0.19332373142242432,0.471739798784256,-1.350000023841858,0.0,0.0,0,0
37,District,district,2.3249998092651367,0.19332373142242432,0.471739798784256,-1.350000023841858,0.0,,0,0
38,Building_1,building,1.8700001239776611,0.15549050271511078,0.3794209063053131,-2.259999990463257,0.0,0.0,0,0
38,District,district,1.8700001239776611,0.15549050271511078,0.3794209063053131,-2.259999990463257,0.0,,0,0
39,Building_1,building,2.2174997329711914,0.18438510596752167,0.4499281644821167,-2.565000057220459,0.0,0.0,0,0
39,District,district,2.2174997329711914,0.18438510596752167,0.4499281644821167,-2.565000057220459,0.0,,0,0
40,Building_1,building,3.1649999618530273,0.2631697356700897,0.6737388968467712,-3.6700000762939453,0.0,0.0,0,0
40,District,district,3.1649999618530273,0.2631697356700897,0.6737388968467712,-3.6700000762939453,0.0,,0,0
41,Building_1,building,-0.5824999809265137,0.0,0.0,-6.164999961853027,0.0,0.0,0,0
41,District,district,-0.5824999809265137,0.0,0.0,-6.164999961853027,0.0,,0,0
42,Building_1,building,-3.799999952316284,0.0,0.0,-7.599999904632568,0.0,0.0,0,0
42,District,district,-3.799999952316284,0.0,0.0,-7.599999904632568,0.0,,0,0
43,Building_1,building,-4.429999351501465,0.0,0.0,-8.359999656677246,0.0,0.0,0,0
43,District,district,-4.429999351501465,0.0,0.0,-8.359999656677246,0.0,,0,0
44,Building_1,building,-3.1075000762939453,0.0,0.0,-8.75,0.0,0.0,0,0
44,District,district,-3.1075000762939453,0.0,0.0,-8.75,0.0,,0,0
45,Building_1,building,-0.024999618530273438,0.0,0.0,-8.75,0.0,0.0,0,0
45,District,district,-0.024999618530273438,0.0,0.0,-8.75,0.0,,0,0
46,Building_1,building,-3.315000057220459,0.0,0.0,-8.75,0.0,0.0,0,0
46,District,district,-3.315000057220459,0.0,0.0,-8.75,0.0,,0,0
47,Building_1,building,-4.202499866485596,0.0,0.0,-8.75,0.0,0.0,0,0
47,District,district,-4.202499866485596,0.0,0.0,-8.75,0.0,,0,0
48,Building_1,building,-4.525000095367432,0.0,0.0,-8.75,0.0,0.0,0,0
48,District,district,-4.525000095367432,0.0,0.0,-8.75,0.0,,0,0
49,Building_1,building,-4.247499942779541,0.0,0.0,-8.75,0.0,0.0,0,0
49,District,district,-4.247499942779541,0.0,0.0,-8.75,0.0,,0,0
50,Building_1,building,-1.625,0.0,0.0,-8.75,0.0,0.0,0,0
50,District,district,-1.625,0.0,0.0,-8.75,0.0,,0,0
51,Building_1,building,-4.297500133514404,0.0,0.0,-8.75,0.0,0.0,0,0
51,District,district,-4.297500133514404,0.0,0.0,-8.75,0.0,,0,0
52,Building_1,building,-4.264999866485596,0.0,0.0,-8.75,0.0,0.0,0,0
52,District,district,-4.264999866485596,0.0,0.0,-8.75,0.0,,0,0
53,Building_1,building,-4.387499809265137,0.0,0.0,-8.75,0.0,0.0,0,0
53,District,district,-4.387499809265137,0.0,0.0,-8.75,0.0,,0,0
54,Building_1,building,-3.4574999809265137,0.0,0.0,-8.75,0.0,0.0,0,0
54,District,district,-3.4574999809265137,0.0,0.0,-8.75,0.0,,0,0
55,Building_1,building,-3.387500047683716,0.0,0.0,-7.275000095367432,0.0,0.0,0,0
55,District,district,-3.387500047683716,0.0,0.0,-7.275000095367432,0.0,,0,0
56,Building_1,building,-3.7824997901916504,0.0,0.0,-8.75,0.0,0.0,0,0
56,District,district,-3.7824997901916504,0.0,0.0,-8.75,0.0,,0,0
57,Building_1,building,-4.505000114440918,0.0,0.0,-8.75,0.0,0.0,0,0
57,District,district,-4.505000114440918,0.0,0.0,-8.75,0.0,,0,0
58,Building_1,building,-4.21999979019165,0.0,0.0,-8.4399995803833,0.0,0.0,0,0
58,District,district,-4.21999979019165,0.0,0.0,-8.4399995803833,0.0,,0,0
59,Building_1,building,-3.2425003051757812,0.0,0.0,-7.985000133514404,0.0,0.0,0,0
59,District,district,-3.2425003051757812,0.0,0.0,-7.985000133514404,0.0,,0,0
60,Building_1,building,-3.1800003051757812,0.0,0.0,-7.360000133514404,0.0,0.0,0,0
60,District,district,-3.1800003051757812,0.0,0.0,-7.360000133514404,0.0,,0,0
61,Building_1,building,-2.4149999618530273,0.0,0.0,-6.829999923706055,0.0,0.0,0,0
61,District,district,-2.4149999618530273,0.0,0.0,-6.829999923706055,0.0,,0,0
62,Building_1,building,-0.6475000381469727,0.0,0.0,-5.295000076293945,0.0,0.0,0,0
62,District,district,-0.6475000381469727,0.0,0.0,-5.295000076293945,0.0,,0,0
63,Building_1,building,3.732499837875366,0.31035736203193665,0.9058041572570801,-3.0350000858306885,0.0,0.0,0,0
63,District,district,3.732499837875366,0.31035736203193665,0.9058041572570801,-3.0350000858306885,0.0,,0,0
64,Building_1,building,4.237499713897705,0.35234808921813965,1.039245367050171,-3.0250000953674316,0.0,0.0,0,0
64,District,district,4.237499713897705,0.35234808921813965,1.039245367050171,-3.0250000953674316,0.0,,0,0
65,Building_1,building,2.815000057220459,0.23406724631786346,0.6903778314590454,-2.369999885559082,0.0,0.0,0,0
65,District,district,2.815000057220459,0.23406724631786346,0.6903778314590454,-2.369999885559082,0.0,,0,0
66,Building_1,building,4.170000076293945,0.34673550724983215,1.0226911306381226,-1.159999966621399,0.0,0.0,0,0
66,District,district,4.170000076293945,0.34673550724983215,1.0226911306381226,-1.159999966621399,0.0,,0,0
67,Building_1,building,4.972500324249268,0.41346341371536255,1.2195041179656982,-0.5550000071525574,0.0,0.0,0,0
67,District,district,4.972500324249268,0.41346341371536255,1.2195041179656982,-0.5550000071525574,0.0,,0,0
68,Building_1,building,6.019999980926514,0.5005629658699036,1.481804609298706,-0.46000000834465027,0.0,0.0,0,0
68,District,district,6.019999980926514,0.5005629658699036,1.481804609298706,-0.46000000834465027,0.0,,0,0
69,Building_1,building,5.672499656677246,0.4716683328151703,1.3962684869766235,-0.1550000011920929,0.0,0.0,0,0
