electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08493
0.08315,0.08315,0.08493,0.08493
0.08315,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08315
0.08493,0.08493,0.08315,0.08315
0.08493,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08493
0.08315,0.08315,0.08493,0.08493
0.08315,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08315
0.08493,0.08493,0.08315,0.08315
0.08493,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.09718
0.08315,0.08315,0.09718,0.09718
0.08315,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.10146
0.09718,0.09718,0.10146,0.10146
0.09718,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.09718
0.10146,0.10146,0.09718,0.09718
0.10146,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.10146
0.09718,0.09718,0.10146,0.10146
0.09718,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.10146
0.10146,0.10146,0.10146,0.09718
0.10146,0.10146,0.09718,0.09718
0.10146,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.09718
0.09718,0.09718,0.09718,0.08315
0.09718,0.09718,0.08315,0.08315
0.09718,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08315
0.08315,0.08315,0.08315,0.08493
0.08315,0.08315,0.08493,0.08493
0.08315,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08493
0.08493,0.08493,0.08493,0.08315
