month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
1,1,1,0,22.770813,41.878365,0.27702704,0.38079444,0.0,2.733503,0.0,2.0,22.777779,22.777779,3
1,2,1,0,22.777157,41.897655,0.24602956,0.0,0.0,2.7836528,0.0,2.0,22.777779,22.777779,3
1,3,1,0,22.777723,41.93222,0.2450354,0.0,0.0,2.784321,0.0,2.0,22.777779,22.777779,3
1,4,1,0,22.777775,41.879635,0.24404125,0.0,0.0,2.8985689,0.0,2.0,22.777779,22.777779,3
1,5,1,0,22.777779,41.82084,0.2728818,0.0,0.0,2.930554,0.0,2.0,22.777779,22.777779,3
1,6,1,0,22.777779,41.691334,0.3300462,0.0,0.0,2.9553788,0.0,2.0,22.777779,22.777779,3
1,7,1,0,22.777779,41.674534,0.2450354,0.0,0.0,2.8918726,0.0,0.0,22.777779,22.777779,3
1,8,1,0,22.777779,41.32379,0.2470237,0.0,0.0,3.5274231,0.0,0.0,22.777779,22.777779,3
1,9,1,0,22.777779,41.394386,0.24801785,0.0,0.0,2.7735596,0.0,0.0,22.777779,22.777779,3
1,10,1,0,22.777779,41.47536,0.24801785,0.7615849,0.0,2.4810872,0.0,0.0,22.777779,22.777779,3
1,11,1,0,22.777779,41.468258,0.2470237,0.0,0.0,2.137082,0.0,0.0,22.777779,22.777779,3
1,12,1,0,22.777779,41.46087,0.2470237,0.0,0.0,1.5690786,0.0,0.0,22.777779,22.777779,3
1,13,1,0,22.777779,41.498493,0.3674077,0.0,0.0,0.9911144,0.0,1.0,22.777779,22.777779,3
1,14,1,0,22.777779,41.55914,0.36737716,0.0,0.0,0.69881,0.0,1.0,22.777779,22.777779,3
1,15,1,0,22.777779,41.642773,0.36414826,0.0,0.0,0.5792279,0.0,1.0,22.777779,22.777779,3
1,16,1,0,22.777779,41.781673,0.37394178,0.0,0.0,0.5154191,0.0,1.0,22.777779,22.777779,3
1,17,1,0,22.777779,41.86966,0.5372217,0.0,0.0,0.67553025,0.0,2.0,22.777779,22.777779,3
1,18,1,0,22.777779,41.96081,0.4325917,0.0,0.0,1.0442481,0.0,2.0,22.777779,22.777779,3
1,19,1,0,22.777779,42.060177,0.45924458,0.3807943,0.0,1.3728215,0.0,2.0,22.777779,22.777779,3
1,20,1,0,22.777779,42.125374,0.4524741,0.3807936,0.0,1.6391765,0.0,2.0,22.777779,22.777779,3
1,21,1,0,22.777779,42.171837,0.42714745,0.0,0.0,2.1966193,0.0,2.0,22.777779,22.777779,3
1,22,1,0,22.777779,42.17724,0.4275226,0.76158434,0.0,2.214212,0.0,2.0,22.777779,22.777779,3
1,23,1,0,22.777779,42.053272,0.25100031,0.0,0.0,2.7252831,0.0,2.0,22.777779,22.777779,3
1,24,1,0,22.701038,42.266834,0.24801785,0.0,0.0,2.853768,0.0,2.0,22.699074,22.699074,3
1,1,2,0,21.117487,46.550087,0.27702704,0.0,0.0,1.121001,0.0,2.0,21.11111,21.11111,3
1,2,2,0,21.111284,46.48461,0.24602956,0.0,0.0,1.5813808,0.0,2.0,21.11111,21.11111,3
1,3,2,0,21.111115,46.420647,0.2450354,0.0,0.0,2.0783672,0.0,2.0,21.11111,21.11111,3
1,4,2,0,21.11111,46.232697,0.24404125,0.0,0.0,2.3059523,0.0,2.0,21.11111,21.11111,3
