outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
12.29,70.62,0.0,0.0,11.55,20.03,10.13,77.82,49.59,66.85,0.0,238.64,0.0,0.0,112.96,0.0
12.21,77.62,0.0,0.0,12.37,20.67,7.75,73.79,47.13,78.26,34.24,193.6,0.0,8.18,35.9,0.0
11.97,75.5,0.0,0.0,13.84,20.69,4.9,68.1,44.09,89.42,112.46,131.68,0.0,45.53,14.38,0.0
11.84,76.5,0.0,0.0,15.79,19.45,3.69,64.86,45.05,90.97,180.8,55.77,0.0,76.6,0.99,0.0
11.8,76.75,0.0,0.0,17.43,19.0,4.21,59.81,45.48,81.82,230.57,5.01,0.0,120.81,0.0,0.0
11.74,75.38,0.0,0.0,19.09,17.42,1.03,53.11,50.95,96.99,256.42,0.0,0.0,155.75,0.0,0.0
11.7,76.88,0.0,0.0,20.19,16.13,0.51,49.04,54.52,94.6,241.38,0.0,0.0,114.26,0.0,0.0
12.2,74.88,33.75,8.06,20.68,16.21,-0.39,47.06,51.94,95.93,193.86,0.0,25.16,35.95,0.0,81.89
13.75,68.62,111.62,45.19,20.53,14.43,3.51,44.61,56.76,72.25,130.22,0.0,67.67,14.22,0.0,530.33
15.69,65.38,179.38,76.0,19.51,14.39,5.19,44.83,55.63,67.98,56.04,0.0,74.4,1.0,0.0,716.86
17.52,59.38,232.25,121.69,18.7,13.85,7.66,46.49,56.48,53.31,4.91,0.0,89.1,0.0,0.0,798.04
19.14,52.88,257.56,156.44,17.43,11.83,8.67,50.91,62.65,45.97,0.0,0.0,95.0,0.0,0.0,774.78
20.32,48.5,244.12,115.56,16.38,10.47,10.42,53.57,65.3,39.65,0.0,0.0,108.85,0.0,0.0,775.49
