electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_battery_capacity_khw,current_soc,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival
1,Electric_Vehicle_1,40,14.77,14.0,86.0,,
1,Electric_Vehicle_1,40,17.51,13.0,86.0,,
1,Electric_Vehicle_1,40,8.85,12.0,86.0,,
1,Electric_Vehicle_1,40,21.27,11.0,86.0,,
1,Electric_Vehicle_1,40,15.96,10.0,86.0,,
1,Electric_Vehicle_1,40,23.62,9.0,86.0,,
1,Electric_Vehicle_1,40,14.36,8.0,86.0,,
1,Electric_Vehicle_1,40,20.09,7.0,86.0,,
1,Electric_Vehicle_1,40,25.74,6.0,86.0,,
1,Electric_Vehicle_1,40,29.4,5.0,86.0,,
1,Electric_Vehicle_1,40,13.65,4.0,86.0,,
1,Electric_Vehicle_1,40,11.53,3.0,86.0,,
1,Electric_Vehicle_1,40,26.9,2.0,86.0,,
1,Electric_Vehicle_1,40,27.79,1.0,86.0,,
1,Electric_Vehicle_1,40,29.29,0.0,86.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,8.69,,,1.0,46.0
2,Electric_Vehicle_1,40,18.4,,,0.0,46.0
1,Electric_Vehicle_1,40,28.17,18.0,86.0,,
1,Electric_Vehicle_1,40,8.3,17.0,86.0,,
1,Electric_Vehicle_1,40,23.04,16.0,86.0,,
1,Electric_Vehicle_1,40,8.8,15.0,86.0,,
1,Electric_Vehicle_1,40,29.33,14.0,86.0,,
1,Electric_Vehicle_1,40,14.95,13.0,86.0,,
1,Electric_Vehicle_1,40,17.51,12.0,86.0,,
1,Electric_Vehicle_1,40,17.85,11.0,86.0,,
1,Electric_Vehicle_1,40,31.88,10.0,86.0,,
1,Electric_Vehicle_1,40,18.61,9.0,86.0,,
1,Electric_Vehicle_1,40,31.13,8.0,86.0,,
1,Electric_Vehicle_1,40,17.31,7.0,86.0,,
1,Electric_Vehicle_1,40,17.48,6.0,86.0,,
1,Electric_Vehicle_1,40,26.35,5.0,86.0,,
1,Electric_Vehicle_1,40,8.3,4.0,86.0,,
1,Electric_Vehicle_1,40,30.75,3.0,86.0,,
1,Electric_Vehicle_1,40,20.03,2.0,86.0,,
1,Electric_Vehicle_1,40,24.8,1.0,86.0,,
1,Electric_Vehicle_1,40,17.16,0.0,86.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,17.19,,,1.0,52.0
2,Electric_Vehicle_1,40,20.8,,,0.0,52.0
1,Electric_Vehicle_1,40,14.87,10.0,82.0,,
1,Electric_Vehicle_1,40,20.48,9.0,82.0,,
1,Electric_Vehicle_1,40,17.13,8.0,82.0,,
1,Electric_Vehicle_1,40,14.6,7.0,82.0,,
1,Electric_Vehicle_1,40,22.37,6.0,82.0,,
1,Electric_Vehicle_1,40,12.25,5.0,82.0,,
1,Electric_Vehicle_1,40,9.44,4.0,82.0,,
1,Electric_Vehicle_1,40,20.25,3.0,82.0,,
1,Electric_Vehicle_1,40,25.14,2.0,82.0,,
1,Electric_Vehicle_1,40,16.04,1.0,82.0,,
1,Electric_Vehicle_1,40,30.87,0.0,82.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,21.6,,,0.0,54.0
1,Electric_Vehicle_1,40,22.46,13.0,82.0,,
1,Electric_Vehicle_1,40,28.69,12.0,82.0,,
1,Electric_Vehicle_1,40,19.89,11.0,82.0,,
1,Electric_Vehicle_1,40,22.42,10.0,82.0,,
1,Electric_Vehicle_1,40,25.77,9.0,82.0,,
1,Electric_Vehicle_1,40,30.53,8.0,82.0,,
1,Electric_Vehicle_1,40,15.65,7.0,82.0,,
1,Electric_Vehicle_1,40,21.9,6.0,82.0,,
1,Electric_Vehicle_1,40,8.46,5.0,82.0,,
1,Electric_Vehicle_1,40,21.18,4.0,82.0,,
1,Electric_Vehicle_1,40,31.11,3.0,82.0,,
1,Electric_Vehicle_1,40,16.93,2.0,82.0,,
1,Electric_Vehicle_1,40,29.95,1.0,82.0,,
1,Electric_Vehicle_1,40,13.93,0.0,82.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,16.72,,,1.0,24.0
2,Electric_Vehicle_1,40,9.6,,,0.0,24.0
1,Electric_Vehicle_1,40,31.58,13.0,83.0,,
1,Electric_Vehicle_1,40,20.98,12.0,83.0,,
1,Electric_Vehicle_1,40,31.53,11.0,83.0,,
1,Electric_Vehicle_1,40,22.18,10.0,83.0,,
1,Electric_Vehicle_1,40,25.88,9.0,83.0,,
1,Electric_Vehicle_1,40,20.97,8.0,83.0,,
1,Electric_Vehicle_1,40,8.99,7.0,83.0,,
1,Electric_Vehicle_1,40,11.78,6.0,83.0,,
1,Electric_Vehicle_1,40,16.45,5.0,83.0,,
1,Electric_Vehicle_1,40,12.3,4.0,83.0,,
1,Electric_Vehicle_1,40,23.59,3.0,83.0,,
1,Electric_Vehicle_1,40,16.26,2.0,83.0,,
1,Electric_Vehicle_1,40,29.19,1.0,83.0,,
1,Electric_Vehicle_1,40,26.37,0.0,83.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,15.09,,,1.0,25.0
2,Electric_Vehicle_1,40,10.0,,,0.0,25.0
1,Electric_Vehicle_1,40,14.81,12.0,80.0,,
1,Electric_Vehicle_1,40,22.22,11.0,80.0,,
1,Electric_Vehicle_1,40,19.8,10.0,80.0,,
1,Electric_Vehicle_1,40,17.87,9.0,80.0,,
1,Electric_Vehicle_1,40,20.01,8.0,80.0,,
1,Electric_Vehicle_1,40,21.94,7.0,80.0,,
1,Electric_Vehicle_1,40,17.63,6.0,80.0,,
1,Electric_Vehicle_1,40,27.03,5.0,80.0,,
1,Electric_Vehicle_1,40,15.31,4.0,80.0,,
1,Electric_Vehicle_1,40,29.96,3.0,80.0,,
1,Electric_Vehicle_1,40,13.26,2.0,80.0,,
1,Electric_Vehicle_1,40,14.26,1.0,80.0,,
1,Electric_Vehicle_1,40,20.77,0.0,80.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,18.0,,,1.0,22.0
2,Electric_Vehicle_1,40,8.8,,,0.0,22.0
1,Electric_Vehicle_1,40,19.84,13.0,80.0,,
1,Electric_Vehicle_1,40,25.15,12.0,80.0,,
1,Electric_Vehicle_1,40,14.77,11.0,80.0,,
1,Electric_Vehicle_1,40,14.88,10.0,80.0,,
1,Electric_Vehicle_1,40,19.07,9.0,80.0,,
1,Electric_Vehicle_1,40,12.9,8.0,80.0,,
1,Electric_Vehicle_1,40,14.74,7.0,80.0,,
1,Electric_Vehicle_1,40,14.7,6.0,80.0,,
1,Electric_Vehicle_1,40,26.2,5.0,80.0,,
1,Electric_Vehicle_1,40,10.76,4.0,80.0,,
1,Electric_Vehicle_1,40,28.52,3.0,80.0,,
1,Electric_Vehicle_1,40,17.98,2.0,80.0,,
1,Electric_Vehicle_1,40,29.03,1.0,80.0,,
1,Electric_Vehicle_1,40,20.29,0.0,80.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_1,40,8.8,,,1.0,22.0
1,Electric_Vehicle_1,40,29.4,,86.0,,
1,Electric_Vehicle_1,40,24.68,,86.0,,
1,Electric_Vehicle_1,40,28.93,,86.0,,
1,Electric_Vehicle_1,40,11.42,,86.0,,
1,Electric_Vehicle_1,40,8.09,,86.0,,
1,Electric_Vehicle_1,40,25.79,,86.0,,
1,Electric_Vehicle_1,40,15.21,,86.0,,
1,Electric_Vehicle_1,40,31.0,,86.0,,
1,Electric_Vehicle_1,40,13.45,,86.0,,
1,Electric_Vehicle_1,40,15.62,,86.0,,
1,Electric_Vehicle_1,40,30.5,,86.0,,
1,Electric_Vehicle_1,40,11.41,,86.0,,
1,Electric_Vehicle_1,40,10.61,,86.0,,
1,Electric_Vehicle_1,40,25.69,,86.0,,
1,Electric_Vehicle_1,40,31.56,,86.0,,
1,Electric_Vehicle_1,40,8.36,,86.0,,
1,Electric_Vehicle_1,40,9.46,,86.0,,
1,Electric_Vehicle_1,40,19.21,,86.0,,
1,Electric_Vehicle_1,40,28.07,,86.0,,
1,Electric_Vehicle_1,40,14.33,,86.0,,
1,Electric_Vehicle_1,40,18.99,,86.0,,
1,Electric_Vehicle_1,40,31.63,,86.0,,
1,Electric_Vehicle_1,40,17.42,,86.0,,
1,Electric_Vehicle_1,40,15.6,,86.0,,
1,Electric_Vehicle_1,40,11.92,,86.0,,
1,Electric_Vehicle_1,40,12.91,,86.0,,
1,Electric_Vehicle_1,40,25.4,,86.0,,
1,Electric_Vehicle_1,40,13.56,,86.0,,
1,Electric_Vehicle_1,40,22.52,,86.0,,
1,Electric_Vehicle_1,40,10.23,,86.0,,
1,Electric_Vehicle_1,40,23.32,,86.0,,
1,Electric_Vehicle_1,40,8.31,11.0,86.0,,
1,Electric_Vehicle_1,40,23.19,10.0,86.0,,
1,Electric_Vehicle_1,40,29.35,9.0,86.0,,
1,Electric_Vehicle_1,40,16.69,8.0,86.0,,
1,Electric_Vehicle_1,40,29.57,7.0,86.0,,
