profile_id,duration_steps,total_energy_kwh,load_profile
deferrable_appliance_1_profile_001,1,3.157,[3.157]
deferrable_appliance_1_profile_002,2,10.345,"[3.647,6.698]"
deferrable_appliance_1_profile_003,3,18.783,"[3.073,3.0940000000000003,12.616]"
deferrable_appliance_1_profile_004,2,47.748000000000005,"[37.588,10.16]"
deferrable_appliance_1_profile_005,1,3.0940000000000003,[3.0940000000000003]
deferrable_appliance_1_profile_006,1,10.643,[10.643]
deferrable_appliance_1_profile_007,2,24.762999999999998,"[13.672,11.091]"
deferrable_appliance_1_profile_008,2,20.81,"[17.767,3.043]"
deferrable_appliance_1_profile_009,2,6.188000000000001,"[3.096,3.092]"
deferrable_appliance_1_profile_010,1,14.550999999999998,[14.550999999999998]
deferrable_appliance_1_profile_011,4,25.909999999999997,"[6.13,11.596,3.0949999999999998,5.089]"
deferrable_appliance_1_profile_012,1,3.098,[3.098]
deferrable_appliance_1_profile_013,1,1.2109999999999999,[1.2109999999999999]
deferrable_appliance_1_profile_014,3,22.569,"[1.2109999999999999,11.318999999999999,10.039]"
deferrable_appliance_1_profile_015,1,3.091,[3.091]
deferrable_appliance_1_profile_016,1,3.093,[3.093]
deferrable_appliance_1_profile_017,1,6.096,[6.096]
deferrable_appliance_1_profile_018,1,11.403,[11.403]
deferrable_appliance_1_profile_019,1,10.254000000000001,[10.254000000000001]
deferrable_appliance_1_profile_020,1,5.54,[5.54]
deferrable_appliance_1_profile_021,1,11.66,[11.66]
deferrable_appliance_1_profile_022,3,68.526,"[43.14,10.132,15.254]"
deferrable_appliance_1_profile_023,1,16.412,[16.412]
deferrable_appliance_1_profile_024,1,23.181,[23.181]
deferrable_appliance_1_profile_025,4,65.78399999999999,"[1.2109999999999999,44.506,3.088,16.979]"
deferrable_appliance_1_profile_026,2,14.193999999999999,"[11.126999999999999,3.067]"
deferrable_appliance_1_profile_027,4,37.027,"[20.874000000000002,11.828,3.113,1.212]"
deferrable_appliance_1_profile_028,3,12.579,"[3.0940000000000003,3.0949999999999998,6.39]"
deferrable_appliance_1_profile_029,1,1.208,[1.208]
deferrable_appliance_1_profile_030,3,39.815,"[10.059000000000001,18.176,11.58]"
deferrable_appliance_1_profile_031,4,10.350999999999999,"[3.0420000000000003,3.032,1.207,3.07]"
deferrable_appliance_1_profile_032,1,3.037,[3.037]
deferrable_appliance_1_profile_033,3,40.61,"[11.747,11.66,17.203]"
deferrable_appliance_1_profile_034,3,28.246000000000002,"[21.35,3.04,3.8560000000000003]"
deferrable_appliance_1_profile_035,1,15.566999999999998,[15.566999999999998]
deferrable_appliance_1_profile_036,1,1.212,[1.212]
deferrable_appliance_1_profile_037,1,3.325,[3.325]
deferrable_appliance_1_profile_038,1,11.455,[11.455]
deferrable_appliance_1_profile_039,1,43.387,[43.387]
deferrable_appliance_1_profile_040,3,17.467,"[11.285,3.087,3.0949999999999998]"
deferrable_appliance_1_profile_041,3,52.49300000000001,"[43.88,5.517,3.096]"
deferrable_appliance_1_profile_042,2,6.978999999999999,"[3.8869999999999996,3.092]"
deferrable_appliance_1_profile_043,1,3.096,[3.096]
deferrable_appliance_1_profile_044,1,17.991999999999997,[17.991999999999997]
deferrable_appliance_1_profile_045,4,42.724,"[19.451,10.11,3.0620000000000003,10.101]"
deferrable_appliance_1_profile_046,2,12.596,"[1.2109999999999999,11.385]"
deferrable_appliance_1_profile_047,3,38.323,"[16.987000000000002,3.061,18.275]"
deferrable_appliance_1_profile_048,1,15.349,[15.349]
deferrable_appliance_1_profile_049,4,53.053,"[3.088,3.0940000000000003,43.775999999999996,3.0949999999999998]"
deferrable_appliance_1_profile_050,1,1.21,[1.21]
deferrable_appliance_1_profile_051,1,5.555,[5.555]
deferrable_appliance_1_profile_052,1,18.14,[18.14]
deferrable_appliance_1_profile_053,2,14.368,"[11.253,3.1149999999999998]"
deferrable_appliance_1_profile_054,3,54.54699999999999,"[3.2299999999999995,45.239999999999995,6.077]"
deferrable_appliance_1_profile_055,4,30.001,"[15.465,8.346,3.097,3.093]"
deferrable_appliance_1_profile_056,3,32.499,"[21.874000000000002,7.5280000000000005,3.097]"
deferrable_appliance_1_profile_057,3,50.05,"[3.088,3.091,43.870999999999995]"
deferrable_appliance_1_profile_058,2,14.357,"[4.324,10.033]"
deferrable_appliance_1_profile_059,1,3.1149999999999998,[3.1149999999999998]
deferrable_appliance_1_profile_060,2,14.416,"[3.098,11.318000000000001]"
deferrable_appliance_1_profile_061,1,1.207,[1.207]
deferrable_appliance_1_profile_062,1,4.487,[4.487]
deferrable_appliance_1_profile_063,1,21.079,[21.079]
deferrable_appliance_1_profile_064,4,39.04,"[11.522,11.55,1.2109999999999999,14.757]"
deferrable_appliance_1_profile_065,1,1.1800000000000002,[1.1800000000000002]
deferrable_appliance_1_profile_066,1,3.092,[3.092]
deferrable_appliance_1_profile_067,1,4.971,[4.971]
deferrable_appliance_1_profile_068,2,14.468,"[3.211,11.257]"
deferrable_appliance_1_profile_069,1,6.167,[6.167]
deferrable_appliance_1_profile_070,2,16.735,"[3.085,13.65]"
deferrable_appliance_1_profile_071,1,22.044999999999998,[22.044999999999998]
deferrable_appliance_1_profile_072,2,22.911,"[11.431999999999999,11.479000000000001]"
deferrable_appliance_1_profile_073,3,10.626,"[8.203,1.2109999999999999,1.212]"
deferrable_appliance_1_profile_074,4,53.830999999999996,"[24.418,1.212,13.655000000000001,14.546000000000001]"
deferrable_appliance_1_profile_075,2,5.595,"[1.21,4.385]"
deferrable_appliance_1_profile_076,2,26.579,"[3.039,23.54]"
deferrable_appliance_1_profile_077,2,15.159,"[3.118,12.041]"
deferrable_appliance_1_profile_078,1,3.117,[3.117]
deferrable_appliance_1_profile_079,2,11.475,"[8.362,3.113]"
deferrable_appliance_1_profile_080,3,25.854,"[3.09,5.133,17.631]"
deferrable_appliance_1_profile_081,2,13.258,"[3.088,10.17]"
