month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
6,1,5,0,23.098652,-0.1235699,61.086185,0.35683933,0.055682074,1.1192156,0.0,0.0,3.0,23.222221,23.222221,1
6,2,5,0,22.234743,0.012520019,64.36138,0.34507817,0.15933841,1.4696382,0.0,0.0,3.0,22.222221,22.222221,1
6,3,5,0,22.22306,0.0008384048,64.493416,0.33876896,0.057004254,1.4583724,0.0,0.0,3.0,22.222221,22.222221,1
6,4,5,0,22.22225,2.8585051e-05,64.7697,0.33485606,0.0,1.3373424,0.0,0.0,3.0,22.222221,22.222221,1
6,5,5,0,22.222237,1.4061776e-05,65.15212,0.34860697,0.0,1.1634532,0.0,0.0,3.0,22.222221,22.222221,1
6,6,5,0,22.222237,1.5117419e-05,65.871284,0.34689447,0.33483398,1.3357149,0.0,0.0,3.0,22.222221,22.222221,1
6,7,5,0,22.22223,9.287227e-06,66.065575,0.408589,0.9058187,1.2389414,0.0,25.331348,2.0,22.222221,22.222221,1
6,8,5,0,22.332556,-0.0007783342,65.94541,0.40251273,0.0,1.319662,0.0,91.302536,2.0,22.333334,22.333334,1
6,9,5,0,22.771797,-0.0059799105,64.09834,0.45280996,3.3150163,4.0250163,0.0,221.97502,2.0,22.777779,22.777779,1
6,10,5,0,23.266788,-0.06654502,62.219505,0.40067595,0.21539555,2.458844,0.0,401.64407,1.0,23.333334,23.333334,1
6,11,5,0,24.40689,-0.03755298,58.288273,0.39833075,0.0,1.6538339,0.0,564.91034,1.0,24.444445,24.444445,1
6,12,5,0,24.444319,-0.00012593795,58.101315,0.39929098,1.6562988,3.2172143,0.0,668.9316,1.0,24.444445,24.444445,1
6,13,5,0,24.44445,6.2460344e-06,57.927357,0.40301776,0.2264962,3.0492523,0.0,683.7988,1.0,24.444445,24.444445,1
6,14,5,0,24.444452,6.915498e-06,57.645706,0.3561344,0.0,3.5096958,0.0,687.1585,0.0,24.444445,24.444445,1
6,15,5,0,24.444458,1.4063977e-05,57.321976,0.35630435,0.22648923,4.31503,0.0,645.004,0.0,24.444445,24.444445,1
6,16,5,0,24.444454,1.0339113e-05,56.916584,0.40504846,1.0209699,6.009754,0.0,553.2722,1.0,24.444445,24.444445,1
6,17,5,0,23.581625,0.02606897,59.098175,0.35936105,0.4529948,7.337235,0.0,421.39114,0.0,23.555555,23.555555,1
6,18,5,0,25.53245,-0.023105871,52.526154,0.7734966,0.0,4.635886,0.0,247.31622,2.0,25.555555,25.555555,1
6,19,5,0,26.459463,-0.040536057,49.811234,0.62408745,0.0,2.425167,0.0,67.321686,3.0,26.5,26.5,1
6,20,5,0,24.512663,0.06821779,55.866615,0.59456456,0.45299163,3.6458,0.0,-0.0,3.0,24.444445,24.444445,1
6,21,5,0,21.815445,0.14877775,64.49494,0.5288647,0.0,8.104759,0.0,0.0,2.0,21.666666,21.666666,1
6,22,5,0,24.36137,-0.08307481,55.649372,0.4542192,0.4529954,2.9250584,0.0,0.0,2.0,24.444445,24.444445,1
6,23,5,0,22.881008,0.047674306,60.760803,0.42151,0.0,3.1341848,0.0,0.0,2.0,22.833334,22.833334,1
6,24,5,0,20.818808,0.0965857,67.61147,0.3560788,0.0,6.387691,0.0,0.0,2.0,20.722221,20.722221,1
6,1,6,0,20.558743,0.00318737,67.57663,0.3542106,0.0,6.112397,0.0,0.0,2.0,20.555555,20.555555,1
6,2,6,0,21.598043,-0.06862341,63.6347,0.3527389,0.0,3.2023733,0.0,0.0,2.0,21.666666,21.666666,1
6,3,6,0,22.219463,-0.0027596357,61.6931,0.3514371,0.0,1.6611965,0.0,0.0,2.0,22.222221,22.222221,1
6,4,6,0,22.222187,-3.487813e-05,62.09458,0.35007867,0.0,1.3634886,0.0,0.0,2.0,22.222221,22.222221,1
