outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
24.66,77.56,0.0,0.0,24.910639,38.41596,27.611464,72.98027,41.82236,83.230995,54.625927,116.84289,0.0,143.32434,1020.7561,0.0
24.07,85.12,0.0,0.0,27.076563,38.31935,23.5155,87.31766,37.910023,95.35395,78.37548,89.220505,0.0,300.36105,825.0973,0.0
23.9,89.62,0.0,0.0,29.351833,39.150482,23.659443,60.341454,30.190199,66.26641,259.82214,82.855934,0.0,196.69113,987.9093,0.0
23.87,91.88,0.0,0.0,31.032974,40.934788,26.686003,50.063927,31.51974,94.45637,248.63153,105.13012,0.0,465.4832,854.33185,0.0
23.83,93.06,0.0,0.0,33.81447,39.717842,24.467758,40.942577,33.119545,100.0,272.82516,75.62798,0.0,569.2033,941.24335,0.0
23.85,93.25,0.0,0.0,36.442673,38.721996,25.222326,44.298462,31.612091,100.0,132.1965,65.86417,0.0,911.7501,468.38348,0.0
24.98,86.19,56.19,140.63,36.91956,34.716496,24.522085,39.48785,30.496082,73.83951,133.81879,41.657166,63.052147,703.67645,234.78137,185.17834
26.94,74.56,90.91,268.13,38.978542,33.50567,27.364582,28.588518,56.134216,63.50454,96.567314,0.0,189.49379,916.1268,0.0,401.81763
29.3,62.75,218.81,197.38,39.550983,29.976658,30.812954,23.190601,36.9184,65.21076,122.01821,0.0,147.05728,998.7861,0.0,624.6431
31.66,52.56,278.2,405.23,39.498924,28.91843,33.26022,27.604939,67.00303,29.821941,128.23572,0.0,148.78285,834.03296,0.0,844.4681
33.87,44.19,328.87,539.94,40.085255,27.676508,35.020977,29.998062,54.172047,27.241003,102.59606,0.0,172.22371,682.6962,0.0,749.1275
35.9,37.88,112.41,874.11,37.527287,26.089806,36.691208,22.400305,59.200375,33.915173,72.89809,0.0,219.14189,586.8953,0.0,1072.8214
37.51,33.25,121.83,844.38,36.916813,25.90339,38.72669,36.89418,84.427086,23.774311,57.42244,0.0,106.155914,389.9759,0.0,686.0481
38.69,29.88,116.94,860.31,32.412056,25.724096,38.563362,46.88296,85.04205,32.775383,0.0,0.0,155.33879,0.0,0.0,520.88544
39.3,28.0,114.1,851.91,30.835533,25.26422,38.411854,46.870895,73.76996,18.526005,0.0,0.0,150.66127,0.0,0.0,537.24475
39.53,26.56,107.21,815.19,30.552141,25.186548,39.420174,55.31255,70.31723,30.903234,0.0,0.0,100.104576,0.0,0.0,689.81714
39.16,26.25,99.99,741.94,28.47968,24.059202,40.33298,57.22131,70.75022,16.665543,0.0,0.0,94.994026,0.0,0.0,926.4824
38.12,27.62,84.96,608.73,26.891977,23.315088,37.287792,67.40193,71.2515,19.478123,0.0,0.0,108.99303,0.0,0.0,562.6354
36.11,32.38,56.38,330.48,24.893063,24.264336,34.779358,62.686428,100.0,28.536032,0.0,72.68285,69.20958,0.0,131.84624,213.0252
32.61,43.31,0.0,0.0,26.027912,27.676418,31.511576,77.56025,57.886185,37.610645,0.0,141.08925,0.0,0.0,330.48743,0.0
31.19,49.25,0.0,0.0,23.889338,28.889353,30.255564,86.35239,60.253628,54.0583,0.0,258.66507,0.0,0.0,338.32028,0.0
29.6,56.25,0.0,0.0,24.212109,32.68576,32.217403,86.35721,57.351185,68.92527,0.0,146.93661,0.0,0.0,600.10016,0.0
28.04,63.06,0.0,0.0,23.865452,33.536938,28.455322,97.5911,36.97088,38.012108,0.0,212.79843,0.0,0.0,856.48737,0.0
26.8,69.69,0.0,0.0,25.319023,35.419365,27.428366,97.399284,33.311935,45.245033,0.0,170.47557,0.0,0.0,626.95514,0.0
25.85,76.44,0.0,0.0,24.82682,38.487644,26.930542,93.0543,37.18174,61.58041,77.064224,108.35413,0.0,158.09053,858.2539,0.0
25.19,83.19,0.0,0.0,28.007141,40.087215,26.822914,75.91922,27.210247,66.86085,170.9847,132.38855,0.0,329.76602,1096.8188,0.0
24.85,87.5,0.0,0.0,28.575554,39.17287,26.505304,60.401077,18.750456,86.42556,186.01118,109.953514,0.0,438.34097,808.9186,0.0
24.76,88.75,0.0,0.0,31.373487,41.761425,25.137737,52.000034,28.015509,51.5656,170.15962,121.70549,0.0,618.1787,894.929,0.0
