electric_vehicle_charger_state,electric_vehicle_id,electric_vehicle_battery_capacity_khw,current_soc,electric_vehicle_departure_time,electric_vehicle_required_soc_departure,electric_vehicle_estimated_arrival_time,electric_vehicle_estimated_soc_arrival
1,Electric_Vehicle_6,100,33.63,9.0,82.0,,
1,Electric_Vehicle_6,100,62.04,8.0,82.0,,
1,Electric_Vehicle_6,100,25.16,7.0,82.0,,
1,Electric_Vehicle_6,100,31.34,6.0,82.0,,
1,Electric_Vehicle_6,100,38.02,5.0,82.0,,
1,Electric_Vehicle_6,100,24.92,4.0,82.0,,
1,Electric_Vehicle_6,100,60.44,3.0,82.0,,
1,Electric_Vehicle_6,100,33.31,2.0,82.0,,
1,Electric_Vehicle_6,100,21.58,1.0,82.0,,
1,Electric_Vehicle_6,100,52.11,0.0,82.0,,
3,,,,,,,
2,Electric_Vehicle_6,100,78.0,,,0.0,78.0
1,Electric_Vehicle_6,100,21.28,21.0,72.0,,
1,Electric_Vehicle_6,100,64.9,20.0,72.0,,
1,Electric_Vehicle_6,100,78.91,19.0,72.0,,
1,Electric_Vehicle_6,100,70.2,18.0,72.0,,
1,Electric_Vehicle_6,100,79.66,17.0,72.0,,
1,Electric_Vehicle_6,100,78.72,16.0,72.0,,
1,Electric_Vehicle_6,100,72.95,15.0,72.0,,
1,Electric_Vehicle_6,100,37.01,14.0,72.0,,
1,Electric_Vehicle_6,100,42.41,13.0,72.0,,
1,Electric_Vehicle_6,100,60.94,12.0,72.0,,
1,Electric_Vehicle_6,100,41.7,11.0,72.0,,
1,Electric_Vehicle_6,100,75.68,10.0,72.0,,
1,Electric_Vehicle_6,100,64.94,9.0,72.0,,
1,Electric_Vehicle_6,100,64.55,8.0,72.0,,
1,Electric_Vehicle_6,100,20.09,7.0,72.0,,
1,Electric_Vehicle_6,100,41.9,6.0,72.0,,
1,Electric_Vehicle_6,100,77.77,5.0,72.0,,
1,Electric_Vehicle_6,100,61.73,4.0,72.0,,
1,Electric_Vehicle_6,100,56.69,3.0,72.0,,
1,Electric_Vehicle_6,100,51.99,2.0,72.0,,
1,Electric_Vehicle_6,100,77.13,1.0,72.0,,
1,Electric_Vehicle_6,100,62.63,0.0,72.0,,
3,,,,,,,
2,Electric_Vehicle_6,100,70.0,,,0.0,70.0
1,Electric_Vehicle_6,100,67.69,21.0,72.0,,
1,Electric_Vehicle_6,100,39.47,20.0,72.0,,
1,Electric_Vehicle_6,100,30.73,19.0,72.0,,
1,Electric_Vehicle_6,100,50.38,18.0,72.0,,
1,Electric_Vehicle_6,100,36.27,17.0,72.0,,
1,Electric_Vehicle_6,100,42.89,16.0,72.0,,
1,Electric_Vehicle_6,100,41.3,15.0,72.0,,
1,Electric_Vehicle_6,100,46.41,14.0,72.0,,
1,Electric_Vehicle_6,100,59.49,13.0,72.0,,
1,Electric_Vehicle_6,100,61.51,12.0,72.0,,
1,Electric_Vehicle_6,100,52.61,11.0,72.0,,
1,Electric_Vehicle_6,100,67.22,10.0,72.0,,
1,Electric_Vehicle_6,100,54.78,9.0,72.0,,
1,Electric_Vehicle_6,100,69.39,8.0,72.0,,
1,Electric_Vehicle_6,100,33.65,7.0,72.0,,
1,Electric_Vehicle_6,100,21.6,6.0,72.0,,
1,Electric_Vehicle_6,100,68.44,5.0,72.0,,
1,Electric_Vehicle_6,100,54.41,4.0,72.0,,
1,Electric_Vehicle_6,100,38.02,3.0,72.0,,
1,Electric_Vehicle_6,100,38.01,2.0,72.0,,
1,Electric_Vehicle_6,100,52.03,1.0,72.0,,
1,Electric_Vehicle_6,100,66.13,0.0,72.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_6,100,69.0,,,1.0,39.0
2,Electric_Vehicle_6,100,39.0,,,0.0,39.0
1,Electric_Vehicle_6,100,69.38,14.0,82.0,,
1,Electric_Vehicle_6,100,64.02,13.0,82.0,,
1,Electric_Vehicle_6,100,67.52,12.0,82.0,,
1,Electric_Vehicle_6,100,35.76,11.0,82.0,,
1,Electric_Vehicle_6,100,65.9,10.0,82.0,,
1,Electric_Vehicle_6,100,66.49,9.0,82.0,,
1,Electric_Vehicle_6,100,31.18,8.0,82.0,,
1,Electric_Vehicle_6,100,26.92,7.0,82.0,,
1,Electric_Vehicle_6,100,37.07,6.0,82.0,,
1,Electric_Vehicle_6,100,33.8,5.0,82.0,,
1,Electric_Vehicle_6,100,52.5,4.0,82.0,,
1,Electric_Vehicle_6,100,61.88,3.0,82.0,,
1,Electric_Vehicle_6,100,26.51,2.0,82.0,,
1,Electric_Vehicle_6,100,69.8,1.0,82.0,,
1,Electric_Vehicle_6,100,44.67,0.0,82.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_6,100,78.0,,,0.0,78.0
1,Electric_Vehicle_6,100,45.92,12.0,82.0,,
1,Electric_Vehicle_6,100,74.25,11.0,82.0,,
1,Electric_Vehicle_6,100,65.95,10.0,82.0,,
1,Electric_Vehicle_6,100,28.78,9.0,82.0,,
1,Electric_Vehicle_6,100,68.88,8.0,82.0,,
1,Electric_Vehicle_6,100,72.12,7.0,82.0,,
1,Electric_Vehicle_6,100,32.65,6.0,82.0,,
1,Electric_Vehicle_6,100,65.57,5.0,82.0,,
1,Electric_Vehicle_6,100,73.66,4.0,82.0,,
1,Electric_Vehicle_6,100,27.83,3.0,82.0,,
1,Electric_Vehicle_6,100,55.08,2.0,82.0,,
1,Electric_Vehicle_6,100,27.92,1.0,82.0,,
1,Electric_Vehicle_6,100,59.84,0.0,82.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_6,100,76.0,,,0.0,76.0
1,Electric_Vehicle_6,100,32.82,13.0,80.0,,
1,Electric_Vehicle_6,100,77.39,12.0,80.0,,
1,Electric_Vehicle_6,100,33.49,11.0,80.0,,
1,Electric_Vehicle_6,100,25.97,10.0,80.0,,
1,Electric_Vehicle_6,100,34.59,9.0,80.0,,
1,Electric_Vehicle_6,100,43.57,8.0,80.0,,
1,Electric_Vehicle_6,100,68.51,7.0,80.0,,
1,Electric_Vehicle_6,100,28.81,6.0,80.0,,
1,Electric_Vehicle_6,100,60.1,5.0,80.0,,
1,Electric_Vehicle_6,100,35.23,4.0,80.0,,
1,Electric_Vehicle_6,100,28.94,3.0,80.0,,
1,Electric_Vehicle_6,100,45.24,2.0,80.0,,
1,Electric_Vehicle_6,100,54.91,1.0,80.0,,
1,Electric_Vehicle_6,100,71.9,0.0,80.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_6,100,76.0,,,0.0,76.0
1,Electric_Vehicle_6,100,48.2,13.0,82.0,,
1,Electric_Vehicle_6,100,51.69,12.0,82.0,,
1,Electric_Vehicle_6,100,56.67,11.0,82.0,,
1,Electric_Vehicle_6,100,28.98,10.0,82.0,,
1,Electric_Vehicle_6,100,22.75,9.0,82.0,,
1,Electric_Vehicle_6,100,57.11,8.0,82.0,,
1,Electric_Vehicle_6,100,61.08,7.0,82.0,,
1,Electric_Vehicle_6,100,77.34,6.0,82.0,,
1,Electric_Vehicle_6,100,54.74,5.0,82.0,,
1,Electric_Vehicle_6,100,65.58,4.0,82.0,,
1,Electric_Vehicle_6,100,37.26,3.0,82.0,,
1,Electric_Vehicle_6,100,66.5,2.0,82.0,,
1,Electric_Vehicle_6,100,78.88,1.0,82.0,,
1,Electric_Vehicle_6,100,76.34,0.0,82.0,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
2,Electric_Vehicle_6,100,51.5,,,2.0,32.0
2,Electric_Vehicle_6,100,58.75,,,1.0,32.0
2,Electric_Vehicle_6,100,32.0,,,0.0,32.0
1,Electric_Vehicle_6,100,52.16,18.0,82.0,,
1,Electric_Vehicle_6,100,77.8,17.0,82.0,,
1,Electric_Vehicle_6,100,55.2,16.0,82.0,,
1,Electric_Vehicle_6,100,78.46,15.0,82.0,,
1,Electric_Vehicle_6,100,37.4,14.0,82.0,,
1,Electric_Vehicle_6,100,68.13,13.0,82.0,,
1,Electric_Vehicle_6,100,48.35,12.0,82.0,,
1,Electric_Vehicle_6,100,31.27,11.0,82.0,,
1,Electric_Vehicle_6,100,22.17,10.0,82.0,,
1,Electric_Vehicle_6,100,78.26,9.0,82.0,,
1,Electric_Vehicle_6,100,68.05,8.0,82.0,,
1,Electric_Vehicle_6,100,50.94,7.0,82.0,,
1,Electric_Vehicle_6,100,20.87,6.0,82.0,,
1,Electric_Vehicle_6,100,67.5,5.0,82.0,,
1,Electric_Vehicle_6,100,68.26,4.0,82.0,,
1,Electric_Vehicle_6,100,30.89,3.0,82.0,,
