month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
7,24,7,0,,,,0.77143335,0.0,0.0,0.0,0.0
8,1,1,0,,,,0.5158833,0.0,0.0,0.0,0.0
8,2,1,0,,,,0.50305,0.0,0.0,0.0,0.0
8,3,1,0,,,,0.53595,0.0,0.0,0.0,0.0
8,4,1,0,,,,0.5126167,0.0,0.0,0.0,0.0
8,5,1,0,,,,0.30321667,0.0,0.0,0.0,0.0
8,6,1,0,,,,0.49578333,0.0,0.0,0.0,0.293
8,7,1,0,,,,0.9805,0.0,0.0,0.0,1.764375
8,8,1,0,,,,1.2995833,0.0,0.0,0.0,3.4241666
8,9,1,0,,,,1.6788,0.0,0.0,0.0,4.8332083
8,10,1,0,,,,2.1846333,0.0,0.0,0.0,5.894708
8,11,1,0,,,,2.0674167,0.0,0.0,0.0,6.4819165
8,12,1,0,,,,1.0379833,0.0,0.0,0.0,6.5794586
8,13,1,0,,,,0.67051667,0.0,0.0,0.0,6.2025
8,14,1,0,,,,2.0011666,0.0,0.0,0.0,5.3832086
8,15,1,0,,,,1.5273967,0.0,0.0,0.0,4.0911166
8,16,1,0,,,,0.9494333,0.0,0.0,0.0,2.7164584
8,17,1,0,,,,0.51886666,0.0,0.0,0.0,1.237875
8,18,1,0,,,,2.43805,0.0,0.0,0.0,0.31091667
8,19,1,0,,,,1.9658166,0.0,0.0,0.0,0.021375
8,20,1,0,,,,1.4988834,0.0,0.0,0.0,0.0
8,21,1,0,,,,2.6069167,0.0,0.0,0.0,0.0
8,22,1,0,,,,1.2789,0.0,0.0,0.0,0.0
8,23,1,0,,,,1.0987,0.0,0.0,0.0,0.0
8,24,1,0,,,,1.0609916,0.0,0.0,0.0,0.0
8,1,2,0,,,,0.3063,0.0,0.0,0.0,0.0
8,2,2,0,,,,0.5456833,0.0,0.0,0.0,0.0
8,3,2,0,,,,0.29998332,0.0,0.0,0.0,0.0
8,4,2,0,,,,0.33366665,0.0,0.0,0.0,0.0
8,5,2,0,,,,0.3396,0.0,0.0,0.0,0.0
8,6,2,0,,,,0.30485,0.0,0.0,0.0,0.31175
8,7,2,0,,,,0.49295,0.0,0.0,0.0,1.6827083
8,8,2,0,,,,0.67475,0.0,0.0,0.0,3.3369583
8,9,2,0,,,,0.9467667,0.0,0.0,0.0,4.78
8,10,2,0,,,,1.4758834,0.0,0.0,0.0,5.7782916
8,11,2,0,,,,1.5935167,0.0,0.0,0.0,6.3617084
