cycle_id,profile_id,earliest_start_time_step,latest_start_time_step,deadline_time_step,priority,must_run
deferrable_appliance_18_1_cycle_0001,deferrable_appliance_18_1_profile_001,1012,1016,1018,1.0,True
deferrable_appliance_18_1_cycle_0002,deferrable_appliance_18_1_profile_002,1033,1037,1038,1.0,True
deferrable_appliance_18_1_cycle_0003,deferrable_appliance_18_1_profile_003,1057,1060,1060,1.0,True
deferrable_appliance_18_1_cycle_0004,deferrable_appliance_18_1_profile_004,1081,1082,1082,1.0,True
deferrable_appliance_18_1_cycle_0005,deferrable_appliance_18_1_profile_005,1106,1107,1107,1.0,True
deferrable_appliance_18_1_cycle_0006,deferrable_appliance_18_1_profile_006,1129,1133,1136,1.0,True
deferrable_appliance_18_1_cycle_0007,deferrable_appliance_18_1_profile_007,1154,1157,1158,1.0,True
deferrable_appliance_18_1_cycle_0008,deferrable_appliance_18_1_profile_008,1177,1181,1183,1.0,True
deferrable_appliance_18_1_cycle_0009,deferrable_appliance_18_1_profile_009,1201,1202,1202,1.0,True
deferrable_appliance_18_1_cycle_0010,deferrable_appliance_18_1_profile_010,1225,1229,1232,1.0,True
deferrable_appliance_18_1_cycle_0011,deferrable_appliance_18_1_profile_011,1251,1252,1252,1.0,True
deferrable_appliance_18_1_cycle_0012,deferrable_appliance_18_1_profile_012,1274,1275,1275,1.0,True
deferrable_appliance_18_1_cycle_0013,deferrable_appliance_18_1_profile_013,1297,1300,1300,1.0,True
deferrable_appliance_18_1_cycle_0014,deferrable_appliance_18_1_profile_014,1322,1324,1325,1.0,True
deferrable_appliance_18_1_cycle_0015,deferrable_appliance_18_1_profile_015,1345,1348,1350,1.0,True
deferrable_appliance_18_1_cycle_0016,deferrable_appliance_18_1_profile_016,1369,1373,1376,1.0,True
deferrable_appliance_18_1_cycle_0017,deferrable_appliance_18_1_profile_017,1393,1396,1398,1.0,True
deferrable_appliance_18_1_cycle_0018,deferrable_appliance_18_1_profile_018,1421,1424,1426,1.0,True
deferrable_appliance_18_1_cycle_0019,deferrable_appliance_18_1_profile_019,1443,1445,1446,1.0,True
deferrable_appliance_18_1_cycle_0020,deferrable_appliance_18_1_profile_020,1465,1466,1466,1.0,True
deferrable_appliance_18_1_cycle_0021,deferrable_appliance_18_1_profile_021,1489,1491,1492,1.0,True
deferrable_appliance_18_1_cycle_0022,deferrable_appliance_18_1_profile_022,1513,1514,1514,1.0,True
deferrable_appliance_18_1_cycle_0023,deferrable_appliance_18_1_profile_023,1538,1539,1539,1.0,True
deferrable_appliance_18_1_cycle_0024,deferrable_appliance_18_1_profile_024,1561,1562,1562,1.0,True
deferrable_appliance_18_1_cycle_0025,deferrable_appliance_18_1_profile_025,1585,1586,1586,1.0,True
deferrable_appliance_18_1_cycle_0026,deferrable_appliance_18_1_profile_026,1611,1615,1618,1.0,True
deferrable_appliance_18_1_cycle_0027,deferrable_appliance_18_1_profile_027,1633,1634,1634,1.0,True
deferrable_appliance_18_1_cycle_0028,deferrable_appliance_18_1_profile_028,1659,1660,1660,1.0,True
deferrable_appliance_18_1_cycle_0029,deferrable_appliance_18_1_profile_029,1681,1685,1685,1.0,True
deferrable_appliance_18_1_cycle_0030,deferrable_appliance_18_1_profile_030,1705,1707,1708,1.0,True
deferrable_appliance_18_1_cycle_0031,deferrable_appliance_18_1_profile_031,1729,1730,1730,1.0,True
deferrable_appliance_18_1_cycle_0032,deferrable_appliance_18_1_profile_032,1753,1756,1757,1.0,True
deferrable_appliance_18_1_cycle_0033,deferrable_appliance_18_1_profile_033,1778,1780,1780,1.0,True
deferrable_appliance_18_1_cycle_0034,deferrable_appliance_18_1_profile_034,1801,1804,1805,1.0,True
deferrable_appliance_18_1_cycle_0035,deferrable_appliance_18_1_profile_035,1825,1828,1830,1.0,True
deferrable_appliance_18_1_cycle_0036,deferrable_appliance_18_1_profile_036,1849,1853,1856,1.0,True
deferrable_appliance_18_1_cycle_0037,deferrable_appliance_18_1_profile_037,1873,1875,1876,1.0,True
deferrable_appliance_18_1_cycle_0038,deferrable_appliance_18_1_profile_038,1899,1901,1902,1.0,True
deferrable_appliance_18_1_cycle_0039,deferrable_appliance_18_1_profile_039,1921,1925,1926,1.0,True
deferrable_appliance_18_1_cycle_0040,deferrable_appliance_18_1_profile_040,1949,1950,1950,1.0,True
deferrable_appliance_18_1_cycle_0041,deferrable_appliance_18_1_profile_041,1969,1972,1973,1.0,True
deferrable_appliance_18_1_cycle_0042,deferrable_appliance_18_1_profile_042,1993,1997,1999,1.0,True
deferrable_appliance_18_1_cycle_0043,deferrable_appliance_18_1_profile_043,2020,2022,2023,1.0,True
deferrable_appliance_18_1_cycle_0044,deferrable_appliance_18_1_profile_044,2042,2046,2047,1.0,True
deferrable_appliance_18_1_cycle_0045,deferrable_appliance_18_1_profile_045,2065,2069,2072,1.0,True
deferrable_appliance_18_1_cycle_0046,deferrable_appliance_18_1_profile_046,2089,2090,2090,1.0,True
deferrable_appliance_18_1_cycle_0047,deferrable_appliance_18_1_profile_047,2115,2116,2116,1.0,True
deferrable_appliance_18_1_cycle_0048,deferrable_appliance_18_1_profile_048,2137,2141,2143,1.0,True
