month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode
1,1,1,0,21.43701,,20.987663,0.21843103,0.0,0.0,3.4850836,0.0,1.0,21.055555,21.055555,2
1,2,1,0,21.416506,,20.996008,0.21543865,0.0,0.0,3.7037272,0.0,1.0,21.055555,21.055555,2
1,3,1,0,21.422935,,20.926353,0.21261723,0.0,0.0,3.991795,0.0,1.0,21.11111,21.11111,2
1,4,1,0,21.40687,,20.852545,0.20973884,0.0,0.0,4.1080036,0.0,1.0,21.11111,21.11111,2
1,5,1,0,21.38417,,20.794617,0.20674646,0.0,0.0,4.1191964,0.0,1.0,21.11111,21.11111,2
1,6,1,0,21.474133,,20.615833,0.26014057,0.0,0.0,4.241741,0.0,1.0,21.222221,21.222221,2
1,7,1,0,21.683851,,20.298704,0.32315642,0.24369968,0.0,4.239172,0.0,1.0,21.444445,21.444445,2
1,8,1,0,21.74142,,20.162693,0.81784135,0.011821438,0.0,4.59885,0.0,1.0,21.5,21.5,2
1,9,1,0,21.611809,,20.35733,3.7579203,0.22735332,0.0,4.6627812,0.0,1.0,21.38889,21.38889,2
1,10,1,0,21.485039,,20.507593,0.3762194,0.07919311,0.0,4.0464363,0.0,1.0,21.277779,21.277779,2
1,11,1,0,21.524155,,20.462347,0.37092853,0.2611656,0.0,4.057465,0.0,1.0,21.333334,21.333334,2
1,12,1,0,21.509087,,20.49561,0.3710429,0.07903644,0.0,4.006956,0.0,1.0,21.333334,21.333334,2
1,13,1,0,21.50076,,20.57452,0.37737817,0.0,0.0,3.6408966,0.0,1.0,21.333334,21.333334,2
1,14,1,0,21.490322,,20.71313,0.3775096,0.23378727,0.0,3.390159,0.0,1.0,21.333334,21.333334,2
1,15,1,0,21.482517,,20.787704,0.37705234,0.0,0.0,3.3583748,0.0,1.0,21.333334,21.333334,2
1,16,1,0,21.471077,,20.902706,0.3946413,0.46756744,0.0,3.9204865,0.0,1.0,21.333334,21.333334,2
1,17,1,0,21.576668,,20.79409,0.470971,0.0,0.0,3.6832485,0.0,1.0,21.444445,21.444445,2
1,18,1,0,21.683023,,20.950764,1.9395592,0.0,0.0,3.5303986,0.0,1.0,21.555555,21.555555,2
1,19,1,0,21.732924,,20.876362,0.551815,0.0,0.0,3.7970614,0.0,1.0,21.61111,21.61111,2
1,20,1,0,21.732159,,20.868948,0.8612811,0.0,0.0,4.334238,0.0,1.0,21.61111,21.61111,2
1,21,1,0,21.727314,,20.89611,0.5015812,0.7015553,0.0,3.9370804,0.0,1.0,21.61111,21.61111,2
1,22,1,0,21.664597,,20.991873,0.23701216,0.0,0.0,4.1250887,0.0,1.0,21.555555,21.555555,2
1,23,1,0,21.489735,,21.193697,0.23079945,0.23378713,0.0,4.104487,0.0,1.0,21.38889,21.38889,2
1,24,1,0,21.255148,,21.404654,0.22620144,0.0,0.0,4.113104,0.0,1.0,21.166666,21.166666,2
1,1,2,0,21.13977,,21.512806,0.21843103,0.0,0.0,4.172775,0.0,1.0,21.055555,21.055555,2
1,2,2,0,21.121342,,21.464754,0.21543865,0.0,0.0,4.2781405,0.0,1.0,21.055555,21.055555,2
1,3,2,0,21.16947,,21.32022,0.21261723,0.0,0.0,4.4023404,0.0,1.0,21.11111,21.11111,2
1,4,2,0,21.17067,,21.235355,0.20973884,0.0,0.0,4.392812,0.0,1.0,21.11111,21.11111,2
1,5,2,0,21.16869,,21.13588,0.20674646,0.0,0.0,4.4514623,0.0,1.0,21.11111,21.11111,2
1,6,2,0,21.274277,,20.949266,0.20691742,0.0,0.0,4.677755,0.0,1.0,21.222221,21.222221,2
1,7,2,0,21.497362,,20.585876,0.32315642,1.4151211,0.0,3.1307502,0.0,1.0,21.444445,21.444445,2
1,8,2,0,21.568146,,20.536634,0.36692762,2.4720175,0.0,1.7729285,0.0,1.0,21.5,21.5,2
1,9,2,0,21.453535,,20.63123,0.37606734,0.0,0.0,4.661168,0.0,1.0,21.38889,21.38889,2
1,10,2,0,21.335052,,20.757359,0.3762194,0.0,0.0,4.149988,0.0,1.0,21.277779,21.277779,2
1,11,2,0,21.384146,,20.71632,0.554245,0.0,0.0,3.8554304,0.0,0.0,21.333334,21.333334,2
1,12,2,0,21.380384,,20.768219,0.3710429,0.0,0.0,3.5653086,0.0,1.0,21.333334,21.333334,2
1,13,2,0,21.37919,,20.831678,0.37737817,0.23426063,0.0,3.283559,0.0,1.0,21.333334,21.333334,2
1,14,2,0,21.37718,,20.889019,0.3775096,0.0,0.0,3.1569288,0.0,1.0,21.333334,21.333334,2
