Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1,8,0,21.89,0,38.8,9.4,2.04,4.33
1,2,8,0,21.81,0,40.83,10,0.36,4.47
1,3,8,0,21.72,0,42.46,8.9,0.36,3.38
1,4,8,0,21.82,0,42.68,14.2,0,6.54
1,5,8,0,21.57,0,43.95,7,0,1.8
1,6,8,0,21.57,0,44.47,9.4,0.12,2.69
1,7,8,0,21.61,0,44.47,11.8,0.36,3.99
1,8,8,0,21.74,0,44.04,16.1,14.04,7.3
1,9,8,0,21.87,0,43.08,17.3,3.48,9.6
1,10,8,0,21.97,0,42.32,16.3,22.56,11.34
1,11,8,0,22.02,0,42.24,12.9,22.8,11.65
1,12,8,0,22.08,0,41.92,12.2,6.24,14.32
1,13,8,0,22.1,0,41.57,13,4.68,17.06
1,14,8,0,22.11,0,41.17,12.9,4.32,16.54
1,15,8,0,22.12,0,40.68,13.4,0.6,16.29
1,16,8,0,22.11,0,39.87,12.4,3.48,13.66
1,17,8,0,22.1,0,39.19,10.6,1.92,10.2
1,18,8,0,22.11,0,38.85,17.4,2.52,17.05
1,19,8,0,22.1,0,38.94,14.1,3.6,13.64
1,20,8,0,22.12,0,38.81,20.1,1.44,19.04
1,21,8,0,22.1,0,38.48,16.8,1.2,14.17
1,22,8,0,22.1,0,38.26,15.7,1.68,12.07
1,23,8,0,22.09,0,38.23,15.5,1.32,10.76
1,24,8,0,22.07,0,38.03,16.3,1.8,10.34
1,1,2,0,21.98,0,37.87,12.9,2.64,5.73
1,2,2,0,21.62,0,38.31,8,0.12,1.65
1,3,2,0,21.33,0,38.54,8.9,0,1.3
1,4,2,0,21.02,0,38.17,7.5,1.56,0.9
1,5,2,0,20.92,0,37.04,9.3,0,0.85
1,6,2,0,20.93,0,35.56,12,0,0.87
1,7,2,0,20.74,0,34.49,8.6,4.92,0.52
1,8,2,0,20.84,0,32.88,13.9,16.44,0.81
1,9,2,0,21.38,0,30.61,17.9,7.92,4.18
1,10,2,0,21.48,0,29.46,11.7,4.2,4.89
1,11,2,0,21.58,0,28.4,12.1,19.2,6.36
1,12,2,0,21.62,0,27.09,10.3,8.4,8.06
1,13,2,0,21.75,0,25.88,14.6,3.6,12.23
