Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
9.4,94.12,0.0,0.0,10.02,16.21,14.15,91.12,82.93,91.65,-0.0,170.84,0.0,-0.0,5.32,0.0
7.61,93.0,0.0,0.0,9.92,14.72,13.03,93.62,88.58,101.62,16.77,112.24,0.0,1.11,2.04,-0.0
8.11,93.0,0.0,0.0,9.91,13.68,12.19,94.32,91.52,105.77,40.08,65.93,0.0,1.74,1.04,0.0
8.36,93.0,0.0,0.0,10.79,13.7,13.88,90.47,92.86,92.8,65.63,38.59,-0.0,1.09,0.99,0.0
8.78,93.0,0.0,0.0,12.04,13.56,12.74,90.63,89.75,100.62,107.26,15.92,0.0,1.78,0.84,0.0
9.25,93.0,0.0,0.0,13.8,11.89,14.11,90.83,96.57,90.39,164.5,0.0,-0.0,4.83,0.0,-0.0
9.78,93.0,0.0,0.0,16.03,11.76,12.65,84.03,97.49,103.38,168.7,0.0,0.0,5.26,0.0,0.0
10.0,93.0,16.88,1.12,14.78,13.01,13.56,88.17,91.13,98.38,112.77,-0.0,20.07,2.05,-0.0,3.16
10.0,93.62,40.38,1.75,13.8,13.04,12.7,90.76,94.25,102.5,66.49,0.0,61.04,1.05,0.0,5.64
10.5,92.75,64.06,1.06,13.78,12.98,13.81,92.37,97.99,90.87,38.79,-0.0,134.76,0.99,-0.0,12.92
11.86,92.0,105.69,1.75,13.32,13.49,13.93,91.37,93.27,86.48,15.65,0.0,192.79,0.82,0.0,21.34
14.06,88.88,168.19,4.94,12.16,12.86,13.85,94.78,96.34,78.26,0.0,-0.0,238.65,0.0,-0.0,32.59
15.88,85.12,166.56,5.19,12.1,13.79,14.36,95.24,94.13,65.79,0.0,0.0,259.81,0.0,-0.0,41.18
14.84,87.75,113.31,2.06,12.87,13.27,11.97,92.06,99.94,69.9,-0.0,-0.0,196.65,-0.0,-0.0,40.45
13.9,90.0,67.06,1.06,13.13,12.77,11.89,93.63,101.76,65.48,0.0,0.0,152.13,0.0,0.0,41.87
13.84,91.88,39.0,1.0,13.31,13.58,11.43,95.8,94.9,59.57,-0.0,-0.0,93.86,-0.0,0.0,36.47
13.11,93.0,15.38,0.81,13.44,13.0,10.81,93.64,98.81,56.05,0.0,-0.0,29.15,0.0,0.0,13.15
12.39,93.0,0.0,0.0,12.94,13.51,11.2,95.8,94.63,50.64,-0.0,-0.0,0.0,-0.0,0.0,0.0
12.39,93.0,0.0,0.0,13.61,12.89,9.61,95.38,101.69,53.93,0.0,0.0,0.0,0.0,0.0,0.0
12.75,93.0,0.0,0.0,13.39,13.62,9.14,99.09,97.94,53.13,-0.0,20.16,-0.0,0.0,3.18,-0.0
13.21,93.0,0.0,0.0,13.05,13.32,7.91,99.76,98.31,54.39,-0.0,64.02,0.0,0.0,5.91,0.0
13.59,93.62,0.0,0.0,13.43,13.89,6.31,95.95,90.37,58.35,0.0,135.5,-0.0,-0.0,12.99,-0.0
13.39,94.0,0.0,0.0,13.13,14.07,4.44,97.9,85.68,61.04,-0.0,194.64,0.0,-0.0,21.54,0.0
