Month,Hour,Day Type,State,Destination Charger,Estimated Departure Time,Required Soc At Departure, Estimated Arrival Time, Estimated SOC at Arrival
7,0,6,1,charger_7_1,,80,,
7,1,6,1,charger_7_1,,80,,
7,2,6,1,charger_7_1,,80,,
7,3,6,1,charger_7_1,,80,,
7,4,6,1,charger_7_1,,80,,
7,5,6,1,charger_7_1,,80,,
7,6,6,1,charger_7_1,,80,,
7,7,6,1,charger_7_1,,80,,
7,8,6,1,charger_7_1,,80,,
7,9,6,1,charger_7_1,,80,,
7,10,6,1,charger_7_1,,80,,
7,11,6,1,charger_7_1,,80,,
7,12,6,1,charger_7_1,,80,,
7,13,6,1,charger_7_1,,80,,
7,14,6,1,charger_7_1,,80,,
7,15,6,1,charger_7_1,,80,,
7,16,6,1,charger_7_1,,80,,
7,17,6,1,charger_7_1,,80,,
7,18,6,1,charger_7_1,,80,,
7,19,6,1,charger_7_1,,80,,
7,20,6,1,charger_7_1,,80,,
7,21,6,1,charger_7_1,,80,,
7,22,6,1,charger_7_1,,80,,
7,23,6,1,charger_7_1,,80,,
7,0,7,1,charger_7_1,,80,,
7,1,7,1,charger_7_1,,80,,
7,2,7,1,charger_7_1,,80,,
7,3,7,1,charger_7_1,,80,,
7,4,7,1,charger_7_1,,80,,
7,5,7,1,charger_7_1,,80,,
7,6,7,1,charger_7_1,,80,,
7,7,7,1,charger_7_1,,80,,
7,8,7,1,charger_7_1,,80,,
7,9,7,1,charger_7_1,,80,,
7,10,7,1,charger_7_1,,80,,
7,11,7,1,charger_7_1,,80,,
7,12,7,1,charger_7_1,,80,,
7,13,7,1,charger_7_1,,80,,
7,14,7,1,charger_7_1,,80,,
7,15,7,1,charger_7_1,,80,,
7,16,7,1,charger_7_1,,80,,
7,17,7,1,charger_7_1,,80,,
7,18,7,1,charger_7_1,,80,,
7,19,7,1,charger_7_1,,80,,
7,20,7,1,charger_7_1,,80,,
7,21,7,1,charger_7_1,,80,,
7,22,7,1,charger_7_1,,80,,
7,23,7,1,charger_7_1,,80,,
7,0,1,1,charger_7_1,7,80,,
7,1,1,1,charger_7_1,6,80,,
7,2,1,1,charger_7_1,5,80,,
7,3,1,1,charger_7_1,4,80,,
7,4,1,1,charger_7_1,3,80,,
7,5,1,1,charger_7_1,2,80,,
7,6,1,1,charger_7_1,1,80,,
7,7,1,1,charger_7_1,0,80,,
7,8,1,3,,,,,
7,9,1,3,,,,,
7,10,1,3,,,,,
7,11,1,3,,,,,
7,12,1,3,,,,,
7,13,1,3,,,,,
7,14,1,3,,,,,
7,15,1,3,,,,,
7,16,1,2,charger_7_1,,,0,78
7,17,1,1,charger_7_1,14,90,,
7,18,1,1,charger_7_1,13,90,,
7,19,1,1,charger_7_1,12,90,,
7,20,1,1,charger_7_1,11,90,,
7,21,1,1,charger_7_1,10,90,,
7,22,1,1,charger_7_1,9,90,,
7,23,1,1,charger_7_1,8,90,,
7,0,2,1,charger_7_1,7,90,,
7,1,2,1,charger_7_1,6,90,,
7,2,2,1,charger_7_1,5,90,,
7,3,2,1,charger_7_1,4,90,,
7,4,2,1,charger_7_1,3,90,,
7,5,2,1,charger_7_1,2,90,,
7,6,2,1,charger_7_1,1,90,,
7,7,2,1,charger_7_1,0,90,,
7,8,2,3,,,,,
7,9,2,3,,,,,
7,10,2,3,,,,,
7,11,2,3,,,,,
7,12,2,3,,,,,
7,13,2,3,,,,,
7,14,2,3,,,,,
7,15,2,3,,,,,
7,16,2,2,charger_7_1,,,0,77
7,17,2,1,charger_7_1,14,85,,
7,18,2,1,charger_7_1,13,85,,
7,19,2,1,charger_7_1,12,85,,
7,20,2,1,charger_7_1,11,85,,
7,21,2,1,charger_7_1,10,85,,
7,22,2,1,charger_7_1,9,85,,
7,23,2,1,charger_7_1,8,85,,
7,0,3,1,charger_7_1,7,85,,
7,1,3,1,charger_7_1,6,85,,
7,2,3,1,charger_7_1,5,85,,
7,3,3,1,charger_7_1,4,85,,
7,4,3,1,charger_7_1,3,85,,
7,5,3,1,charger_7_1,2,85,,
7,6,3,1,charger_7_1,1,85,,
7,7,3,1,charger_7_1,0,85,,
7,8,3,3,,,,,
7,9,3,3,,,,,
7,10,3,3,,,,,
7,11,3,3,,,,,
7,12,3,3,,,,,
7,13,3,3,,,,,
7,14,3,3,,,,,
7,15,3,3,,,,,
7,16,3,2,charger_7_1,,,0,72
7,17,3,1,charger_7_1,14,85,,
7,18,3,1,charger_7_1,13,85,,
7,19,3,1,charger_7_1,12,85,,
7,20,3,1,charger_7_1,11,85,,
7,21,3,1,charger_7_1,10,85,,
7,22,3,1,charger_7_1,9,85,,
7,23,3,1,charger_7_1,8,85,,
7,0,4,1,charger_7_1,7,85,,
7,1,4,1,charger_7_1,6,85,,
7,2,4,1,charger_7_1,5,85,,
7,3,4,1,charger_7_1,4,85,,
7,4,4,1,charger_7_1,3,85,,
7,5,4,1,charger_7_1,2,85,,
7,6,4,1,charger_7_1,1,85,,
7,7,4,1,charger_7_1,0,85,,
7,8,4,3,,,,,
7,9,4,3,,,,,
7,10,4,3,,,,,
7,11,4,3,,,,,
7,12,4,3,,,,,
7,13,4,3,,,,,
7,14,4,3,,,,,
7,15,4,3,,,,,
7,16,4,3,,,,,
7,17,4,2,charger_7_1,,,0,72
7,18,4,1,charger_7_1,13,83,,
7,19,4,1,charger_7_1,12,83,,
7,20,4,1,charger_7_1,11,83,,
7,21,4,1,charger_7_1,10,83,,
7,22,4,1,charger_7_1,9,83,,
7,23,4,1,charger_7_1,8,83,,
7,0,5,1,charger_7_1,7,83,,
7,1,5,1,charger_7_1,6,83,,
7,2,5,1,charger_7_1,5,83,,
7,3,5,1,charger_7_1,4,83,,
7,4,5,1,charger_7_1,3,83,,
7,5,5,1,charger_7_1,2,83,,
7,6,5,1,charger_7_1,1,83,,
7,7,5,1,charger_7_1,0,83,,
7,8,5,3,,,,,
7,9,5,3,,,,,
7,10,5,3,,,,,
7,11,5,3,,,,,
7,12,5,3,,,,,
7,13,5,3,,,,,
7,14,5,3,,,,,
7,15,5,2,charger_7_1,,,1,20
7,16,5,1,charger_7_1,,100,,
7,17,5,1,charger_7_1,,100,,
7,18,5,1,charger_7_1,,100,,
7,19,5,1,charger_7_1,,100,,
7,20,5,1,charger_7_1,,100,,
7,21,5,1,charger_7_1,,100,,
7,22,5,1,charger_7_1,,100,,
7,23,5,1,charger_7_1,,100,,
7,0,6,1,charger_7_1,,100,,
7,1,6,1,charger_7_1,,100,,
7,2,6,1,charger_7_1,,100,,
7,3,6,1,charger_7_1,,100,,
7,4,6,1,charger_7_1,,100,,
7,5,6,1,charger_7_1,,100,,
7,6,6,1,charger_7_1,,100,,
7,7,6,1,charger_7_1,,100,,
7,8,6,1,charger_7_1,,100,,
7,9,6,1,charger_7_1,,100,,
7,10,6,1,charger_7_1,,100,,
7,11,6,1,charger_7_1,,100,,
7,12,6,1,charger_7_1,,100,,
7,13,6,1,charger_7_1,,100,,
7,14,6,1,charger_7_1,,100,,
7,15,6,1,charger_7_1,,100,,
7,16,6,1,charger_7_1,,100,,
7,17,6,1,charger_7_1,,100,,
7,18,6,1,charger_7_1,,100,,
7,19,6,1,charger_7_1,,100,,
7,20,6,1,charger_7_1,,100,,
7,21,6,1,charger_7_1,,100,,
7,22,6,1,charger_7_1,,100,,
7,23,6,1,charger_7_1,,100,,
7,0,7,1,charger_7_1,,100,,
7,1,7,1,charger_7_1,,100,,
7,2,7,1,charger_7_1,,100,,
7,3,7,1,charger_7_1,,100,,
7,4,7,1,charger_7_1,,100,,
7,5,7,1,charger_7_1,,100,,
7,6,7,1,charger_7_1,,100,,
7,7,7,1,charger_7_1,,100,,
7,8,7,1,charger_7_1,,100,,
7,9,7,1,charger_7_1,,100,,
7,10,7,1,charger_7_1,,100,,
7,11,7,1,charger_7_1,,100,,
7,12,7,1,charger_7_1,,100,,
7,13,7,1,charger_7_1,,100,,
7,14,7,1,charger_7_1,,100,,
7,15,7,1,charger_7_1,,100,,
7,16,7,1,charger_7_1,,100,,
7,17,7,1,charger_7_1,,100,,
7,18,7,1,charger_7_1,,100,,
7,19,7,1,charger_7_1,,100,,
7,20,7,1,charger_7_1,,100,,
7,21,7,1,charger_7_1,,100,,
7,22,7,1,charger_7_1,,100,,
7,23,7,1,charger_7_1,,100,,
7,0,1,1,charger_7_1,7,100,,
7,1,1,1,charger_7_1,6,100,,
7,2,1,1,charger_7_1,5,100,,
7,3,1,1,charger_7_1,4,100,,
7,4,1,1,charger_7_1,3,100,,
7,5,1,1,charger_7_1,2,100,,
7,6,1,1,charger_7_1,1,100,,
7,7,1,1,charger_7_1,0,100,,
7,8,1,3,,,,,
7,9,1,3,,,,,
7,10,1,3,,,,,
7,11,1,3,,,,,
7,12,1,3,,,,,
7,13,1,3,,,,,
7,14,1,2,charger_7_1,,,3,14
7,15,1,2,charger_7_1,,,2,14
7,16,1,2,charger_7_1,,,1,14
7,17,1,2,charger_7_1,,,0,14
7,18,1,1,charger_7_1,13,85,,
7,19,1,1,charger_7_1,12,85,,
7,20,1,1,charger_7_1,11,85,,
7,21,1,1,charger_7_1,10,85,,
7,22,1,1,charger_7_1,9,85,,
