Month,Hour,Day Type,State,Destination Charger,Estimated Departure Time,Required Soc At Departure, Estimated Arrival Time, Estimated SOC at Arrival
7,0,6,1,charger_10_1,,82,,
7,1,6,1,charger_10_1,,82,,
7,2,6,1,charger_10_1,,82,,
7,3,6,1,charger_10_1,,82,,
7,4,6,1,charger_10_1,,82,,
7,5,6,1,charger_10_1,,82,,
7,6,6,1,charger_10_1,,82,,
7,7,6,1,charger_10_1,,82,,
7,8,6,1,charger_10_1,,82,,
7,9,6,1,charger_10_1,,82,,
7,10,6,1,charger_10_1,,82,,
7,11,6,1,charger_10_1,,82,,
7,12,6,1,charger_10_1,,82,,
7,13,6,1,charger_10_1,,82,,
7,14,6,1,charger_10_1,,82,,
7,15,6,1,charger_10_1,,82,,
7,16,6,1,charger_10_1,,82,,
7,17,6,1,charger_10_1,,82,,
7,18,6,1,charger_10_1,,82,,
7,19,6,1,charger_10_1,,82,,
7,20,6,1,charger_10_1,,82,,
7,21,6,1,charger_10_1,,82,,
7,22,6,1,charger_10_1,,82,,
7,23,6,1,charger_10_1,,82,,
7,0,7,1,charger_10_1,,82,,
7,1,7,1,charger_10_1,,82,,
7,2,7,1,charger_10_1,,82,,
7,3,7,1,charger_10_1,,82,,
7,4,7,1,charger_10_1,,82,,
7,5,7,1,charger_10_1,,82,,
7,6,7,1,charger_10_1,,82,,
7,7,7,1,charger_10_1,,82,,
7,8,7,1,charger_10_1,,82,,
7,9,7,1,charger_10_1,,82,,
7,10,7,1,charger_10_1,,82,,
7,11,7,1,charger_10_1,,82,,
7,12,7,1,charger_10_1,,82,,
7,13,7,1,charger_10_1,,82,,
7,14,7,1,charger_10_1,,82,,
7,15,7,1,charger_10_1,,82,,
7,16,7,1,charger_10_1,,82,,
7,17,7,1,charger_10_1,,82,,
7,18,7,1,charger_10_1,,82,,
7,19,7,1,charger_10_1,,82,,
7,20,7,1,charger_10_1,,82,,
7,21,7,1,charger_10_1,,82,,
7,22,7,1,charger_10_1,,82,,
7,23,7,1,charger_10_1,,82,,
7,0,1,1,charger_10_1,7,82,,
7,1,1,1,charger_10_1,6,82,,
7,2,1,1,charger_10_1,5,82,,
7,3,1,1,charger_10_1,4,82,,
7,4,1,1,charger_10_1,3,82,,
7,5,1,1,charger_10_1,2,82,,
7,6,1,1,charger_10_1,1,82,,
7,7,1,1,charger_10_1,0,82,,
7,8,1,3,,,,,
7,9,1,3,,,,,
7,10,1,3,,,,,
7,11,1,3,,,,,
7,12,1,3,,,,,
7,13,1,3,,,,,
7,14,1,3,,,,,
7,15,1,3,,,,,
7,16,1,3,,,,,
7,17,1,2,charger_10_1,,,0,78
7,18,1,1,charger_10_1,13,86,,
7,19,1,1,charger_10_1,12,86,,
7,20,1,1,charger_10_1,11,86,,
7,21,1,1,charger_10_1,10,86,,
7,22,1,1,charger_10_1,9,86,,
7,23,1,1,charger_10_1,8,86,,
7,0,2,1,charger_10_1,7,86,,
7,1,2,1,charger_10_1,6,86,,
7,2,2,1,charger_10_1,5,86,,
7,3,2,1,charger_10_1,4,86,,
7,4,2,1,charger_10_1,3,86,,
7,5,2,1,charger_10_1,2,86,,
7,6,2,1,charger_10_1,1,86,,
7,7,2,1,charger_10_1,0,86,,
7,8,2,3,,,,,
7,9,2,3,,,,,
7,10,2,3,,,,,
7,11,2,3,,,,,
7,12,2,3,,,,,
7,13,2,3,,,,,
7,14,2,3,,,,,
7,15,2,3,,,,,
7,16,2,2,charger_10_1,,,1,76
7,17,2,2,charger_10_1,,,0,76
7,18,2,1,charger_10_1,14,86,,
7,19,2,1,charger_10_1,13,86,,
7,20,2,1,charger_10_1,12,86,,
7,21,2,1,charger_10_1,11,86,,
7,22,2,1,charger_10_1,10,86,,
7,23,2,1,charger_10_1,9,86,,
7,0,3,1,charger_10_1,8,86,,
7,1,3,1,charger_10_1,7,86,,
7,2,3,1,charger_10_1,6,86,,
7,3,3,1,charger_10_1,5,86,,
7,4,3,1,charger_10_1,4,86,,
7,5,3,1,charger_10_1,3,86,,
7,6,3,1,charger_10_1,2,86,,
7,7,3,1,charger_10_1,1,86,,
7,8,3,1,charger_10_1,0,86,,
7,9,3,3,,,,,
7,10,3,3,,,,,
7,11,3,3,,,,,
7,12,3,3,,,,,
7,13,3,3,,,,,
7,14,3,3,,,,,
7,15,3,3,,,,,
7,16,3,3,,,,,
7,17,3,3,,,,,
7,18,3,3,,,,,
7,19,3,2,charger_10_1,,,0,73
7,20,3,1,charger_10_1,12,85,,
7,21,3,1,charger_10_1,11,85,,
7,22,3,1,charger_10_1,10,85,,
7,23,3,1,charger_10_1,9,85,,
7,0,4,1,charger_10_1,8,85,,
7,1,4,1,charger_10_1,7,85,,
