days,time,errands,escort,home,leisure,shopping,workplace
saturday,0,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,0.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,1,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,1.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,2,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,2.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,3,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,3.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,4,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,4.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,5.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,6,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,6.5,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,7,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,7.5,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,8,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,8.5,0.0005439,0.0002621,0.0012926,0.0012745,0.0019611,0
saturday,9,0.0048955,0.0017034,0.0077556,0.00701,0.0122569,0
saturday,9.5,0.0048955,0.0017034,0.0077556,0.00701,0.0122569,0
saturday,10,0.0048955,0.0017034,0.0077556,0.00701,0.0122569,0
saturday,10.5,0.0048955,0.0017034,0.0077556,0.00701,0.0122569,0
saturday,11,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,11.5,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,12,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,12.5,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,13,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,13.5,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0
saturday,14,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,14.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,15,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,15.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,16,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,16.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0
saturday,17,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,17.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,18,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,18.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,19,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,19.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0
saturday,20,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,20.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,21,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,21.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,22,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,22.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0
saturday,23,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
saturday,23.5,7.77E-05,0.0001497,0.0022159,0.0005462,0,0
sunday,0,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,0.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,1,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,1.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,2,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,2.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,3,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,3.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,4,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,4.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,5.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,6,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,6.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,7,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,7.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,8,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,8.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0
sunday,9,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,9.5,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,10,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,10.5,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,11,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,11.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,12,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,12.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,13,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,13.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,14,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,14.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,15,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,15.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,16,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,16.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,17,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,17.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,18,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,18.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,19,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,19.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,20,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,20.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,21,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,21.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,22,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,22.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,23,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,23.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
weekdays,0,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,0.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,1,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,1.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,2,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,2.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,3,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,3.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,4,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,4.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,5.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,6,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,6.5,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,7,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,7.5,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,8,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,8.5,0.0016849,0.0012179,0.0006538,0.0013436,0.0010059,0
weekdays,9,0.0109607,0.0021178,0.0098183,0.0070485,0.0145658,0
weekdays,9.5,0.0109607,0.0021178,0.0098183,0.0070485,0.0145658,0
weekdays,10,0.0109607,0.0021178,0.0098183,0.0070485,0.0145658,0
weekdays,10.5,0.0109607,0.0021178,0.0098183,0.0070485,0.0145658,0
weekdays,11,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,11.5,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,12,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,12.5,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,13,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,13.5,0.0092758,0.0008981,0.0196402,0.0077203,0.0120564,0
weekdays,14,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,14.5,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,15,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,15.5,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,16,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,16.5,0.0061827,0.0019256,0.0150562,0.0104039,0.0060282,0
weekdays,17,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,17.5,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,18,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,18.5,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,19,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,19.5,0.0030931,0.0007041,0.0150562,0.0067144,0.00402,0
weekdays,20,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,20.5,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,21,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,21.5,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,22,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,22.5,0.0005604,0.0001293,0.0058917,0.0020154,0.0006682,0
weekdays,23,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
weekdays,23.5,0.0001201,5.54E-05,0.0008422,0.0002879,0,0
