year_hour,ac_inverter_power_per_kw,climate_zone
0.5,0.0,1
1.5,0.0,1
2.5,0.0,1
3.5,0.0,1
4.5,0.0,1
5.5,0.0,1
6.5,0.0,1
7.5,19.8897,1
8.5,253.43099999999998,1
9.5,391.36,1
10.5,516.506,1
11.5,525.3290000000001,1
12.5,587.309,1
13.5,614.509,1
14.5,458.635,1
15.5,351.1,1
16.5,151.153,1
17.5,0.0,1
18.5,0.0,1
19.5,0.0,1
20.5,0.0,1
21.5,0.0,1
22.5,0.0,1
23.5,0.0,1
24.5,0.0,1
25.5,0.0,1
26.5,0.0,1
27.5,0.0,1
28.5,0.0,1
29.5,0.0,1
30.5,0.0,1
31.5,8.58858,1
32.5,137.251,1
33.5,153.369,1
34.5,183.96,1
35.5,397.082,1
36.5,248.472,1
37.5,233.457,1
38.5,233.21099999999998,1
39.5,203.956,1
40.5,167.73,1
41.5,0.0,1
42.5,0.0,1
43.5,0.0,1
44.5,0.0,1
45.5,0.0,1
46.5,0.0,1
47.5,0.0,1
48.5,0.0,1
49.5,0.0,1
50.5,0.0,1
51.5,0.0,1
52.5,0.0,1
53.5,0.0,1
54.5,0.0,1
55.5,19.5194,1
56.5,191.798,1
57.5,360.851,1
58.5,494.31699999999995,1
59.5,567.174,1
60.5,592.126,1
61.5,540.423,1
62.5,381.89300000000003,1
63.5,335.81699999999995,1
64.5,148.173,1
65.5,0.0,1
66.5,0.0,1
67.5,0.0,1
68.5,0.0,1
69.5,0.0,1
70.5,0.0,1
71.5,0.0,1
72.5,0.0,1
73.5,0.0,1
74.5,0.0,1
75.5,0.0,1
76.5,0.0,1
77.5,0.0,1
78.5,0.0,1
79.5,7.883210000000001,1
80.5,95.3933,1
81.5,166.205,1
82.5,202.98,1
83.5,322.742,1
84.5,365.435,1
85.5,361.916,1
86.5,426.126,1
87.5,325.985,1
88.5,173.09400000000002,1
89.5,0.0,1
90.5,0.0,1
91.5,0.0,1
92.5,0.0,1
93.5,0.0,1
94.5,0.0,1
95.5,0.0,1
96.5,0.0,1
97.5,0.0,1
98.5,0.0,1
99.5,0.0,1
100.5,0.0,1
101.5,0.0,1
102.5,0.0,1
103.5,16.4908,1
104.5,314.353,1
105.5,525.881,1
106.5,649.184,1
107.5,707.335,1
108.5,696.78,1
109.5,648.851,1
110.5,536.887,1
111.5,365.02099999999996,1
112.5,159.19799999999998,1
113.5,0.0,1
114.5,0.0,1
115.5,0.0,1
116.5,0.0,1
117.5,0.0,1
118.5,0.0,1
119.5,0.0,1
120.5,0.0,1
121.5,0.0,1
122.5,0.0,1
123.5,0.0,1
124.5,0.0,1
125.5,0.0,1
126.5,0.0,1
127.5,15.5808,1
128.5,329.98800000000006,1
129.5,545.5790000000001,1
130.5,671.3389999999999,1
131.5,742.628,1
132.5,760.7639999999999,1
133.5,710.6089999999999,1
134.5,591.123,1
135.5,414.851,1
136.5,193.16299999999998,1
137.5,0.0,1
138.5,0.0,1
139.5,0.0,1
140.5,0.0,1
141.5,0.0,1
142.5,0.0,1
143.5,0.0,1
144.5,0.0,1
145.5,0.0,1
146.5,0.0,1
147.5,0.0,1
148.5,0.0,1
149.5,0.0,1
150.5,0.0,1
151.5,0.0,1
152.5,33.1006,1
153.5,62.2152,1
154.5,60.3373,1
155.5,50.6307,1
156.5,37.7803,1
157.5,495.733,1
158.5,462.906,1
159.5,323.35900000000004,1
160.5,131.241,1
161.5,0.0,1
162.5,0.0,1
163.5,0.0,1
164.5,0.0,1
165.5,0.0,1
166.5,0.0,1
167.5,0.0,1
168.5,0.0,1
169.5,0.0,1
170.5,0.0,1
171.5,0.0,1
172.5,0.0,1
173.5,0.0,1
174.5,0.0,1
175.5,1.46183,1
176.5,34.1552,1
177.5,62.6652,1
178.5,34.8546,1
179.5,69.7161,1
180.5,58.3562,1
181.5,654.29,1
182.5,538.766,1
183.5,456.949,1
184.5,225.549,1
185.5,0.0,1
186.5,0.0,1
187.5,0.0,1
188.5,0.0,1
189.5,0.0,1
190.5,0.0,1
191.5,0.0,1
192.5,0.0,1
193.5,0.0,1
194.5,0.0,1
195.5,0.0,1
196.5,0.0,1
197.5,0.0,1
198.5,0.0,1
199.5,41.2624,1
200.5,47.9522,1
201.5,147.007,1
202.5,151.59799999999998,1
203.5,88.5405,1
204.5,649.76,1
205.5,376.17400000000004,1
206.5,316.702,1
207.5,182.201,1
208.5,143.832,1
209.5,0.0,1
210.5,0.0,1
211.5,0.0,1
212.5,0.0,1
213.5,0.0,1
214.5,0.0,1
215.5,0.0,1
216.5,0.0,1
217.5,0.0,1
218.5,0.0,1
219.5,0.0,1
220.5,0.0,1
221.5,0.0,1
222.5,0.0,1
223.5,0.0,1
224.5,12.9083,1
