Hour,Day Type,Daylight Savings Status,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1.0,0.0,17.8125,68.125,0.0,0.0,23.879394113599428,1.6460521526605754e-05,47.172015808853324,7.794315217642483,1.4557228829015634,5.713549229139004
2,1.0,0.0,16.1375,74.75,0.0,0.0,23.86496315761983,0.0,48.684561275741956,7.198257821900184,0.772472976715248,2.3653765660720008
3,1.0,0.0,16.1,75.875,0.0,0.0,23.818410314224185,1.5675227367136798e-06,50.000550253539444,6.889069561207352,0.5234279339424139,1.5060275396455325
4,1.0,0.0,16.1,78.25,0.0,0.0,23.74456336662542,3.721594520613854e-05,51.55754896213116,6.692355996816513,0.5652642622081118,1.0065079145135243
5,1.0,0.0,16.1625,77.75,0.0,0.0,23.660420895814156,0.0,53.06842749111236,6.785887419237894,1.1336216261340464,0.8019998790446475
6,1.0,0.0,16.2625,76.375,0.0,0.0,23.60366202728412,0.0,54.045898260745886,7.423987574611205,3.386252810962994,0.7845653837537495
7,1.0,0.0,16.3625,75.375,0.0,0.0,23.580042354423792,0.0,54.705186096080865,9.066921661472994,7.670768148273397,0.8343503225284843
8,1.0,0.0,17.025,73.75,41.0625,64.5,23.671227216204258,2.836492797511596e-05,54.8868780560446,10.949979190344084,9.353705022635456,1.6381791375432575
9,1.0,0.0,19.025,66.125,103.875,337.125,23.82855716685256,0.0,54.10583185852869,11.741014049883574,9.657833610049991,6.7449295543113506
10,1.0,0.0,21.375,57.0,151.3125,434.5625,23.8734996144659,0.0,52.53498449815894,12.454497414957867,9.048470384891473,11.55873235466936
11,1.0,0.0,23.5125,49.625,189.8125,492.6875,23.879672900169957,0.0,50.61210324132385,12.687478672504858,7.922101377410558,15.210169669462992
12,1.0,0.0,25.2375,43.875,222.5,460.8125,23.87962078361573,0.0,49.04002126436049,12.902946819716412,6.746434992940426,17.703692989163343
13,1.0,0.0,25.7375,42.625,177.625,598.1875,23.87936785530934,0.0,47.66181301453098,12.65665649132132,5.851340824374828,20.4799102931894
14,1.0,0.0,25.7,42.375,129.375,694.625,23.878948924247016,0.0,46.31276682147301,12.118764013942258,5.285570157567216,23.295924593594492
15,1.0,0.0,25.7,42.625,116.9375,586.5625,23.879138976967724,0.0,45.247578668326305,11.732479713551907,4.6584345615644995,25.05013324409802
16,1.0,0.0,25.7,43.625,68.0,565.75,23.879473729813615,0.0,44.703901558559835,12.107492710919825,4.649203640188917,26.389714811422476
17,1.0,0.0,25.7,43.375,34.375,326.1875,23.87953458149334,0.0,44.72300624076533,13.778196779200126,5.245881095416229,24.35366532281988
18,1.0,0.0,25.5125,44.25,0.0,0.0,23.879560449497212,0.0,45.45202031261072,16.555466290950594,6.337970446938305,21.315801530303197
19,1.0,0.0,24.9,46.875,0.0,0.0,23.87926726631413,0.0,46.46818421419306,16.29998221063618,7.534049903988404,22.10191053408628
20,1.0,0.0,24.1,48.0,0.0,0.0,23.879014197238366,0.0,47.00558299196483,14.95791996811918,7.8325978060750305,20.85274079468324
21,1.0,0.0,23.3,49.25,0.0,0.0,23.878698815141412,0.0,46.87576575666712,14.20731335900552,7.1912032976523115,19.059504615726667
22,1.0,0.0,22.500000000000004,50.625,0.0,0.0,23.878804235284367,0.0,46.753781005701356,13.554210953460414,6.3017885971243475,17.078654003181615
23,1.0,0.0,21.6375,51.625,0.0,0.0,23.878990998097123,0.0,46.62076400309695,11.621593008693123,4.728911204649986,13.968639263483505
24,1.0,0.0,20.8,53.875,0.0,0.0,23.879192739098936,0.0,46.55224184516173,9.54829133482013,3.060690164015022,10.896174012256191
1,2.0,0.0,19.5,61.875,0.0,0.0,23.879401015693833,0.0,47.0959607084114,7.6833722121192025,1.2977262630432724,7.587827810723574
2,2.0,0.0,17.775,69.75,0.0,0.0,23.87944915591475,2.3716315919700164e-05,48.47255401015941,7.131348481968132,0.6817771951270607,4.263152978665394
3,2.0,0.0,16.0375,77.0,0.0,0.0,23.825668239104857,4.869813842955e-05,49.99572169113582,6.845460529838587,0.4699785911389605,1.5254958492227821
4,2.0,0.0,14.8375,83.125,0.0,0.0,23.627869822857065,0.0,51.80358277942333,6.667810341535417,0.5097139058972465,0.6722418047151761
5,2.0,0.0,13.937500000000002,86.875,0.0,0.0,23.391271729422108,0.0,53.39070303822593,6.7393055031348785,1.0211792320716306,0.4111213243319769
6,2.0,0.0,13.1625,88.0,0.0,0.0,23.15777460490563,0.0,54.37687154972809,7.3503279909048995,3.075897423774975,0.29654956774856406
7,2.0,0.0,12.4625,90.5,0.0,0.0,22.951780422586012,0.0,54.88142332904067,8.88398166109162,6.991590866121873,0.22453304592490286
8,2.0,0.0,12.325,89.5,33.9375,15.5625,22.818034520520804,0.0,55.11894541329708,10.587420450438342,8.444555674436108,0.24207430867339141
9,2.0,0.0,13.15,84.25,118.625,65.0625,22.84848260311705,0.0,54.45546418887254,11.181228337918652,8.624273766007267,0.32900405279808637
10,2.0,0.0,13.9125,81.375,177.875,19.4375,22.827298818516024,0.0,53.74812181685446,11.696799700485526,8.031989191200166,0.36146209807176355
11,2.0,0.0,14.4125,81.0,220.5625,49.6875,22.855929582001476,0.0,53.27169157981563,11.849167580555271,7.0163638740187055,0.4567941472075322
12,2.0,0.0,15.1625,75.375,266.6875,154.1875,23.10097820317761,0.0,52.292507096342796,12.053006293960806,5.976744702306958,0.750087834284145
13,2.0,0.0,15.625,70.125,256.9375,42.625,23.18745227270072,0.0,51.57906302574579,11.884346025370625,5.1677763385201905,0.6567373745434457
14,2.0,0.0,15.7,67.125,246.625,38.8125,23.230281058765282,0.0,50.3895269908376,11.41164143159925,4.689588524210189,0.676406132701306
15,2.0,0.0,15.6375,62.875,196.6875,93.9375,23.30918349716949,0.0,48.629554112432984,11.100646529402862,4.12049247004906,0.9089409001014488
16,2.0,0.0,15.412500000000003,60.375,118.875,205.9375,23.396928061605454,0.0,46.721252438861555,11.509661854183388,4.143235099911108,1.4498473910260932
17,2.0,0.0,14.9875,60.0,58.75,255.4375,23.474574268014734,0.0,45.12666200858847,13.194793824968892,4.6306510373677945,2.1663279191226703
18,2.0,0.0,14.2375,61.25,0.0,0.0,23.32976846869815,0.0,45.075854097106095,15.976053967847042,5.660475541663365,0.5989203672712925
19,2.0,0.0,13.4,62.625,0.0,0.0,23.315035345118044,0.0,45.14167387557605,15.717724003894267,6.711248030596322,0.6431730098114914
20,2.0,0.0,12.600000000000003,64.875,0.0,0.0,23.21375649070229,0.0,45.095279594842545,14.365106755047387,6.9182157080468425,0.5188058092730617
21,2.0,0.0,11.8,69.75,0.0,0.0,23.04153719437445,0.0,44.98904982524949,13.615429747283882,6.299563027772786,0.37514981237262673
22,2.0,0.0,11.0,72.0,0.0,0.0,22.850961860743706,0.0,45.05282560065767,12.964295099411096,5.51843158905598,0.280382156731825
23,2.0,0.0,10.2,73.875,0.0,0.0,22.620297865526258,0.0,44.903005499790076,11.16112536329695,4.168517593501212,0.1340404608679551
24,2.0,0.0,9.4,75.625,0.0,0.0,22.446334953476804,0.0,44.37834966719683,9.292887952065069,2.698732255682558,0.0
1,3.0,0.0,9.0375,77.25,0.0,0.0,22.335526148637037,0.0,43.57527302879453,7.6833722121192025,1.3081377073920815,0.0
2,3.0,0.0,8.9375,80.5,0.0,0.0,22.29599592812685,0.0,42.97349104535259,7.131348481968132,0.6907150605343855,0.0
3,3.0,0.0,8.9,82.0,0.0,0.0,22.26709787102709,0.0,42.77314342923141,6.845460529838587,0.46965104414175163,0.0
4,3.0,0.0,8.837500000000002,82.0,0.0,0.0,22.25219596218227,0.0,42.60176407822981,6.667810341535417,0.5089310850806599,0.0
5,3.0,0.0,8.8,81.375,0.0,0.0,22.240454224110128,0.0,42.41901125644141,6.7393055031348785,1.0198592214442017,0.0
6,3.0,0.0,8.8,80.375,0.0,0.0,22.2320149920459,0.0,42.22794876435177,7.3503279909048995,3.0853253306304227,0.0
7,3.0,0.0,8.8625,77.5,0.0,0.0,22.229818276796767,0.0,42.03627990399026,8.88398166109162,7.000225797494834,0.0
8,3.0,0.0,9.525,72.25,43.6875,34.125,22.23275384471417,0.0,41.74560406615706,10.587420450438342,8.460071938652398,0.0
9,3.0,0.0,11.4625,63.75,120.5,202.3125,22.259572155000914,0.0,41.2978592453382,11.181228337918652,8.63980497431947,0.0
10,3.0,0.0,14.0875,55.0,167.4375,359.375,22.42198001458308,0.0,40.45598222636388,11.696799700485526,8.045274688927137,0.022885382848826966
11,3.0,0.0,16.6625,47.625,193.125,459.75,22.75600127751267,0.0,39.296557668956225,11.849167580555271,7.039025752858863,0.5736858135098903
12,3.0,0.0,18.9125,41.875,195.6875,533.375,23.046127269231096,0.0,38.42510349700248,12.053006293960806,6.005116339703162,2.140186049467984
13,3.0,0.0,20.6375,38.125,180.25,580.0625,23.24961303621163,0.0,37.92133889653653,11.884346025370625,5.1783259273122395,4.831871158910893
14,3.0,0.0,21.762500000000006,36.375,167.8125,535.9375,23.451025716233797,1.3746533885616492e-06,37.49951836075851,11.41164143159925,4.680979007869451,6.642956809373225
15,3.0,0.0,22.0375,35.375,161.875,413.6875,23.66872748763874,0.0,37.07914072538155,11.100646529402862,4.154085592968534,7.640466379233699
16,3.0,0.0,21.625,35.0,79.4375,500.6875,23.7498786595129,0.0,36.78708623557037,11.509661854183388,4.122113371113617,10.384220195930848
17,3.0,0.0,20.4,37.5,34.3125,304.1875,23.805844544287336,0.0,36.621414579683915,13.194793824968892,4.661899346915904,8.781221531048036
18,3.0,0.0,18.675,41.5,0.0,0.0,23.84592171597933,0.0,36.98662567786547,15.976053967847042,5.668107541676765,5.630836201418989
19,3.0,0.0,17.5625,48.625,0.0,0.0,23.875984213719505,0.0,37.80218168935361,15.717724003894267,6.705934623137164,6.145806448784031
20,3.0,0.0,16.862500000000004,53.875,0.0,0.0,23.878142552204736,0.0,39.22436152548191,14.365106755047387,6.935166767142676,5.675141401537913
21,3.0,0.0,16.1625,53.75,0.0,0.0,23.872497047423533,3.0204172038067922e-05,40.19198969261731,13.615429747283882,6.324947358078547,4.5933979290199085
22,3.0,0.0,15.525000000000004,54.25,0.0,0.0,23.852385610690412,0.0,40.38059964345089,12.964295099411096,5.541384443088652,3.2223277762797773
23,3.0,0.0,14.8625,56.875,0.0,0.0,23.77178626519687,0.0,40.644674239304855,11.16112536329695,4.155017792385146,1.5738737395619056
24,3.0,0.0,14.225,61.125,0.0,0.0,23.579789843642747,0.0,41.26065364940591,9.292887952065069,2.717545846894816,0.6657209138067093
1,4.0,0.0,13.437500000000002,65.5,0.0,0.0,23.286483097380472,0.0,42.261881837820404,7.6833722121192025,1.3125342512357814,0.37714383391490613
2,4.0,0.0,12.537499999999998,71.375,0.0,0.0,22.957024575110673,0.0,43.35648737977962,7.131348481968132,0.6868801577621501,0.21457481601235331
3,4.0,0.0,11.6375,79.625,0.0,0.0,22.657174034547403,0.0,44.67413736138128,6.845460529838587,0.4676520460723236,0.05729807502198512
4,4.0,0.0,10.9875,81.125,0.0,0.0,22.458012360297275,0.0,45.726763972609795,6.667810341535417,0.5073554664670249,0.0
5,4.0,0.0,10.55,82.5,0.0,0.0,22.348633641295397,0.0,45.904394689689994,6.7393055031348785,1.0212811958694255,0.0
6,4.0,0.0,10.15,86.5,0.0,0.0,22.30771953707545,0.0,46.09053079305159,7.3503279909048995,3.097839788851416,0.0
7,4.0,0.0,9.8125,86.75,0.0,0.0,22.285710058739618,0.0,46.44740825829342,8.88398166109162,7.015563466205803,0.0
8,4.0,0.0,9.95,83.5,32.0625,3.0,22.276643496069667,0.0,46.50934493824548,10.587420450438342,8.476829801784199,0.0
9,4.0,0.0,11.0375,80.125,115.1875,16.875,22.275990716456466,0.0,46.263214188429146,11.181228337918652,8.657424499443287,0.0
10,4.0,0.0,12.350000000000003,72.125,185.5625,23.875,22.28979662489849,0.0,45.853036581093654,11.696799700485526,8.05811502610694,0.0
11,4.0,0.0,13.425,66.75,236.875,33.5,22.311710678340603,0.0,45.05319979620835,11.849167580555271,7.030474200466826,0.019146729096422163
12,4.0,0.0,14.4875,62.875,281.0,99.1875,22.386552134316947,0.0,44.51227178042666,12.053006293960806,6.006908273059627,0.26063457618277414
13,4.0,0.0,15.525,59.75,285.8125,135.125,22.54621295307091,0.0,43.980316458272824,11.884346025370625,5.210068722071031,0.49629668395545884
14,4.0,0.0,16.275,56.5,252.875,210.875,22.79777078971909,0.0,43.288384558973945,11.41164143159925,4.67634425262441,0.7467187069194011
15,4.0,0.0,16.8125,55.0,165.9375,416.1875,23.18651476316084,0.0,42.10473096239659,11.100646529402862,4.165068568797895,1.9437214578219435
16,4.0,0.0,16.9375,54.375,100.75,451.625,23.385533135451293,0.0,41.56181978566286,11.509661854183388,4.137308938393697,3.439264957150286
17,4.0,0.0,16.4,54.0,45.875,334.3125,23.412398573724765,0.0,41.443409157296756,13.194793824968892,4.655521312505851,3.4702939850740444
18,4.0,0.0,15.35,56.5,0.0,0.0,23.345151135178597,0.0,41.995043499078236,15.976053967847042,5.693162713405617,0.8782567711032555
19,4.0,0.0,14.3375,61.75,0.0,0.0,23.358550867003412,0.0,42.80446672777278,15.717724003894267,6.725452868466498,1.0225788893946828
20,4.0,0.0,13.375,64.625,0.0,0.0,23.293435767039828,0.0,43.7091531654924,14.365106755047387,6.933806597147475,0.7399978498337519
21,4.0,0.0,12.437500000000002,67.5,0.0,0.0,23.15425829442405,0.0,44.07778434018677,13.615429747283882,6.3209040241978665,0.5369624033658112
22,4.0,0.0,11.537499999999998,72.125,0.0,0.0,22.989355516437488,0.0,44.38976311451676,12.964295099411096,5.567521324180591,0.39419677426975286
23,4.0,0.0,10.575,75.25,0.0,0.0,22.721653848152926,0.0,44.840592507236735,11.16112536329695,4.163536544013169,0.2011843384273323
24,4.0,0.0,9.6375,78.5,0.0,0.0,22.502615319850293,0.0,44.729671155187994,9.292887952065069,2.724589600907226,0.05272621560801462
1,5.0,0.0,8.862499999999997,84.375,0.0,0.0,22.36506567021114,0.0,44.38878972855283,7.6833722121192025,1.3076505470767126,0.0
2,5.0,0.0,8.1,92.0,0.0,0.0,22.2887253626957,0.0,44.23605874414065,7.131348481968132,0.683261276561346,0.0
3,5.0,0.0,7.362499999999999,95.625,0.0,0.0,22.24797753421879,0.0,44.17062214027535,6.845460529838587,0.4689419991694026,0.0
