Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,1,8,0,22.29,0,38.51,9.6,2.16,2.88
1,2,8,0,22.17,0,40.76,8.2,1.2,1.69
1,3,8,0,22.17,0,42.22,10,0.12,2.31
1,4,8,0,22.28,0,42.3,16.5,0.24,7.15
1,5,8,0,22.14,0,43.08,10,0.84,1.67
1,6,8,0,21.91,0,44.3,6.9,1.2,0.41
1,7,8,0,21.97,0,44.51,9.8,2.52,1.1
1,8,8,0,22.08,0,44.45,12.3,6.6,2.61
1,9,8,0,22.19,0,43.8,12.8,9.24,4.38
1,10,8,0,22.32,0,43,13.9,12.12,7.82
1,11,8,0,22.38,0,42.78,10.9,12.48,8.61
1,12,8,0,22.47,0,42.16,13.1,1.56,14.15
1,13,8,0,22.51,0,41.51,14.5,12.12,17.42
1,14,8,0,22.54,0,40.77,17.4,3.84,19.96
1,15,8,0,22.53,0,40.3,11.7,1.8,12.89
1,16,8,0,22.54,0,39.49,15.2,4.56,15.11
1,17,8,0,22.54,0,38.64,15.1,0.96,13.38
1,18,8,0,22.53,0,38.44,14,3,11.99
1,19,8,0,22.52,0,38.69,14.1,3.6,12.26
1,20,8,0,22.52,0,38.73,16.3,2.16,13.56
1,21,8,0,22.53,0,38.38,18.4,4.44,14.48
1,22,8,0,22.53,0,38.01,18.8,2.64,13.99
1,23,8,0,22.54,0,37.69,23,0.72,17.12
1,24,8,0,22.44,0,37.73,14.6,0.84,7.54
1,1,2,0,22.15,0,38.19,7.8,2.4,1.17
1,2,2,0,22.14,0,37.81,12.3,0.36,1.83
1,3,2,0,21.91,0,37.88,11.3,0.36,0.49
1,4,2,0,21.6,0,37.49,11.3,1.8,0.15
1,5,2,0,21.32,0,36.75,11,0,0.02
1,6,2,0,21.33,0,35.23,14.7,2.52,0.13
1,7,2,0,21.32,0,33.72,16.7,8.64,0.14
1,8,2,0,21.17,0,32.54,13.4,25.08,0
1,9,2,0,21.42,0,31.09,11.3,5.64,0.74
1,10,2,0,21.81,0,29.39,13.3,5.04,3.44
1,11,2,0,21.95,0,28.2,14.6,6.36,6.33
1,12,2,0,21.91,0,26.96,9.4,8.76,6.4
1,13,2,0,22,0,25.76,12.7,4.68,9.26
1,14,2,0,22.16,0,24.39,14.3,6,10.99
1,15,2,0,22.32,0,23.31,14.7,0.6,12.77
1,16,2,0,22.23,0,22.83,11.5,4.68,8.24
1,17,2,0,21.8,0,23.03,10.2,7.68,1.62
1,18,2,0,21.6,0,23.39,12.9,1.8,1.38
1,19,2,0,21.77,0,23.75,16.2,1.92,2
1,20,2,0,21.69,0,24.47,15.9,1.92,1.2
1,21,2,0,21.57,0,25.05,16.2,4.32,0.66
1,22,2,0,21.4,0,25.63,13.7,3.84,0.05
1,23,2,0,21.31,0,25.82,14.9,0.6,0.01
1,24,2,0,21.05,0,25.89,9.8,2.4,0
1,1,3,0,20.97,0,25.68,9.2,2.4,0
1,2,3,0,20.96,0,25.74,8.7,0.84,0
1,3,3,0,20.96,0,25.72,13,0.24,0
1,4,3,0,20.96,0,25.51,9.7,2.52,0
1,5,3,0,20.96,0,25.43,9.1,0,0
1,6,3,0,20.96,0,25.49,11.2,0.36,0
1,7,3,0,20.96,0,25.52,12.6,7.08,0
1,8,3,0,20.96,0,25.42,13.1,16.92,0
1,9,3,0,21.02,0,25.01,10.3,19.68,0.02
1,10,3,0,21.35,0,23.84,12.6,20.04,0.69
1,11,3,0,21.61,0,22.7,13.4,5.16,1.57
1,12,3,0,21.88,0,21.81,14.9,19.92,5.14
1,13,3,0,22.03,0,21.23,13.7,4.32,7.95
1,14,3,0,22.26,0,20.53,16.1,1.8,11.79
1,15,3,0,22.36,0,19.99,14.1,0.72,15.05
1,16,3,0,22.32,0,19.91,10.3,0.6,8.74
1,17,3,0,22.28,0,19.88,13.3,1.32,3.84
1,18,3,0,22.26,0,20.05,14.6,2.76,3.31
1,19,3,0,22.18,0,20.88,13.2,0.48,2.6
1,20,3,0,22.12,0,21.97,13.8,5.04,2.39
1,21,3,0,22.2,0,22.59,16.8,2.04,3.03
1,22,3,0,22.21,0,23.35,17.7,0.84,2.88
1,23,3,0,22.19,0,24.03,18.9,2.04,2.73
1,24,3,0,21.97,0,24.96,15.9,0.36,1
1,1,4,0,21.48,0,26.03,11.1,0.6,0
1,2,4,0,21.22,0,26.46,10.7,0.24,0
1,3,4,0,21.17,0,26.3,13,1.56,0
1,4,4,0,21.05,0,26.18,10.8,0.24,0
1,5,4,0,21.05,0,25.7,14.3,0,0
1,6,4,0,20.99,0,25.47,10.6,0.12,0
1,7,4,0,20.97,0,25.45,11,9.84,0
1,8,4,0,20.97,0,25.39,11.7,16.92,0
1,9,4,0,21.02,0,25.03,13.8,3,0
1,10,4,0,21.13,0,24.45,13.8,7.32,0.02
1,11,4,0,21.57,0,23.34,18.4,8.88,0.96
1,12,4,0,21.62,0,22.84,14.1,3.84,0.97
1,13,4,0,21.59,0,22.58,11.9,8.16,1.04
1,14,4,0,21.53,0,22.43,12.5,2.16,0.46
1,15,4,0,21.37,0,22.34,11.2,1.08,0.01
1,16,4,0,21.28,0,22.08,12.3,7.44,0
1,17,4,0,21.12,0,22,9.4,2.76,0
1,18,4,0,21.16,0,21.99,13.3,1.32,0
1,19,4,0,21.12,0,22.48,11.6,1.92,0
1,20,4,0,21.18,0,22.89,16.2,3.6,0
1,21,4,0,21.21,0,23.17,17.8,6.48,0
1,22,4,0,21.15,0,23.61,16.4,3.36,0
1,23,4,0,21.11,0,23.84,16.8,1.8,0
